,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
0,All sectors; gross value added (IMA),FA896902505,14619.2,14343.4,14915.2,15556.3,16358.5,16829.5,17651.1,18290.3,1
1,Households and nonprofit organizations; gross value added (IMA),FA156902505,1855.3,1913.6,1928.8,1974.4,2029.4,2084.3,2165.2,2258.9,2
2,Nonfinancial noncorporate business; gross value added,FA116902505,2632.4,2466.4,2546.2,2751.6,2909.8,3020.8,3177.2,3305.5,3
3,Nonfinancial corporate business; gross value added,FA106902501,7256.8,6859.8,7238.7,7592.3,8011.9,8305.2,8703.9,9008.8,4
4,Domestic financial sectors; gross value added (IMA),FA796902505,851.9,1015.4,1042.8,1045.8,1187.3,1172.1,1303.7,1354.9,5
5,Federal government; gross value added (IMA),FA316902505,637.6,668.8,704.5,720.9,723.7,715.2,725.7,735.1,6
6,State and local governments; gross value added (IMA),FA206902505,1385.2,1419.4,1454.2,1471.4,1496.5,1532.0,1575.3,1627.0,7
7,All sectors; net saving including net capital transfers paid (IMA),FA896006001,-95.0,-300.4,-124.1,-16.1,327.0,421.6,592.0,615.5,8
8,Households and nonprofit organizations; net saving including net capital transfers paid excluding consumer durables and government insurance and pension fund reserves,FA156006005,536.7,667.4,630.0,710.1,946.7,620.1,726.0,783.6,9
9,"Nonfinancial corporate business; disposable income, net; net saving (IMA Q4)",FA106012095,296.7,381.0,603.5,584.2,556.7,641.8,634.2,551.5,10
10,"Domestic financial sectors; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA Q4)",FA796012095,-129.4,171.9,208.4,149.7,134.5,-6.0,14.5,11.4,11
11,"Federal government; net saving including net capital transfers paid, insurance and pension fund reserves adjustment and contributions for government social insurance for U.S. affiliated areas (IMA)",FA316006085,-634.0,-1248.8,-1328.7,-1244.1,-1090.1,-643.8,-612.9,-569.7,12
12,State and local governments; net saving including net capital transfers paid (IMA),FA206006095,-165.1,-271.9,-237.3,-215.9,-220.8,-190.5,-169.8,-161.3,13
13,Households and nonprofit organizations; net capital transfers paid,FA155440005,7.7,-28.4,-20.6,2.0,-5.1,20.0,9.6,21.5,14
14,Nonfinancial noncorporate business; net capital transfers paid,FA115440005,-3.3,-6.0,-7.8,-1.6,-4.9,-0.0,0.0,0.0,15
15,Nonfinancial corporate business; net capital transfers paid,FA105440005,-3.7,38.3,20.9,-6.4,-17.0,-5.7,-6.7,-3.2,16
16,Domestic financial sectors; net capital transfers paid,FA795440005,-60.5,-121.9,-41.5,-32.4,9.6,0.0,10.0,0.0,17
17,Federal government; net capital transfers paid,FA315440005,117.6,186.3,126.3,113.9,85.0,58.2,58.4,51.5,18
18,State and local governments; net capital transfers paid,FA205440005,-63.2,-67.7,-76.7,-73.8,-74.2,-71.6,-70.9,-69.3,19
19,Rest of the world; net capital transfers paid,FA265440005,5.4,-0.6,-0.7,-1.6,6.5,-0.8,-0.4,-0.5,20
20,All domestic sectors; gross fixed investment,FA885019005,3091.4,2672.7,2691.1,2836.0,3064.3,3206.2,3415.5,3576.6,21
21,Households and nonprofit organizations; gross fixed investment excluding consumer durables,FA155019005,580.4,468.1,452.4,451.9,505.3,571.2,610.8,688.1,22
22,Nonfinancial noncorporate business; gross fixed investment (IMA),FA115019085,307.5,248.8,243.1,274.8,312.6,336.5,366.9,382.0,23
23,Nonfinancial corporate business; gross fixed capital formation with equity REITs (IMA),FA105019085,1372.7,1141.9,1181.0,1303.9,1439.9,1505.0,1625.5,1654.6,24
24,"Domestic financial sectors; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA795013005,196.2,166.9,162.8,167.5,192.1,201.3,217.7,238.5,25
25,Federal government; gross fixed investment,FA315019001,275.8,284.0,300.0,297.4,284.7,268.4,262.9,261.2,26
26,State and local governments; gross fixed investment,FA205019001,358.8,363.0,351.9,340.5,329.7,323.9,331.6,352.2,27
