, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; unidentified miscellaneous liabilities,FA893193005,1069.4,443.9,662.7,204.8,885.9,787.0,1327.2,276.9,259.8,1
1,Nonfinancial corporate business; unidentified miscellaneous liabilities,FA103193005,985.8,592.1,539.6,855.8,1209.6,629.3,760.8,452.5,315.7,2
2,Nonfinancial noncorporate business; unidentified miscellaneous liabilities,FA113193003,77.9,28.4,17.4,21.1,19.8,17.6,17.3,17.5,17.3,3
3,"Federal government; unidentified miscellaneous liabilities, including liability due to FICO",FA313193005,3.0,3.5,5.8,-9.5,28.4,-17.9,7.1,-6.2,40.1,4
4,Monetary authority; unidentified miscellaneous liabilities,FA713193005,2.4,-0.3,-0.8,-203.9,208.4,-80.2,60.7,-196.9,213.1,5
5,"U.S.-chartered depository institutions, including IBFs; unidentified miscellaneous liabilities",FA763193005,122.5,22.9,26.5,-59.8,-157.6,116.8,151.0,-129.6,-32.0,6
6,"Foreign banking offices in the U.S., including IBFs; unidentified miscellaneous liability",FA753193005,8.6,-11.3,-11.4,29.3,-16.4,77.1,54.7,-113.3,-64.3,7
7,Banks in U.S.-affiliated areas; unidentified miscellaneous liabilities,FA743193005,-1.6,-2.3,-0.3,-7.0,-2.0,1.6,-0.2,3.3,-5.8,8
8,Credit unions; unidentified miscellaneous liabilities,FA473193005,1.2,0.5,4.2,-11.2,8.9,25.6,-21.6,-13.0,25.7,9
9,Property-casualty insurance companies; unidentified miscellaneous liabilities,FA513193005,-7.1,-1.9,-4.3,-8.8,-67.0,-42.0,8.9,27.6,-11.7,10
10,Life insurance companies; unidentified miscellaneous liabilities,FA543193005,23.1,-3.0,47.5,90.4,-78.0,125.4,112.2,3.6,-51.3,11
11,Government-sponsored enterprises; unidentified miscellaneous liabilities,FA403193005,-3.4,-5.3,0.8,10.6,-6.8,0.9,-9.7,1.0,11.1,12
12,Finance companies; unidentified miscellaneous liabilities,FA613193005,-8.2,-5.3,-30.0,-26.4,-26.2,7.2,-46.6,-24.0,-56.6,13
13,Real estate investment trusts; unidentified miscellaneous liabilities,FA643193005,6.9,-1.9,11.7,41.5,-51.4,26.0,29.3,0.3,-8.6,14
14,Security brokers and dealers; unidentified miscellaneous liabilities,FA663193005,-52.5,-119.6,-52.9,-109.3,-409.6,-188.8,85.7,66.4,-174.7,15
15,Holding companies; unidentified miscellaneous liabilities,FA733193005,-31.4,-147.7,-14.7,-295.7,-78.0,5.6,-123.3,110.7,-51.8,16
16,Funding corporations; unidentified miscellaneous liabilities (net),FA503193005,-57.8,95.1,123.5,-112.3,303.9,82.7,240.8,77.0,93.6,17
17,All sectors; unidentified miscellaneous assets,FA893093005,932.5,735.9,809.4,453.9,741.1,1590.2,608.1,566.5,472.9,18
