, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,"State and local government employee retirement funds; consumption of fixed capital, nonresidential structures, equipment, and intellectual property products, current cost basis (gross saving)",FA226330005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1
1,"State and local government employee retirement funds; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA225013005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2
2,State and local government employee retirement funds; total financial assets(1),FA224090005,175.4,205.4,218.2,174.0,240.5,240.1,215.6,215.1,201.9,3
3,State and local government employee defined benefit retirement funds; checkable deposits and currency; asset,FA223020043,0.4,0.0,0.1,-0.3,-0.1,-0.8,0.7,0.5,0.1,4
4,State and local government employee defined benefit retirement funds; total time and savings deposits; asset,FA223030045,3.2,0.2,1.2,-2.2,-1.2,-7.0,6.2,4.7,0.9,5
5,State and local government employee retirement funds; money market mutual fund shares; asset,FA223034005,2.9,0.3,0.2,-6.4,2.4,-12.2,7.2,5.2,0.7,6
6,State and local government employee defined benefit retirement funds; security repurchase agreements; asset,FA222051043,0.3,0.0,0.1,-0.2,-0.1,-0.7,0.6,0.4,0.1,7
7,State and local government employee defined benefit retirement funds retirement funds; debt securities; asset,FA224022045,20.3,-5.7,59.7,-20.0,34.1,58.0,79.4,80.0,21.3,8
8,State and local government employee defined benefit retirement funds; commercial paper; asset,FA223069143,3.4,0.3,1.3,-2.4,-1.4,-7.6,6.8,5.1,1.0,9
9,State and local government employee defined benefit retirement funds; Treasury securities; asset,FA223061143,-7.0,-6.5,12.5,-17.8,5.2,3.1,26.6,20.3,0.1,10
10,State and local government employee defined benefit retirement funds; agency- and GSE-backed securities; asset,FA223061743,-4.1,-6.7,6.4,-7.8,1.5,1.7,14.7,11.1,-1.8,11
11,State and local government employee defined benefit retirement funds; municipal securities; asset,FA223062043,-0.2,-0.2,0.1,-0.7,-0.1,1.6,0.2,-1.2,-0.1,12
12,State and local government employee defined benefit retirement funds; corporate and foreign bonds; asset,FA223063045,28.2,7.5,39.3,8.8,28.9,59.2,31.1,44.7,22.1,13
13,State and local government employee defined benefit retirement funds; total mortgages; asset,FA223065043,0.6,-0.4,-3.2,-1.9,-1.3,-5.1,0.0,-6.2,-1.5,14
14,State and local government employee defined benefit retirement funds; corporate equities; asset,FA223064145,-132.2,-66.7,-68.4,-47.7,-72.9,-8.6,-77.3,-119.8,-67.9,15
15,State and local government employee retirement funds; mutual fund shares; asset,FA223064205,11.3,15.7,-7.0,-20.6,3.7,10.5,-13.6,-32.0,7.1,16
16,State and local government employee retirement funds; miscellaneous assets,FA223090005,268.6,262.0,235.4,273.3,276.0,206.0,212.3,282.3,241.1,17
17,State and local government employee defined contribution retirement funds; unallocated insurance contracts; asset(2),FA223095505,-6.4,1.7,8.3,-15.2,12.9,19.3,7.6,9.8,-3.4,18
18,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset(3),FA223073045,261.1,256.0,232.1,298.0,267.3,218.1,204.0,261.2,245.2,19
19,State and local government employee retirement funds; unidentified miscellaneous assets,FA223093005,13.9,4.3,-5.0,-9.4,-4.2,-31.4,0.7,11.3,-0.7,20
20,State and local government employee retirement funds; pension entitlements (total liabilities)(4),FA224190005,175.3,205.4,218.1,173.9,240.4,240.1,215.5,215.0,201.8,21
21,State and local government employee defined benefit retirement funds; total financial assets,FA224090045,205.3,210.1,215.7,212.6,215.7,215.7,215.7,215.7,215.7,22
22,State and local government employee defined contribution retirement funds; total financial assets,FA224090055,-29.9,-4.7,2.5,-38.7,24.8,24.4,-0.1,-0.6,-13.8,23
