, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Domestic nonfinancial sectors; total financial assets,FL384090005,96560.6,100095.4,105870.8,97747.1,100095.4,100637.4,101722.9,103878.6,105870.8,1
1,Federal government; U.S. official reserve assets,FL313011005,98.0,86.9,86.9,89.2,86.9,88.0,88.1,90.0,86.9,2
2,Domestic nonfinancial sectors; private foreign deposits; asset,FL383091005,115.4,80.4,81.8,85.9,80.4,70.6,80.1,82.8,81.8,3
3,Domestic nonfinancial sectors; checkable deposits and currency; asset,FL383020005,2500.9,2775.1,2963.6,2507.8,2775.1,2802.7,2884.9,2859.5,2963.6,4
4,Domestic nonfinancial sectors; total time and savings deposits; asset,FL383030005,9226.9,9737.2,10515.0,9597.8,9737.2,9855.5,9940.5,10327.7,10515.0,5
5,Domestic nonfinancial sectors; money market mutual fund shares; asset,FL383034005,1921.7,1914.0,1886.8,1828.0,1914.0,1882.0,1836.2,1821.3,1886.8,6
6,Domestic nonfinancial sectors; security repurchase agreements; asset,FL382051005,153.5,169.7,172.6,165.9,169.7,167.3,166.9,169.3,172.6,7
7,Domestic nonfinancial sectors; debt securities; asset,FL384022005,5481.3,5953.1,5864.8,5831.0,5953.1,5710.9,5304.9,5360.5,5864.8,8
8,Domestic nonfinancial sectors; commercial paper; asset,FL383069105,122.6,118.1,127.9,120.5,118.1,115.7,120.0,123.5,127.9,9
9,Domestic nonfinancial sectors; Treasury securities; asset,FL383061105,1558.7,1895.0,2201.1,1767.7,1895.0,1865.8,1832.0,1970.6,2201.1,10
10,Domestic nonfinancial sectors; agency- and GSE-backed securities; asset,FL383061705,750.1,949.4,843.4,856.2,949.4,894.8,826.8,777.4,843.4,11
11,Domestic nonfinancial sectors; municipal securities; asset,FL383062005,1728.0,1676.2,1691.6,1724.4,1676.2,1663.0,1639.3,1648.6,1691.6,12
12,Domestic nonfinancial sectors; corporate and foreign bonds; asset,FL383063005,1321.9,1314.5,1000.8,1362.2,1314.5,1171.6,886.8,840.5,1000.8,13
13,Domestic nonfinancial sectors; loans; asset,FL384023005,2538.1,2597.9,2707.1,2607.1,2597.9,2680.0,2694.1,2708.9,2707.1,14
14,Domestic nonfinancial sectors; other loans and advances; asset,FL383069005,1088.6,1040.9,1041.7,1061.1,1040.9,1082.3,1084.7,1061.2,1041.7,15
15,Domestic nonfinancial sectors; total mortgages; asset,FL383065005,511.4,519.7,533.7,518.9,519.7,523.4,525.0,528.9,533.7,16
