,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
0,Households and nonprofit organizations; gross value added (IMA),FA156902505,1855.3,1913.6,1928.8,1974.4,2029.4,2084.3,2165.2,2258.9,1
1,"Households and nonprofit organizations; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis (NIPA basis)",FA156300003,414.6,403.3,400.5,398.2,404.6,427.7,456.3,471.8,2
2,Households and nonprofit organizations; net value added (IMA),FA156902605,1440.7,1510.3,1528.3,1576.1,1624.8,1656.6,1708.9,1787.1,3
3,Households and nonprofit organizations; compensation of employees paid (IMA),FA156025005,658.2,686.6,696.4,723.9,759.2,779.8,811.5,852.1,4
4,Households and nonprofit organizations; wages and salaries paid (IMA),FA156020001,549.9,566.1,577.3,597.0,624.7,641.7,669.2,705.3,5
5,Households and nonprofit organizations; employers' social contributions paid (IMA),FA156401001,108.3,120.5,119.1,126.9,134.4,138.1,142.2,146.7,6
6,"Households and nonprofit organizations; taxes on production and imports less subsidies, payable (IMA)",FA156240101,143.2,152.4,152.8,154.9,156.0,157.7,159.6,161.1,7
7,"Households and nonprofit organizations; operating surplus, net (IMA)",FA156402101,639.3,671.3,679.1,697.2,709.6,719.0,737.8,773.9,8
8,"Households and nonprofit organizations; net national income/balance of primary incomes, net (IMA)",FA156140005,11247.7,10643.4,10889.5,11566.0,12269.0,12519.3,13181.4,13726.3,9
9,"Households and nonprofit organizations; operating surplus, net (IMA)",FA156402101,639.3,671.3,679.1,697.2,709.6,719.0,737.8,773.9,10
10,Households and nonprofit organizations; compensation of employees received,FA156025105,8078.3,7787.0,7961.4,8269.0,8609.9,8842.4,9253.4,9693.1,11
11,Households and nonprofit organizations; wages and salaries received (IMA),FA156020101,6531.9,6251.4,6377.5,6633.2,6930.3,7116.7,7476.3,7854.8,12
12,Households and nonprofit organizations; supplements to wages and salaries,FA156401101,1546.4,1535.6,1583.9,1635.9,1679.6,1725.8,1777.1,1838.2,13
13,Households and nonprofit organizations; property income (received) (IMA),FA156150105,3303.6,2901.9,2900.2,3207.9,3526.7,3507.2,3739.9,3820.4,14
14,Households and nonprofit organizations; interest received (IMA),FA156130101,1363.0,1265.5,1196.2,1232.9,1290.1,1263.0,1302.3,1304.1,15
15,"Households and nonprofit organizations; distributed income of corporations, received (IMA)",FA156120105,1940.6,1636.4,1704.0,1975.0,2236.6,2244.3,2437.6,2516.2,16
16,Households and nonprofit organizations; dividends received (IMA),FA156121101,805.4,553.7,544.6,682.2,834.9,794.4,926.1,951.1,17
