, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Domestic financial sectors; depository institution loans n.e.c.; asset,FL793068005,2910.2,3205.8,3359.4,3099.6,3205.8,3284.0,3341.6,3362.0,3359.4,1
1,Households and nonprofit organizations; depository institution loans n.e.c.; liability,FL153168005,211.9,325.7,352.9,268.7,325.7,337.7,366.4,319.2,352.9,2
2,Nonfinancial corporate business; depository institution loans n.e.c.; liability,FL103168005,856.0,935.8,985.0,905.5,935.8,964.5,977.3,986.9,985.0,3
3,Nonfinancial noncorporate business; depository institution loans n.e.c.; liability,FL113168005,1077.1,1174.9,1246.9,1136.6,1174.9,1208.2,1224.8,1237.1,1246.9,4
4,Domestic financial sectors; depository institution loans n.e.c.; liability,FL793168005,460.0,441.4,462.1,463.8,441.4,445.0,444.6,497.2,462.1,5
5,Finance companies; depository institution loans n.e.c.; liability,FL613168000,139.1,152.9,153.1,150.4,152.9,153.8,152.3,154.0,153.1,6
6,Real estate investment trusts; depository institution loans n.e.c.; liability,FL643168005,33.1,40.4,30.1,44.3,40.4,38.7,36.1,35.3,30.1,7
7,Security brokers and dealers; depository institution loans n.e.c.; liability,FL663168005,93.5,92.5,104.4,90.2,92.5,92.3,101.0,103.9,104.4,8
8,Holding companies; depository institution loans n.e.c.; liability,FL733168003,194.2,155.6,174.5,178.8,155.6,160.3,155.2,204.1,174.5,9
9,Monetary authority; depository institution loans n.e.c. to funding corporations; asset,FL713068505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
10,Rest of the world; depository institution loans n.e.c.; liability,FL263168005,305.3,328.0,312.6,325.1,328.0,328.7,328.6,321.6,312.6,11
11,Rest of the world; depository institution loans n.e.c. to foreign official institutions; liability,FL263168465,8.2,9.5,7.3,8.8,9.5,8.2,9.1,9.0,7.3,12
12,Rest of the world; depository institution loans n.e.c. to foreign banks; liability,FL263168475,89.8,91.0,74.2,92.1,91.0,82.7,78.1,75.0,74.2,13
13,Rest of the world; depository institution loans n.e.c. to foreigners other than foreign official institutions and foreign banks; liability,FL263168485,207.3,227.5,231.0,224.1,227.5,237.7,241.4,237.6,231.0,14
14,Domestic financial sectors; depository institution loans n.e.c.; asset,FL793068005,2910.2,3205.8,3359.4,3099.6,3205.8,3284.0,3341.6,3362.0,3359.4,15
15,Monetary authority; depository institution loans n.e.c.; asset(2),FL713068005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
16,"U.S.-chartered depository institutions, including IBFs; depository institution loans n.e.c.; asset",FL763068005,2236.2,2465.3,2601.8,2377.9,2465.3,2529.2,2577.4,2594.5,2601.8,17
17,Foreign banking offices in the U.S.; depository institution loans n.e.c.; asset,FL753068005,603.3,667.6,675.0,650.1,667.6,679.0,692.6,689.6,675.0,18
18,Banks in U.S.-affiliated areas; depository institution loans n.e.c.; asset,FL743068005,17.1,15.1,13.9,15.1,15.1,14.6,14.3,14.1,13.9,19
19,Credit unions; depository institution loans n.e.c.; asset,FL473068005,53.7,57.7,68.7,56.4,57.7,61.1,57.3,63.8,68.7,20
