, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; unidentified miscellaneous liabilities,FL893193005,5858.2,5555.6,5607.1,5558.9,5555.6,5521.7,5710.2,5680.0,5607.1,1
1,Nonfinancial corporate business; unidentified miscellaneous liabilities,FL103193005,3840.9,3723.1,3586.4,3523.8,3723.1,3687.2,3653.6,3587.8,3586.4,2
2,Nonfinancial noncorporate business; unidentified miscellaneous liabilities,FL113193003,1339.4,1367.9,1385.3,1362.9,1367.9,1372.3,1376.6,1381.0,1385.3,3
3,Federal government; liability due to FICO,FL313193013,1.8,1.2,0.6,1.3,1.2,1.0,0.9,0.7,0.6,4
4,Monetary authority; unidentified miscellaneous liabilities,FL713193005,18.4,18.1,17.3,19.4,18.1,18.5,18.0,17.5,17.3,5
5,"U.S.-chartered depository institutions, including IBFs; unidentified miscellaneous liabilities",FL763193005,717.8,719.6,738.3,771.1,719.6,743.0,790.2,760.7,738.3,6
6,"Foreign banking offices in the U.S., including IBFs; unidentified miscellaneous liability",FL753193005,119.6,108.3,96.9,112.4,108.3,127.6,141.3,112.9,96.9,7
7,Banks in U.S.-affiliated areas; unidentified miscellaneous liabilities,FL743193005,12.7,10.4,10.1,10.9,10.4,10.8,10.7,11.6,10.1,8
8,Credit unions; unidentified miscellaneous liabilities,FL473193005,15.4,16.0,20.1,15.7,16.0,21.0,17.1,15.7,20.1,9
9,Property-casualty insurance companies; unidentified miscellaneous liabilities,FL513193005,159.4,157.4,153.1,174.2,157.4,146.9,149.2,156.1,153.1,10
10,Life insurance companies; unidentified miscellaneous liabilities,FL543193005,338.1,335.1,396.9,354.6,335.1,366.4,408.8,409.7,396.9,11
11,Government-sponsored enterprises; unidentified miscellaneous liabilities,FL403193005,59.0,53.7,54.5,55.4,53.7,54.0,51.5,51.8,54.5,12
12,Finance companies; unidentified miscellaneous liabilities,FL613193005,-36.6,-28.7,-58.7,-29.4,-28.7,-23.1,-42.0,-40.8,-58.7,13
13,Real estate investment trusts; unidentified miscellaneous liabilities,FL643193005,82.3,80.4,92.2,93.3,80.4,86.9,94.2,94.3,92.2,14
14,Security brokers and dealers; unidentified miscellaneous liabilities,FL663193005,-1442.1,-1418.6,-1430.8,-1516.2,-1418.6,-1508.0,-1455.3,-1443.9,-1430.8,15
15,Holding companies; unidentified miscellaneous liabilities,FL733193005,708.2,391.4,401.8,622.2,391.4,386.1,378.9,401.4,401.8,16
16,Funding corporations; unidentified miscellaneous liabilities (net),FL503193005,-76.2,20.4,143.2,-12.8,20.4,31.0,116.6,163.5,143.2,17
17,All sectors; unidentified miscellaneous assets,FL893093005,14382.8,14996.2,15899.8,14912.0,14996.2,15308.2,15531.6,15717.3,15899.8,18
18,Nonfinancial corporate business; unidentified miscellaneous assets,FL103093005,7504.2,8278.6,8777.4,7973.6,8278.6,8374.3,8473.7,8538.0,8777.4,19
19,Nonfinancial noncorporate business; unidentified miscellaneous assets,FL113093005,2889.2,3092.1,3293.8,3025.7,3092.1,3149.5,3196.1,3249.2,3293.8,20
20,Federal government; unidentified miscellaneous assets,FL313093003,93.6,105.8,117.0,103.4,105.8,109.4,112.1,114.4,117.0,21
21,"State and local governments, excluding employee retirement funds; unidentified miscellaneous assets",FL213093003,112.6,124.1,128.2,123.7,124.1,124.7,125.5,127.4,128.2,22
22,Monetary authority; unidentified miscellaneous assets,FL713093005,233.9,215.8,199.4,219.1,215.8,210.9,206.3,201.5,199.4,23
23,"U.S.-chartered depository institutions, including IBFs; unidentified miscellaneous assets",FL763093005,474.6,476.2,505.7,496.9,476.2,513.3,557.6,516.2,505.7,24
24,"Foreign banking offices in the U.S., including IBFs; unidentified miscellaneous assets",FL753093005,71.3,58.4,63.3,61.0,58.4,64.1,70.5,64.0,63.3,25
25,Banks in U.S.-affiliated areas; unidentified miscellaneous assets,FL743093005,33.4,34.9,41.6,36.1,34.9,40.3,37.1,36.1,41.6,26
26,Credit unions; unidentified miscellaneous assets,FL473093005,63.5,69.2,81.0,68.3,69.2,76.9,82.5,72.1,81.0,27
27,Property-casualty insurance companies; unidentified miscellaneous assets,FL513093005,199.8,220.7,248.8,223.9,220.7,237.8,242.0,246.7,248.8,28
28,Life insurance companies; unidentified miscellaneous assets,FL543093005,492.9,501.1,559.5,522.3,501.1,522.8,558.3,554.4,559.5,29
29,Private pension funds; unidentified miscellaneous assets,FL573093005,660.6,705.2,735.6,696.9,705.2,711.9,721.9,727.8,735.6,30
30,State and local government employee retirement funds; unidentified miscellaneous assets,FL223093005,168.7,173.0,168.0,174.1,173.0,165.2,165.3,168.2,168.0,31
31,Money market mutual funds; unidentified miscellaneous assets,FL633093005,17.0,10.0,3.7,14.0,10.0,12.3,8.4,5.7,3.7,32
32,Mutual funds; unidentified miscellaneous assets,FL653093005,268.3,217.1,124.0,217.4,217.1,244.6,232.0,229.0,124.0,33
33,Exchange-traded funds; unidentified miscellaneous assets (commodity funds),LM563093003,57.0,49.3,62.8,52.7,49.3,63.6,76.6,77.4,62.8,34
34,Government-sponsored enterprises; unidentified miscellaneous assets,FL403093005,154.7,148.2,150.8,154.2,148.2,156.1,164.0,171.5,150.8,35
35,Finance companies; unidentified miscellaneous assets,FL613093005,-172.0,-178.9,-245.6,-205.9,-178.9,-165.4,-204.8,-227.4,-245.6,36
36,Real estate investment trusts; unidentified miscellaneous assets,FL643093005,126.5,136.7,161.8,140.1,136.7,146.4,154.0,157.1,161.8,37
37,Security brokers and dealers; unidentified miscellaneous assets,FL663093005,145.3,108.7,117.2,121.5,108.7,96.1,106.1,106.2,117.2,38
38,Holding companies; unidentified miscellaneous assets,FL733093005,787.6,450.1,605.7,693.1,450.1,453.4,446.3,581.8,605.7,39
39,Instrument discrepancies; total miscellaneous assets,FL903090005,-8524.6,-9440.7,-10292.7,-9353.1,-9440.7,-9786.5,-9821.4,-10037.3,-10292.7,40
