, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,"Pension funds; consumption of fixed capital, nonresidential structures, equipment, and intellectual property products, current cost basis (gross saving)",FA596330005,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1
1,"Pension funds; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA595013005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2
2,Pension funds; total financial assets(2),FA594090005,273.9,381.8,380.3,272.1,440.8,562.9,356.9,299.7,301.7,3
3,Pension funds; checkable deposits and currency; asset,FA593020005,3.6,1.0,2.5,2.2,2.2,1.7,3.6,2.3,2.3,4
4,Pension funds; total time and savings deposits; asset,FA593030005,5.1,1.6,2.7,-0.9,0.0,-5.1,8.1,5.9,2.1,5
5,Pension funds; money market mutual fund shares; asset,FA593034005,3.8,-4.3,4.9,3.6,1.8,-3.4,9.4,7.3,6.4,6
6,Pension funds; security repurchase agreements; asset,FA592051005,0.5,-0.2,0.1,-0.5,-0.3,-0.6,0.6,0.4,0.1,7
7,Pension funds; debt securities; asset,FA594022005,128.4,131.9,190.1,-328.8,1567.2,192.4,178.3,200.1,189.7,8
8,Pension funds; commercial paper; asset,FA593069105,5.4,3.3,3.9,0.5,1.4,-4.6,10.0,7.1,3.4,9
9,Pension funds; Treasury securities; asset(3),FA593061105,75.8,106.3,120.5,-364.4,1507.2,113.5,99.6,119.1,149.9,10
10,Pension funds; agency- and GSE-backed securities; asset,FA593061705,-7.1,-15.2,4.4,-9.4,-0.1,0.6,11.5,9.7,-4.4,11
11,State and local government employee defined benefit retirement funds; municipal securities; asset,FA223062043,-0.2,-0.2,0.1,-0.7,-0.1,1.6,0.2,-1.2,-0.1,12
12,Pension funds; corporate and foreign bonds; asset,FA593063005,54.4,37.7,61.2,45.2,58.9,81.3,57.1,65.4,41.0,13
13,Pension funds; total mortgages; asset,FA593065005,2.2,-3.2,-3.2,-3.6,-2.6,-4.7,-0.1,-6.6,-1.3,14
14,Pension funds; corporate equities; asset,FA593064105,-312.6,-179.1,-130.4,-148.1,-177.1,-65.3,-171.0,-201.5,-83.6,15
15,Pension funds; mutual fund shares; asset,FA593064205,51.8,49.8,15.2,-70.4,43.6,160.3,0.5,-64.5,-35.4,16
16,Pension funds; total miscellaneous assets,FA593090005,391.0,384.3,298.2,818.5,-994.1,287.8,327.5,356.3,221.4,17
17,Pension funds; unallocated insurance contracts; asset(4),FA593095005,-14.5,-1.9,23.3,-37.6,15.9,60.1,13.1,19.1,1.0,18
18,Private pension funds; pension fund contributions receivable; asset,FA573074005,-2.9,-4.3,-1.4,-4.4,-3.5,-1.1,-2.0,-2.3,-0.4,19
19,Pension funds; claims of pension fund on sponsor; asset(5),FA593073005,368.6,341.6,250.9,842.2,-1035.8,233.5,275.7,304.5,190.0,20
20,Pension funds; unidentified miscellaneous assets,FA593093005,39.8,48.9,25.4,18.3,29.3,-4.7,40.7,34.9,30.7,21
21,Pension funds; total liabilities(6),FA594190005,273.8,381.8,380.2,272.0,440.8,562.9,356.8,299.6,301.7,22
22,Households and nonprofit organizations; retirement assets(7),FA153050015,518.9,635.6,ND,584.3,675.5,792.1,372.8,346.8,ND,23
23,Defined benefit pension funds; total financial assets,FA594090045,274.4,269.4,267.7,271.1,267.6,268.0,267.8,267.3,267.8,24
24,Defined contribution pension funds; total financial assets,FA594090055,-0.5,112.4,112.6,1.0,173.3,295.0,89.2,32.4,34.0,25
25,All sectors; IRAs; liability(8),FA893131573,234.3,198.4,ND,172.9,185.1,231.0,70.7,57.4,ND,26
26,"Life insurance companies; pension entitlements, excluding unallocated insurance contracts and IRAs; liability(9)",FA543150015,10.7,55.5,ND,139.4,49.6,-1.9,-54.8,-10.2,ND,27
