, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Pension funds; total financial assets(2),FL594090005,17641.1,18214.5,19077.4,17907.3,18214.5,18408.1,18623.5,18913.4,19077.4,1
1,Pension funds; checkable deposits and currency; asset,FL593020005,23.3,24.3,26.8,23.7,24.3,24.7,25.6,26.2,26.8,2
2,Pension funds; total time and savings deposits; asset,FL593030005,73.4,74.9,77.7,74.9,74.9,73.7,75.7,77.2,77.7,3
3,Pension funds; money market mutual fund shares; asset,FL593034005,207.2,202.9,207.8,202.5,202.9,202.1,204.4,206.2,207.8,4
4,Pension funds; security repurchase agreements; asset,FL592051005,6.6,6.3,6.5,6.4,6.3,6.2,6.3,6.5,6.5,5
5,Pension funds; debt securities; asset,FL594022005,3648.8,3805.7,3995.8,3366.4,3805.7,3818.5,3851.2,3900.9,3995.8,6
6,Pension funds; commercial paper; asset,FL593069105,84.5,87.9,91.8,87.5,87.9,86.7,89.2,91.0,91.8,7
7,Pension funds; Treasury securities; asset(3),FL593061105,2094.5,2200.8,2321.3,1776.5,2200.8,2193.9,2207.0,2236.3,2321.3,8
8,Pension funds; agency- and GSE-backed securities; asset,FL593061705,271.2,255.9,260.3,256.0,255.9,256.1,259.0,261.4,260.3,9
9,State and local government employee defined benefit retirement funds; municipal securities; asset,FL223062043,2.2,2.0,2.1,2.0,2.0,2.4,2.4,2.1,2.1,10
10,Pension funds; corporate and foreign bonds; asset,FL593063005,1196.3,1259.1,1320.3,1244.4,1259.1,1279.4,1293.7,1310.0,1320.3,11
11,Pension funds; total mortgages; asset,FL593065005,34.1,30.9,27.7,31.5,30.9,29.7,29.7,28.0,27.7,12
12,Pension funds; corporate equities; asset,LM593064105,4760.7,4540.1,4843.5,4335.4,4540.1,4532.4,4579.7,4722.5,4843.5,13
13,Pension funds; mutual fund shares; asset,LM593064205,3716.0,3764.7,3988.0,3659.1,3764.7,3812.6,3878.3,4000.9,3988.0,14
14,Pension funds; total miscellaneous assets,FL593090005,5171.2,5764.7,5903.6,6207.4,5764.7,5908.2,5972.4,5945.1,5903.6,15
15,Pension funds; unallocated insurance contracts; asset(4),FL593095005,672.3,664.0,698.3,654.8,664.0,679.0,686.5,697.4,698.3,16
16,Private pension funds; pension fund contributions receivable; asset,FL573074005,76.1,71.8,70.4,72.7,71.8,71.5,71.0,70.4,70.4,17
17,Pension funds; claims of pension fund on sponsor; asset(5),FL593073005,3593.4,4150.6,4231.3,4609.0,4150.6,4280.6,4327.7,4281.3,4231.3,18
18,Pension funds; unidentified miscellaneous assets,FL593093005,829.4,878.2,903.7,870.9,878.2,877.1,887.2,896.0,903.7,19
19,Pension funds; total liabilities(6),FL594190005,17833.6,18399.2,19271.4,18090.0,18399.2,18592.8,18810.0,19103.6,19271.4,20
20,Defined benefit pension funds; pension entitlements (total liabilities),FL594190045,11701.1,12136.7,12571.6,12027.7,12136.7,12245.3,12354.0,12462.8,12571.6,21
21,Defined benefit pension funds; total funded assets(7),FL592000075,8107.6,7986.1,8340.4,7618.7,7986.1,7964.7,8026.3,8181.5,8340.4,22
22,Pension funds; defined benefit claims of pension fund on sponsor; asset,FL593073045,3593.4,4150.6,4231.3,4409.1,4150.6,4280.6,4327.7,4281.3,4231.3,23
23,Households and nonprofit organizations; retirement assets(8),FL153050015,27197.2,27826.4,ND,27275.3,27826.4,28102.7,28479.2,29054.0,ND,24
24,Defined benefit pension funds; total financial assets,FL594090045,11508.5,11952.0,12377.6,11845.1,11952.0,12060.6,12167.5,12272.6,12377.6,25
25,Defined contribution pension funds; total financial assets,FL594090055,6132.6,6262.5,6699.7,6062.3,6262.5,6347.5,6456.0,6640.8,6699.7,26
26,All sectors; IRAs; liability(9),FL893131573,7292.0,7329.0,ND,7133.0,7329.0,7400.0,7527.0,7767.0,ND,27
27,"Life insurance companies; pension entitlements, excluding unallocated insurance contracts and IRAs; liability(10)",FL543150015,2264.1,2283.0,ND,2234.9,2283.0,2294.6,2328.7,2373.6,ND,28
