, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Households and nonprofit organizations; personal income,FA156010001,14809.7,15458.5,16011.8,15556.1,15690.2,15740.1,15929.4,16111.1,16266.8,1
1,Households and nonprofit organizations; personal current taxes,FA156210005,1787.0,1938.7,1966.4,1944.4,1963.8,1932.7,1952.1,1982.4,1998.3,2
2,Households and nonprofit organizations; disposable personal income,FA156012005,13022.7,13519.8,14045.5,13611.7,13726.4,13807.4,13977.3,14128.7,14268.5,3
3,Households and nonprofit organizations; total personal outlays,FA156900005,12296.7,12736.2,13221.3,12813.2,12899.6,12961.9,13154.5,13300.7,13467.9,4
4,Households and nonprofit organizations; personal saving excluding consumer durables and federal government life insurance reserves and Railroad Retirement Board and National Railroad Retirement Investment Trust pension fund reserves (NIPA)(2),FA156007015,726.0,783.6,824.2,798.5,826.8,845.5,822.8,828.0,800.6,5
5,"Federal government; life insurance and pension fund reserves, adjustment to convert NIPA to FOF savings; liability(3)",FA313154015,-2.0,-2.2,-2.4,-2.6,-2.4,-2.9,-3.2,-2.5,-1.1,6
6,Households and nonprofit organizations; adjustment to contributions for government social insurance paid for U.S. affiliated areas,FA156600075,5.1,5.1,5.1,5.1,5.0,5.0,5.1,5.1,5.2,7
7,"Households and nonprofit organizations; consumer durable goods, current cost basis",FA155111005,213.4,241.9,281.3,243.7,241.6,262.4,271.7,285.5,305.6,8
8,"Households and nonprofit organizations; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis, including consumer durables, current cost basis (FOF basis)",FA156300005,1461.4,1505.3,1530.0,1514.7,1527.3,1503.6,1524.2,1540.7,1551.6,9
9,Households and nonprofit organizations; net capital transfers paid(4),FA155440005,9.6,21.5,15.4,21.6,22.7,22.8,16.1,22.4,0.4,10
10,"Households and nonprofit organizations; gross saving less net capital transfers paid including consumer durables, government insurance and pension fund reserves, and contributions for",FA156000105,2384.0,2502.0,2612.6,2527.6,2565.5,2580.8,2594.3,2624.0,2651.2,11
11,Households and nonprofit organizations; gross investment,FA155090005,2785.0,2851.3,2643.9,3281.4,2931.8,3008.1,2559.9,2460.4,2546.9,12
12,Households and nonprofit organizations; total capital expenditures including consumer durables,FA155050005,1821.3,1955.3,2053.6,1975.3,1996.6,2009.2,2034.7,2061.9,2108.8,13
13,"Households and nonprofit organizations; gross fixed investment, consumer durable goods",FA155111003,1218.5,1275.4,1320.3,1284.3,1291.0,1286.2,1308.1,1330.7,1356.2,14
14,"Households and nonprofit organizations; gross fixed investment, residential equipment and structures (includes farm houses)",FA155012005,473.8,542.3,594.6,552.5,571.2,588.2,588.8,590.4,610.8,15
15,"Nonprofit organizations; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA165013005,137.0,145.8,146.9,146.7,142.6,143.0,145.9,149.0,149.9,16
16,Households and nonprofit organizations; acquisition of nonproduced nonfinancial assets (net),FA155420003,-8.0,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,17
17,Households and nonprofit organizations; net lending (+) or borrowing (-) (financial account),FA155000005,963.7,896.0,590.2,1306.1,935.3,998.9,525.2,398.5,438.2,18
18,Households and nonprofit organizations; total financial assets,FA154090005,1380.3,1288.4,1118.6,1497.4,1473.8,1345.9,1158.7,973.2,996.4,19
19,Households and nonprofit organizations; private foreign deposits; asset,FA153091003,-6.4,-14.1,-2.1,-15.0,-17.9,3.3,-8.3,-0.8,-2.5,20
20,Households and nonprofit organizations; checkable deposits and currency; asset,FA153020005,73.2,144.5,14.8,-189.5,325.8,301.7,-45.8,-137.0,-59.6,21
21,Households and nonprofit organizations; total time and savings deposits; asset,FA153030005,438.3,499.9,710.9,767.5,543.4,147.4,555.6,1432.3,708.2,22
22,Households and nonprofit organizations; money market mutual fund shares; asset,FA153034005,-25.6,-44.3,-45.2,-139.3,19.0,110.9,-30.5,-253.0,-8.3,23
23,Households and nonprofit organizations; debt securities; asset,FA154022005,-42.0,145.5,-59.8,1047.1,116.7,42.0,-464.5,102.6,80.8,24
24,Households and nonprofit organizations; Treasury securities; asset,FA153061105,-226.6,216.9,205.5,625.5,89.9,49.8,350.3,374.2,47.5,25
25,Households and nonprofit organizations; agency- and GSE-backed securities; asset,FA153061705,105.3,194.3,-120.1,362.8,445.1,-183.0,-219.1,-211.9,133.7,26
26,Households and nonprofit organizations; municipal securities; asset,FA153062005,-59.0,-61.0,11.2,-7.1,-120.1,-23.5,-45.9,8.2,106.1,27
27,Households and nonprofit organizations; corporate and foreign bonds; asset,FA153063005,138.3,-204.7,-156.4,65.9,-298.2,198.7,-549.8,-67.9,-206.5,28
