, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Banks in U.S.-affiliated areas; total financial assets,FL744090005,91.9,88.5,94.5,89.4,88.5,93.4,90.2,88.5,94.5,1
1,Banks in U.S.-affiliated areas; debt securities; asset,FL744022003,11.1,11.9,13.2,11.4,11.9,11.8,12.5,12.2,13.2,2
2,Banks in U.S.-affiliated areas; Treasury securities; asset,FL743061103,1.3,2.4,3.2,2.2,2.4,2.5,2.8,2.6,3.2,3
3,Banks in U.S.-affiliated areas; agency- and GSE-backed securities; asset,FL743061703,1.7,1.8,1.5,1.8,1.8,1.5,1.5,1.5,1.5,4
4,Banks in U.S.-affiliated areas; municipal securities; asset,FL743062003,2.7,2.1,1.7,2.2,2.1,2.0,2.0,1.8,1.7,5
5,Banks in U.S.-affiliated areas; corporate and foreign bonds; asset,FL743063005,5.3,5.6,6.7,5.2,5.6,5.8,6.3,6.3,6.7,6
6,Banks in U.S.-affiliated areas; loans; asset,FL744023003,47.4,41.7,39.8,41.9,41.7,41.2,40.6,40.2,39.8,7
7,Banks in U.S.-affiliated areas; depository institution loans n.e.c.; asset,FL743068005,17.1,15.1,13.9,15.1,15.1,14.6,14.3,14.1,13.9,8
8,Banks in U.S.-affiliated areas; home mortgages; asset,FL743065103,17.4,15.8,15.1,16.1,15.8,15.7,15.5,15.3,15.1,9
9,Banks in U.S.-affiliated areas; commercial mortgages; asset,FL743065505,13.0,10.8,10.7,10.8,10.8,10.9,10.8,10.8,10.7,10
10,Banks in U.S.-affiliated areas; unidentified miscellaneous assets,FL743093005,33.4,34.9,41.6,36.1,34.9,40.3,37.1,36.1,41.6,11
11,Banks in U.S.-affiliated areas; total liabilities,FL744190005,87.6,84.2,91.3,85.4,84.2,89.9,86.8,86.5,91.3,12
12,Banks in U.S.-affiliated areas; net interbank transactions; liability,FL744110005,-5.3,-5.1,-6.0,-5.4,-5.1,-5.8,-5.9,-7.2,-6.0,13
13,Banks in U.S.-affiliated areas; checkable deposits; liability,FL743127003,33.4,35.0,40.8,35.4,35.0,38.4,37.5,38.5,40.8,14
14,Banks in U.S.-affiliated areas; total time and savings deposits; liability,FL743130003,46.8,43.9,46.4,44.6,43.9,46.5,44.5,43.6,46.4,15
15,Banks in U.S.-affiliated areas; unidentified miscellaneous liabilities,FL743193005,12.7,10.4,10.1,10.9,10.4,10.8,10.7,11.6,10.1,16
16,Banks in U.S.-affiliated areas; uninsured checkable and time and savings deposits; liability(2),FL743139105,19.4,20.1,24.3,20.0,20.1,21.6,21.6,23.2,24.3,17
