, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Private defined benefit pension funds; total financial assets(1),FL574090045,3186.4,3270.3,3343.5,3252.0,3270.3,3288.6,3306.9,3325.2,3343.5,1
1,Private defined benefit pension funds; checkable deposits and currency; asset,FL573020043,10.9,11.7,12.4,11.4,11.7,11.8,12.1,12.3,12.4,2
2,Private defined benefit pension funds; total time and savings deposits; asset,FL573030043,31.8,32.3,33.1,32.2,32.3,32.6,32.8,33.0,33.1,3
3,Private defined benefit pension funds; money market mutual fund shares; asset,FL573034043,38.0,37.7,38.4,37.8,37.7,38.0,38.2,38.4,38.4,4
4,Private defined benefit pension funds; security repurchase agreements; asset,FL572051043,3.0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,5
5,Private defined benefit pension funds; debt securities; asset,FL574022045,850.1,871.7,881.0,866.1,871.7,874.4,877.2,879.8,881.0,6
6,Private defined benefit pension funds; commercial paper; asset,FL573069143,34.6,35.7,36.6,35.5,35.7,36.0,36.3,36.5,36.6,7
7,Private defined benefit pension funds; Treasury securities; asset,FL573061143,180.6,186.3,186.0,184.8,186.3,186.1,185.8,185.8,186.0,8
8,Private defined benefit pension funds; agency- and GSE-backed securities; asset,FL573061743,101.6,98.3,96.9,99.1,98.3,98.0,97.5,97.0,96.9,9
9,Private defined benefit pension funds; corporate and foreign bonds; asset,FL573063043,533.3,551.2,561.5,546.7,551.2,554.3,557.6,560.4,561.5,10
10,Private defined benefit pension funds; total mortgages; asset,FL573065043,14.7,12.7,12.3,13.1,12.7,12.6,12.5,12.4,12.3,11
11,Private defined benefit pension funds; corporate equities; asset,LM573064143,1137.9,1008.5,1046.0,981.2,1008.5,997.2,996.4,1016.4,1046.0,12
12,Private defined benefit pension funds; mutual fund shares; asset,LM573064243,425.6,405.3,425.2,398.1,405.3,405.9,412.7,426.5,425.2,13
13,Private defined benefit pension funds; total miscellaneous assets,FL573090045,674.3,887.7,892.5,909.3,887.7,913.3,922.2,903.6,892.5,14
14,Private defined benefit pension funds; unallocated insurance contracts; asset(2),FL573095405,59.8,53.3,53.8,53.7,53.3,53.0,53.3,53.9,53.8,15
15,Private defined benefit pension funds; pension fund contributions receivable; asset,FL573074043,44.4,39.9,37.9,40.8,39.9,39.5,38.8,38.1,37.9,16
16,Private defined benefit pension funds; claims of pension fund on sponsor; asset(3),FL573073005,283.5,497.4,496.0,520.1,497.4,522.0,528.4,507.5,496.0,17
17,Private defined benefit pension funds; unidentified miscellaneous assets,FL573093043,286.7,297.2,304.8,294.8,297.2,298.8,301.7,304.0,304.8,18
18,Private defined benefit pension funds; pension entitlements (total liabilities)(4),FL574190043,3222.9,3306.9,3380.2,3288.6,3306.9,3325.2,3343.5,3361.8,3380.2,19
