,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
0,Nonfinancial corporate business; gross value added,FA106902501,7256.8,6859.8,7238.7,7592.3,8011.9,8305.2,8703.9,9008.8,1
1,"Nonfinancial corporate business; consumption of fixed capital, structures, equipment, and intellectual property products, including equity REIT residential structures (NIPA basis)",FA106300083,1093.9,1092.0,1094.6,1139.2,1186.2,1228.2,1282.8,1329.6,2
2,Nonfinancial corporate business; net value added,FA106902605,6162.8,5767.8,6144.2,6453.1,6825.7,7077.0,7421.1,7679.2,3
3,Nonfinancial corporate business; compensation of employees paid,FA106025005,4358.0,4088.4,4158.7,4363.4,4593.3,4749.7,4999.5,5259.8,4
4,Nonfinancial corporate business; wages and salaries paid,FA106020001,3619.5,3377.5,3446.1,3622.9,3826.4,3955.2,4181.3,4412.3,5
5,Nonfinancial corporate business; employers' social contributions paid,FA106401001,738.5,710.9,712.6,740.4,766.9,794.4,818.1,847.5,6
6,"Nonfinancial corporate business; taxes on production and imports less subsidies, payable",FA106240101,632.7,605.9,633.0,670.6,690.4,721.5,738.3,754.2,7
7,"Nonfinancial corporate business; operating surplus, net",FA106402101,1172.2,1073.5,1352.5,1419.1,1542.0,1605.8,1683.3,1665.2,8
8,"Nonfinancial corporate business; net national income/balance of primary incomes, net",FA106140005,574.5,630.6,907.3,903.4,917.3,1020.1,1038.7,964.2,9
9,"Nonfinancial corporate business; operating surplus, net",FA106402101,1172.2,1073.5,1352.5,1419.1,1542.0,1605.8,1683.3,1665.2,10
10,Nonfinancial corporate business; property income (received),FA106150105,626.9,563.8,580.3,549.6,531.0,541.1,564.5,550.0,11
11,Nonfinancial corporate business; interest received,FA106130101,302.8,214.6,177.5,176.3,162.2,150.9,150.4,163.1,12
12,Nonfinancial corporate business; dividends received,FA106121101,108.0,139.0,134.4,94.8,106.9,100.6,103.6,100.7,13
13,Nonfinancial corporate business; reinvested earnings on U.S. direct investment abroad; received,FA103092201,216.1,210.2,268.3,278.5,261.8,289.6,310.4,286.3,14
14,Nonfinancial corporate business; uses of property income (paid),FA106150005,1224.6,1006.8,1025.4,1065.3,1155.7,1126.8,1209.1,1250.9,15
