, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Mutual funds; mutual fund shares; liability,LM653164205,13150.6,12897.2,13615.6,12605.7,12897.2,12962.1,13208.8,13682.6,13615.6,1
1,Mutual funds; mutual fund shares; liability,LM653164205,13150.6,12897.2,13615.6,12605.7,12897.2,12962.1,13208.8,13682.6,13615.6,2
2,Households and nonprofit organizations; mutual fund shares; asset,LM153064205,6726.2,6504.3,6851.5,6360.6,6504.3,6513.1,6656.4,6903.2,6851.5,3
3,Nonfinancial corporate business; mutual fund shares; asset,LM103064203,234.5,235.7,255.9,228.3,235.7,238.1,244.1,254.5,255.9,4
4,"State and local governments, excluding employee retirement funds; mutual fund shares; asset",LM213064203,84.3,86.5,93.1,82.9,86.5,87.0,88.3,91.0,93.1,5
5,U.S.-chartered depository institutions; mutual fund shares; asset,LM763064203,59.7,54.9,58.0,53.5,54.9,56.3,57.7,57.0,58.0,6
6,Credit unions; mutual fund shares; asset,LM473064205,2.1,1.9,1.9,2.1,1.9,1.9,2.0,2.0,1.9,7
7,Property-casualty insurance companies; mutual fund shares; asset,LM513064203,18.2,18.4,18.8,17.8,18.4,17.7,17.9,18.3,18.8,8
8,Life insurance companies; mutual fund shares; asset,LM543064205,1701.9,1633.5,1686.2,1590.9,1633.5,1621.5,1638.0,1684.5,1686.2,9
9,Private pension funds; mutual fund shares; asset,LM573064205,3175.5,3216.7,3416.0,3126.8,3216.7,3260.9,3320.7,3430.9,3416.0,10
10,State and local government employee retirement funds; mutual fund shares; asset,LM223064205,540.5,548.0,572.0,532.3,548.0,551.7,557.6,570.0,572.0,11
11,Rest of the world; U.S. mutual fund shares; asset,LM263064203,607.8,597.1,662.1,610.6,597.1,613.9,626.0,671.2,662.1,12
