, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,U.S. national income,FA086010005,15153.9,15665.3,16114.3,15724.4,15836.2,15844.9,15990.1,16262.3,16360.0,1
1,Households and nonprofit organizations; compensation of employees received,FA156025105,9253.4,9693.1,10101.6,9740.0,9892.4,9892.6,10046.5,10186.8,10280.5,2
2,Households and nonprofit organizations; wages and salaries received (IMA),FA156020101,7476.3,7854.8,8189.4,7893.9,8024.6,8011.3,8142.9,8262.3,8341.1,3
3,Households and nonprofit organizations; supplements to wages and salaries,FA156401101,1777.1,1838.2,1912.2,1846.1,1867.8,1881.3,1903.6,1924.5,1939.4,4
4,Nonfinancial business; proprietors' income with IVA and CCAdj,FA146111105,1337.7,1376.8,1417.7,1389.0,1400.9,1403.9,1407.8,1420.8,1438.1,5
5,Nonfinancial noncorporate business; rental income of persons with CCAdj,FA116112103,606.1,659.6,705.1,668.1,677.3,692.8,700.6,705.9,721.3,6
6,Corporate business; corporate profits before tax including IVA and CCAdj,FA096060035,2152.1,2088.1,2068.9,2095.4,1967.5,2033.5,2021.0,2138.8,2082.5,7
7,Corporate business; corporate profits before tax with IVA excluding CCAdj,FA096060025,2265.9,2192.4,2172.7,2200.5,2069.8,2139.2,2127.1,2240.8,2183.5,8
8,Corporate business; corporate profits before tax excluding IVA and CCAdj,FA096060005,2262.9,2137.6,2174.7,2140.8,1998.4,2078.0,2180.6,2242.8,2197.3,9
9,Nonfinancial corporate business; corporate profits before tax excluding IVA and CCAdj,FA106060005,1371.6,1258.6,1273.7,1277.2,1130.1,1229.3,1288.5,1299.9,1277.4,10
10,Domestic financial sectors; corporate profits before tax excluding IVA and CCAdj,FA796060005,480.3,493.2,502.9,489.1,471.8,479.1,484.6,534.0,513.9,11
11,Rest of the world; corporate profits before tax excluding IVA and CCAdj,FA266060005,411.0,385.8,398.0,374.5,396.5,369.6,407.6,408.9,406.0,12
12,Corporate business; taxes on corporate income (accrual basis),FA096231001,532.7,553.8,548.8,530.0,574.9,527.5,543.9,563.4,560.2,13
13,Nonfinancial corporate business; taxes on corporate income,FA106231005,313.7,308.1,322.3,306.1,277.6,312.7,321.4,329.8,325.4,14
