, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,"Federal government; U.S. equity in IBRD, etc.; asset",FA313092803,2.3,2.2,2.0,0.2,0.0,6.8,0.9,0.1,0.0,1
1,"Federal government; U.S. equity in IBRD, etc.; asset",FA313092803,2.3,2.2,2.0,0.2,0.0,6.8,0.9,0.1,0.0,2
2,Monetary authority; Federal Reserve bank stock; liability,FA713164003,1.1,0.9,1.0,0.6,0.7,2.5,0.1,0.3,1.1,3
3,Monetary authority; Federal Reserve bank stock; liability,FA713164003,1.1,0.9,1.0,0.6,0.7,2.5,0.1,0.3,1.1,4
4,Government-sponsored enterprises; equity in government-sponsored enterprises (GSEs); liability,FA403192405,1.2,1.3,2.7,-2.4,7.6,-5.9,10.5,2.6,3.8,5
5,Nonfinancial corporate business; equity in Fannie Mae and Farm Credit System; asset,FA103092405,0.1,0.1,0.1,0.0,0.1,0.4,0.1,-0.2,0.1,6
6,Nonfinancial noncorporate business; equity in Farm Credit System; asset,FA113092405,0.7,0.5,0.7,0.6,0.6,0.3,1.5,1.2,-0.0,7
7,Federal government; equity in government-sponsored enterprises (GSEs); asset,FA313092403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
8,U.S.-chartered depository institutions; equity in FHLB; asset,FA763092405,-0.6,-1.4,2.2,-6.0,5.8,-6.3,9.6,0.7,4.7,9
9,Credit unions; equity in FHLB; asset,FA473092403,0.6,0.4,-0.1,0.5,0.1,0.6,-1.0,0.5,-0.7,10
10,Property-casualty insurance companies; equity in FHLB; asset,FA513092403,0.0,0.0,0.0,-0.0,0.0,-0.0,0.2,0.1,-0.1,11
11,"Life insurance companies, general accounts; equity in FHLB; asset",FA543092473,0.1,0.5,0.3,0.1,-0.2,0.3,0.3,0.7,-0.0,12
12,Finance companies; equity in FHLB; asset,FA613092403,-0.0,0.1,-0.0,0.2,0.2,-0.0,-0.0,0.0,-0.0,13
13,Mortgage real estate investment trusts; equity in FHLB; asset,FA643092473,0.3,1.1,-0.5,2.2,1.0,-1.0,-0.4,-0.3,-0.2,14
14,"U.S.-chartered depository institutions; net transactions due to holding companies, excluding foreign bank subsidiaries; liability",FA763194735,195.9,42.1,118.3,88.6,51.8,151.3,285.1,145.8,-109.1,15
15,Property-casualty insurance companies; net transactions due to holding companies; liability,FA513194733,0.1,-0.8,-0.2,0.8,-1.1,-2.1,1.5,-1.5,1.1,16
16,Life insurance companies; net transactions due to holding companies; liability,FA543194733,0.8,0.5,1.3,0.9,-0.2,3.5,3.0,1.5,-3.1,17
17,Finance companies; net transactions due to holding companies; liability,FA613194733,-13.1,-2.6,-8.5,-1.0,5.5,-14.3,0.4,-12.4,-7.9,18
18,Security brokers and dealers; net transactions due to holding companies; liability,FA663194735,4.8,86.6,152.3,41.8,155.4,90.7,-106.8,515.2,109.9,19
19,Rest of the world; net transactions due to holding companies; liability,FA263194735,-14.6,-6.9,0.4,15.8,-41.6,1.7,73.1,-17.7,-55.5,20
20,Holding companies; net transactions due from own subsidiaries; asset,FA733094703,173.9,119.0,263.4,147.0,169.8,230.9,256.3,631.0,-64.5,21
21,Nonfinancial corporate business; equity investment in finance company subsidiaries; asset,FA103094105,14.1,-4.1,-13.8,-1.6,8.8,-23.0,0.7,-19.9,-12.7,22
22,Nonfinancial corporate business; equity investment in finance company subsidiaries; asset,FA103094105,14.1,-4.1,-13.8,-1.6,8.8,-23.0,0.7,-19.9,-12.7,23
23,Foreign banking offices in the U.S.; equity investment by funding corporations; liability,FA753194503,-20.3,2.2,-5.9,-3.1,-11.9,86.9,-48.8,-36.5,-25.3,24
24,Security brokers and dealers; investment by funding corporations; liability,FA663194505,23.1,36.2,35.5,57.0,43.7,112.7,59.8,-42.9,12.4,25
25,Funding corporations; equity investment in own subsidiaries; asset,FA503094505,2.8,38.4,29.6,54.0,31.8,199.6,11.0,-79.4,-13.0,26
26,Funding corporations; equity investment in funds associated with PPIP; liability,FA503194305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
27,Households and nonprofit organizations; equity investment in funding corporations under PPIP; asset(2),FA153094305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
28,Federal government; equity investment in funding corporations under PPIP; asset,FA313094303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
