, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Mutual funds; mutual fund shares; liability,FA653164205,309.7,95.7,24.9,-35.4,-59.9,-24.1,78.6,201.6,-156.6,1
1,Mutual funds; mutual fund shares; liability,FA653164205,309.7,95.7,24.9,-35.4,-59.9,-24.1,78.6,201.6,-156.6,2
2,Households and nonprofit organizations; mutual fund shares; asset,FA153064205,241.7,58.3,27.2,102.1,18.4,-198.8,125.4,214.9,-32.5,3
3,Nonfinancial corporate business; mutual fund shares; asset,FA103064203,15.2,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,4
4,"State and local governments, excluding employee retirement funds; mutual fund shares; asset",FA213064203,1.0,2.7,1.6,3.5,3.4,1.1,1.2,3.1,1.2,5
5,U.S.-chartered depository institutions; mutual fund shares; asset,FA763064203,-0.7,-0.9,-1.8,-3.3,-1.6,4.1,-0.5,-8.2,-2.8,6
6,Credit unions; mutual fund shares; asset,FA473064205,-0.2,-0.1,-0.1,0.5,-1.0,0.1,0.1,-0.4,-0.1,7
7,Property-casualty insurance companies; mutual fund shares; asset,FA513064203,1.2,0.7,-1.2,0.7,0.7,-3.0,-0.7,-0.8,-0.5,8
8,Life insurance companies; mutual fund shares; asset,FA543064205,-33.0,-29.4,-54.9,-38.0,-19.5,-57.1,-60.6,-39.2,-62.6,9
9,Private pension funds; mutual fund shares; asset,FA573064205,40.6,34.2,22.2,-49.7,39.9,149.8,14.1,-32.5,-42.5,10
10,State and local government employee retirement funds; mutual fund shares; asset,FA223064205,11.3,15.7,-7.0,-20.6,3.7,10.5,-13.6,-32.0,7.1,11
11,Rest of the world; U.S. mutual fund shares; asset,FA263064203,32.7,7.1,31.4,-38.0,-111.4,62.0,5.6,89.4,-31.3,12
