, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Domestic financial sectors; gross saving including foreign earnings retained abroad and CCAdj less net capital transfers paid (other than for financial stabilization program),FA796000105,198.6,211.1,277.8,236.6,167.8,249.3,267.8,304.3,289.8,1
1,Domestic financial sectors; gross investment,FA795090005,256.0,431.6,476.0,373.8,324.6,484.9,287.4,588.3,543.3,2
2,Domestic financial sectors; gross fixed investment,FA795019005,225.5,238.5,252.9,224.4,242.6,241.1,251.8,251.8,266.7,3
3,"Real estate investment trusts; gross fixed investment, multifamily residential structures",FA645012063,7.8,-0.0,7.8,-18.5,-1.1,-1.3,8.4,4.6,19.4,4
4,"Domestic financial sectors; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA795013005,217.7,238.5,245.1,242.8,243.8,242.5,243.4,247.2,247.3,5
5,Domestic financial sectors; net lending (+) or borrowing (-) (financial account),FA795000005,30.5,193.1,223.1,149.5,81.9,243.8,35.6,336.5,276.6,6
6,Domestic financial sectors; total financial assets,FA794090005,2553.4,1359.6,2272.3,1209.6,601.2,4234.2,2091.1,2689.4,74.3,7
7,Monetary authority; U.S. official reserve assets,FA713011005,0.2,0.1,-0.1,0.2,0.1,-0.5,0.0,-0.0,-0.1,8
8,Monetary authority; SDR certificates issued by federal government; asset,FA713014003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
9,Monetary authority; Treasury currency; asset,FA713012003,0.8,1.3,1.0,1.3,1.0,0.6,1.3,1.3,0.7,10
10,Money market mutual funds; private foreign deposits; asset,FA633091003,-9.8,-13.4,-9.2,-39.7,-6.0,26.0,-18.6,-34.2,-10.0,11
11,Domestic financial sectors; net interbank transactions; asset,FA794010005,131.5,-401.8,-216.6,-178.8,-898.0,610.6,-331.4,-492.8,-652.6,12
12,Domestic financial sectors; checkable deposits and currency; asset,FA793020005,-15.8,-13.1,33.1,127.7,-47.4,22.6,69.0,129.1,-88.1,13
13,Domestic financial sectors; total time and savings deposits; asset,FA793030005,14.0,-85.1,-323.3,-237.7,-183.3,301.7,-426.8,-1029.5,-138.6,14
14,Domestic financial sectors; money market mutual fund shares; asset,FA793034005,19.4,36.6,1.6,104.3,-10.2,143.7,-72.6,-19.8,-44.7,15
15,Domestic financial sectors; federal funds and security repurchase agreements; asset,FA792050005,11.0,57.2,66.1,378.0,-260.0,-485.6,508.5,926.0,-684.6,16
16,Domestic financial sectors; debt securities; asset,FA794022005,824.7,634.1,1213.0,-51.6,2102.4,1327.2,1442.0,1192.9,889.9,17
17,Domestic financial sectors; open market paper; asset,FA793069175,-25.1,18.2,-96.7,66.1,-1.8,282.6,-150.4,-579.4,60.4,18
18,Domestic financial sectors; Treasury securities; asset,FA793061105,605.4,416.7,693.2,-40.2,1869.9,645.1,450.3,1005.9,671.4,19
19,Domestic financial sectors; agency- and GSE-backed securities; asset,FA793061705,65.2,27.6,384.4,-39.9,191.9,194.6,663.1,400.9,278.9,20
20,Domestic financial sectors; municipal securities; asset,FA793062005,12.7,65.1,16.4,22.3,58.7,70.5,129.6,-59.1,-75.3,21
21,Domestic financial sectors; corporate and foreign bonds; asset,FA793063005,166.6,106.5,215.7,-60.0,-16.3,134.4,349.3,424.6,-45.5,22
