, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Households and nonprofit organizations; consumer credit; liability,FL153166000,3318.0,3535.7,3764.7,3481.4,3535.7,3538.8,3604.3,3692.2,3764.7,1
1,Households and nonprofit organizations; consumer credit; liability,FL153166000,3318.0,3535.7,3764.7,3481.4,3535.7,3538.8,3604.3,3692.2,3764.7,2
2,"Nonprofit organizations; consumer credit, student loans; asset(1)",FL163066223,47.6,44.2,38.7,45.5,44.2,42.8,41.4,39.9,38.7,3
3,Nonfinancial corporate business; consumer credit; asset,FL103066005,44.4,43.6,42.8,45.0,43.6,41.7,41.9,42.2,42.8,4
4,Nonfinancial noncorporate business; consumer credit; asset,FL113066003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5,"Federal government; consumer credit, student loans; asset(2)",FL313066220,846.2,949.7,1050.1,936.5,949.7,989.7,1001.1,1036.7,1050.1,6
6,U.S.-chartered depository institutions; consumer credit; asset,FL763066000,1343.1,1428.3,1532.1,1383.6,1428.3,1405.8,1446.6,1475.7,1532.1,7
7,Credit unions; consumer credit; asset,FL473066000,302.8,342.3,382.0,333.4,342.3,345.1,357.8,373.5,382.0,8
8,Government-sponsored enterprises; consumer credit held by Sallie Mae; asset,FL403066005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
9,Issuers of asset-backed securities; consumer credit; asset,FL673066000,49.8,46.0,51.8,48.0,46.0,44.4,48.7,50.8,51.8,10
10,Finance companies; consumer credit; asset,FL613066005,684.1,681.7,667.2,689.3,681.7,669.3,666.8,673.4,667.2,11
11,Households and nonprofit organizations; revolving consumer credit; liability(3),FL153166100,891.5,937.9,998.9,891.3,937.9,902.7,930.5,946.1,998.9,12
12,"Households and nonprofit organizations; consumer credit, automobile loans; liability",FL153166400,957.9,1038.8,1110.5,1030.1,1038.8,1046.4,1070.4,1100.1,1110.5,13
13,"Households and nonprofit organizations; consumer credit, student loans; liability(4)",FL153166220,1236.3,1320.4,1406.9,1312.2,1320.4,1357.8,1364.5,1397.3,1406.9,14
14,Households and nonprofit organizations; other non-revolving consumer credit; liability(5),FL153166205,232.3,238.7,248.4,247.6,238.7,231.9,239.0,248.7,248.4,15
