, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Security brokers and dealers; gross saving including foreign earnings retained abroad,FA666000105,6.4,-9.8,10.3,-9.1,-5.6,14.6,11.1,5.3,10.1,1
1,"Security brokers and dealers; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA665013005,15.7,16.9,17.1,17.0,16.9,17.0,17.0,17.1,17.2,2
2,Security brokers and dealers; total financial assets,FA664090005,-153.7,-210.7,-21.6,46.0,-853.8,195.2,300.9,159.7,-742.1,3
3,Security brokers and dealers; checkable deposits and currency; asset,FA663020003,0.0,-5.7,13.1,5.8,-37.9,19.2,12.3,40.4,-19.4,4
4,Security brokers and dealers; security repurchase agreements; asset,FA662051003,-168.2,-19.5,-20.6,289.7,-441.5,-71.9,328.4,27.4,-366.3,5
5,Security brokers and dealers; debt securities; asset,FA664022005,-89.2,-36.7,5.0,-23.4,-174.0,38.5,174.6,-8.1,-185.2,6
6,Security brokers and dealers; commercial paper; asset,FA663069103,-7.8,-1.4,-5.7,-0.4,-0.3,3.2,-13.0,-13.7,0.7,7
7,Security brokers and dealers; Treasury securities; asset,FA663061105,-75.9,5.1,32.3,59.3,-96.8,161.5,61.1,40.2,-133.7,8
8,Security brokers and dealers; agency- and GSE-backed securities; asset,FA663061703,7.7,-12.2,-16.6,-11.0,-52.1,-28.7,78.4,-59.9,-56.1,9
9,Security brokers and dealers; municipal securities; asset,FA663062003,0.2,-4.9,7.1,-12.3,-7.8,19.3,3.5,21.5,-15.9,10
10,Security brokers and dealers; corporate and foreign bonds; asset,FA663063005,-13.5,-23.3,-12.1,-59.0,-17.1,-116.8,44.5,4.0,19.8,11
11,Security brokers and dealers; other loans and advances; asset,FA663069005,38.5,-90.1,-8.4,-297.4,-12.8,-63.6,19.9,119.9,-109.8,12
12,Security brokers and dealers; corporate equities; asset,FA663064103,8.7,-10.3,-3.6,-22.7,74.0,-124.1,3.3,53.9,52.6,13
13,Security brokers and dealers; U.S. direct investment abroad; asset,FA663092003,6.0,11.2,12.1,9.4,10.3,19.2,8.5,12.9,7.7,14
14,Security brokers and dealers; total miscellaneous assets,FA663090005,50.5,-59.6,-19.2,84.4,-271.9,377.8,-246.2,-86.8,-121.6,15
15,Security brokers and dealers; total liabilities,FA664190005,-169.8,-206.0,-32.7,89.2,-875.3,197.2,275.4,189.3,-792.9,16
16,Security brokers and dealers; security repurchase agreements; liability,FA662151003,-220.9,-179.4,-55.2,53.7,-501.7,-8.9,227.5,52.6,-491.9,17
17,Security brokers and dealers; corporate and foreign bonds; liability,FA663163003,11.5,7.4,-2.2,-1.6,-16.4,-47.3,-33.8,58.5,14.0,18
18,Security brokers and dealers; loans; liability,FA664123005,65.4,-49.3,8.1,-16.5,-86.7,156.6,48.3,-88.8,-83.7,19
19,Security brokers and dealers; depository institution loans n.e.c.; liability(1),FA663168005,12.0,-1.0,11.8,-20.7,9.3,-1.2,34.8,11.8,1.8,20
20,Households and nonprofit organizations; cash accounts at brokers and dealers,FA153067005,53.5,-48.3,-3.7,4.2,-96.1,157.8,13.5,-100.5,-85.5,21
21,Security brokers and dealers; corporate equities; liability,FA663164103,-11.7,3.5,-21.5,39.0,-25.7,24.2,-9.6,-22.0,-78.8,22
22,Security brokers and dealers; trade payables; liability,FA663170003,3.4,8.4,10.4,2.4,8.4,-4.1,6.5,18.2,20.9,23
23,Security brokers and dealers; taxes payable; liability,FA663178003,0.3,-0.8,0.1,-0.7,-3.4,3.4,-2.3,2.1,-3.0,24
24,"Security brokers and dealers; foreign direct investment in U.S., adjusted for U.S. Intermediate Holding Companies; liability",FA663192005,4.7,-1.3,-116.4,-0.8,-27.5,70.9,9.0,-434.9,-110.8,25
25,Security brokers and dealers; total miscellaneous liabilities,FA663190005,-24.6,3.2,134.9,-10.5,-210.5,14.6,38.8,538.7,-52.4,26
26,Security brokers and dealers; equity investment by parent companies; liability,FA663194005,27.9,122.8,187.8,98.8,199.1,203.4,-46.9,472.3,122.3,27
27,Security brokers and dealers; unidentified miscellaneous liabilities,FA663193005,-52.5,-119.6,-52.9,-109.3,-409.6,-188.8,85.7,66.4,-174.7,28
28,Security brokers and dealers; proprietors' equity in noncorporate business,FA662090205,2.0,2.3,9.1,24.2,-11.7,-12.2,-9.1,64.9,-7.2,29
29,Security brokers and dealers; sector discrepancy,FA667005005,-25.4,-22.0,-18.0,17.1,-44.0,-0.3,-31.5,17.8,-58.0,30
