,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
0,State and local governments; gross value added (IMA),FA206902505,1385.2,1419.4,1454.2,1471.4,1496.5,1532.0,1575.3,1627.0,1
1,"State and local governments; consumption of fixed capital, equipment, software, and structures, current cost basis (NIPA basis)",FA206300003,200.2,208.2,212.7,222.2,231.9,238.5,246.1,251.0,2
2,State and local governments; net value added (IMA),FA206902605,1185.0,1211.3,1241.5,1249.2,1264.6,1293.5,1329.2,1376.0,3
3,State and local governments; compensation of employees paid (IMA),FA206025001,1207.1,1232.6,1261.3,1266.5,1275.0,1303.3,1341.2,1387.4,4
4,State and local governments; wages and salaries paid (IMA),FA206020001,847.4,862.9,862.6,863.1,870.6,887.6,912.7,944.9,5
5,State and local governments; employers' social contributions paid (IMA),FA206401005,359.7,369.7,398.7,403.5,404.4,415.8,428.5,442.5,6
6,"State and local governments; operating surplus, net",FA206402101,-22.0,-21.4,-19.8,-17.4,-10.4,-9.8,-11.9,-11.4,7
7,"State and local governments; net national income/balance of primary incomes, net (IMA)",FA206140005,901.6,811.0,829.5,864.6,880.3,914.5,957.9,980.8,8
8,"State and local governments; operating surplus, net",FA206402101,-22.0,-21.4,-19.8,-17.4,-10.4,-9.8,-11.9,-11.4,9
9,"State and local governments; taxes on production and imports, receivable (IMA)",FA206240001,947.9,934.8,960.4,994.0,1016.9,1050.1,1075.7,1098.3,10
10,State and local governments; subsidies paid (with negative sign) (IMA),FA206402015,-3.0,-1.4,-1.6,-0.5,-0.5,-0.5,-0.5,-0.5,11
11,State and local governments; property income (received) (IMA),FA206150195,105.7,87.8,82.6,79.2,75.4,75.4,77.2,79.6,12
12,State and local governments; interest received (IMA),FA206130101,91.0,74.4,69.1,64.8,59.8,58.9,59.6,60.7,13
13,State and local governments; dividends received (IMA),FA206121101,2.6,2.1,2.3,2.6,3.3,3.6,3.8,4.2,14
14,State and local governments; rents on land and natural resources received (IMA),FA206112101,12.1,11.2,11.2,11.7,12.3,12.9,13.9,14.7,15
15,State and local governments; interest paid (IMA Q4),FA206130095,127.0,188.8,192.1,190.7,201.2,200.7,182.6,185.2,16
16,"State and local governments; net national income/balance of primary incomes, net (IMA)",FA206140005,901.6,811.0,829.5,864.6,880.3,914.5,957.9,980.8,17
17,"State and local governments; current taxes on income, wealth, etc. received (IMA)",FA206220005,381.0,333.4,345.3,374.3,399.2,431.3,443.2,466.4,18
18,State and local governments; contributions for government social insurance received,FA206601001,18.7,18.6,18.1,18.2,18.0,18.5,19.1,19.0,19
19,State and local governments; social contributions paid,FA206404001,455.4,492.6,523.8,530.4,540.0,563.4,612.9,666.0,20
