, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Domestic nonfinancial sectors; municipal securities; liability,FA383162005,-42.0,14.9,42.4,13.3,-48.4,36.8,94.7,37.3,0.9,1
1,"State and local governments, excluding employee retirement funds; municipal securities; liability",FA213162005,-35.4,8.6,28.1,7.3,-37.1,21.4,66.2,23.2,1.7,2
2,"State and local governments, excluding employee retirement funds; short-term municipal securities; liability(1)",FA213162400,-6.4,-6.1,-2.6,-27.4,-3.4,-0.7,10.7,-15.2,-5.3,3
3,"State and local governments, excluding employee retirement funds; long-term municipal securities; liability",FA213162200,-29.0,14.7,30.7,34.7,-33.8,22.1,55.5,38.4,6.9,4
4,Nonprofit organizations; municipal securities; liability(2),FA163162003,-6.7,-8.0,-3.4,-10.5,-5.2,2.6,-0.9,-9.5,-5.9,5
5,Nonfinancial corporate business; municipal securities; liability,FA103162000,0.1,14.4,17.7,16.4,-6.1,12.7,29.4,23.6,5.2,6
6,Domestic nonfinancial sectors; municipal securities; liability,FA383162005,-42.0,14.9,42.4,13.3,-48.4,36.8,94.7,37.3,0.9,7
7,Households and nonprofit organizations; municipal securities; asset,FA153062005,-59.0,-61.0,11.2,-7.1,-120.1,-23.5,-45.9,8.2,106.1,8
8,Nonfinancial corporate business; municipal securities; asset,FA103062003,0.1,2.8,4.1,-5.5,7.3,-13.6,3.8,77.8,-51.7,9
9,Nonfinancial noncorporate business; municipal securities; asset,FA113062003,-0.3,0.3,0.3,0.2,0.4,0.3,0.3,0.3,0.2,10
10,"State and local governments, excluding employee retirement funds; municipal securities; asset",FA213062003,0.3,0.8,0.5,1.0,1.0,0.3,0.4,0.9,0.4,11
11,U.S.-chartered depository institutions; municipal securities; asset,FA763062000,32.7,47.4,50.3,39.0,42.0,40.1,67.6,40.0,53.4,12
12,Foreign banking offices in the U.S.; municipal securities; asset,FA753062003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
13,Banks in U.S.-affiliated areas; municipal securities; asset,FA743062003,-0.9,-0.6,-0.4,-1.1,-0.4,-0.6,-0.0,-0.7,-0.3,14
14,Credit unions; municipal securities; asset,FA473062005,-0.8,0.6,0.8,0.6,-0.2,1.9,0.4,0.5,0.2,15
15,Property-casualty insurance companies; municipal securities; asset,FA513062003,-15.4,9.4,10.8,6.8,-7.1,11.5,1.9,19.0,10.8,16
16,Life insurance companies; municipal securities; asset,FA543062005,7.7,9.7,8.1,11.4,10.3,10.9,8.4,7.6,5.4,17
17,State and local government employee defined benefit retirement funds; municipal securities; asset,FA223062043,-0.2,-0.2,0.1,-0.7,-0.1,1.6,0.2,-1.2,-0.1,18
18,Money market mutual funds; municipal securities; asset,FA633062000,-26.9,-13.6,-106.2,-12.1,-2.5,-99.6,-53.9,-229.7,-41.6,19
19,Mutual funds; municipal securities; asset (market value),FA653062003,15.1,16.2,42.2,-10.6,21.7,79.8,94.5,82.8,-88.5,20
20,Closed-end funds; municipal securities; asset,FA553062003,0.6,-0.1,0.4,0.8,-0.7,1.2,0.7,-0.1,0.0,21
21,Exchange-traded funds; municipal securities; asset,FA563062003,3.2,3.9,6.2,2.0,5.9,7.1,6.5,6.2,4.9,22
22,Government-sponsored enterprises; municipal securities and Sallie Mae public academic facilities financing and Sallie Mae public warehousing advances; asset,FA403062005,-2.6,-2.6,-2.8,-1.5,-2.2,-2.6,-0.3,-4.9,-3.5,23
23,Security brokers and dealers; municipal securities; asset,FA663062003,0.2,-4.9,7.1,-12.3,-7.8,19.3,3.5,21.5,-15.9,24
24,Rest of the world; municipal securities; asset,FA263062003,4.3,6.9,10.0,2.3,4.4,2.9,6.6,9.2,21.2,25
