, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Federal government; Treasury securities; liability,FA313161105,736.0,724.4,842.8,302.5,2243.0,852.4,770.0,1285.4,463.3,1
1,Federal government; marketable Treasury securities; liability,FA313161205,646.7,688.1,711.2,774.4,800.3,718.7,629.4,1169.9,326.9,2
2,Federal government; Treasury bills; liability,FA313161113,-133.9,54.3,304.6,-151.7,623.2,413.4,-437.6,559.1,683.6,3
3,Federal government; other marketable Treasury securities; liability,FA313161275,781.9,632.4,408.6,926.1,166.3,305.3,1074.9,610.8,-356.7,4
4,Federal government; long-term marketable Treasury securities issued to the Civil Service Retirement Fund through the Federal Financing Bank; liability(2),FA313161283,-1.4,1.4,-2.0,0.0,10.7,0.0,-7.9,0.0,0.0,5
5,Federal government; nonmarketable Treasury securities; liability,FA313161305,89.4,36.3,131.5,-471.9,1442.7,133.7,140.6,115.5,136.4,6
6,Federal government; U.S. savings securities; liability,FA313161400,-3.3,-4.3,-5.8,-4.4,-4.9,-4.9,-5.6,-5.9,-6.7,7
7,"State and local governments, excluding employee retirement funds; State and local government series securities (SLGS); asset",FA213061120,-4.1,-41.3,34.6,-46.4,-43.5,39.5,58.8,72.0,-31.7,8
8,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan G Fund; asset,FA343061123,18.6,15.7,15.4,-274.4,827.7,24.2,12.5,19.1,5.7,9
9,Federal government defined benefit retirement funds; nonmarketable Treasury securities; asset,FA343061145,70.2,74.3,85.8,-90.2,649.7,81.7,56.7,71.9,132.7,10
10,Federal government; other nonmarketable Treasury securities; liability,FA313161375,8.0,-8.0,1.6,-56.5,13.8,-6.6,18.2,-41.6,36.3,11
11,All sectors; Treasury securities; asset,FA893061105,736.0,724.4,842.8,302.5,2243.0,852.4,770.0,1285.4,463.3,12
12,Households and nonprofit organizations; Treasury securities; asset,FA153061105,-226.6,216.9,205.5,625.5,89.9,49.8,350.3,374.2,47.5,13
