,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
0,Monetary authority; gross value added (IMA),FA716902505,3.4,2.5,2.5,2.8,2.6,3.3,4.2,4.1,1
1,"Monetary authority; consumption of fixed capital, nonresidential structures, equipment, and intellectual property products, current cost basis (IMA)",FA716330085,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,2
2,Monetary authority; net value added (IMA),FA716902605,2.6,1.7,1.7,2.0,1.8,2.5,3.3,3.2,3
3,Monetary authority; compensation of employees paid (IMA),FA716025005,1.9,2.1,2.1,2.0,2.0,2.2,2.3,2.4,4
4,Monetary authority; wages and salaries paid (IMA),FA716020001,1.7,1.8,1.8,1.8,1.8,1.9,2.0,2.1,5
5,Monetary authority; employers' social contributions paid (IMA),FA716401001,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,6
6,"Monetary authority; taxes on production and imports less subsidies, payable (IMA)",FA716240101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
7,"Monetary authority; operating surplus, net (IMA)",FA716402101,0.6,-0.3,-0.4,-0.1,-0.2,0.3,1.1,0.9,8
8,"Monetary authority; net national income/balance of primary incomes, net (IMA)",FA716140005,35.2,47.3,71.7,76.6,72.4,80.6,104.4,101.6,9
9,"Monetary authority; operating surplus, net (IMA)",FA716402101,0.6,-0.3,-0.4,-0.1,-0.2,0.3,1.1,0.9,10
10,Monetary authority; property income (received) (IMA),FA716150105,38.9,53.3,78.5,84.5,80.9,90.5,115.9,113.6,11
11,Monetary authority; interest received (IMA),FA716130101,38.9,53.3,78.5,84.5,80.9,90.5,115.9,113.6,12
12,Monetary authority; dividends received (IMA),FA716121101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
13,Monetary authority; reinvested earnings on U.S. direct investment abroad; received (IMA),FA713092281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
14,Monetary authority; uses of property income (paid) (IMA),FA716150005,4.4,5.7,6.4,7.9,8.4,10.2,12.6,12.9,15
15,Monetary authority; interest paid (IMA),FA716130001,3.2,4.3,4.8,6.3,6.7,8.6,11.0,11.2,16
16,"Monetary authority; distributed income of corporations, paid (IMA)",FA716120005,1.2,1.4,1.6,1.6,1.6,1.6,1.7,1.7,17
17,Monetary authority; dividends paid (IMA),FA716121001,1.2,1.4,1.6,1.6,1.6,1.6,1.7,1.7,18
18,"Monetary authority; withdrawals from income of quasi-corporations, paid (IMA)(1)",FA716122001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
19,Monetary authority; reinvested earnings on foreign direct investment in U.S.; paid (IMA),FA713192281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
20,Monetary authority; rents on land and natural resources paid (IMA),FA716112001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
21,"Monetary authority; net national income/balance of primary incomes, net (IMA)",FA716140005,35.2,47.3,71.7,76.6,72.4,80.6,104.4,101.6,22
22,"Monetary authority; current taxes on income, wealth, etc. paid (IMA)",FA716220001,31.7,47.4,79.3,75.4,88.4,79.6,96.9,117.1,23
23,Monetary authority; other current transfers paid (IMA),FA716403001,0.9,0.9,1.1,1.4,1.6,1.8,1.9,1.9,24
24,"Monetary authority; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA)",FA716012005,2.6,-1.1,-8.7,-0.3,-17.6,-0.9,5.6,-17.4,25
25,"Monetary authority; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA)",FA716012005,2.6,-1.1,-8.7,-0.3,-17.6,-0.9,5.6,-17.4,26
26,Monetary authority; net saving including foreign earnings retained abroad and CCAdj less net capital transfers paid,FA716006385,2.6,-1.1,-8.7,-0.3,-17.6,-0.9,5.6,-17.4,27
27,"Monetary authority; disposable income, net; net saving including foreign earnings retained abroad and CCAdj (IMA)",FA716012005,2.6,-1.1,-8.7,-0.3,-17.6,-0.9,5.6,-17.4,28
28,Monetary authority; net capital transfers paid (IMA),FA715440083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
29,"Monetary authority; capital formation, net (IMA)",FA715015085,-0.2,-0.0,-0.2,-0.2,0.0,-0.2,-0.1,-0.1,30
30,"Monetary authority; gross fixed investment, nonresidential structures, equipment, and intellectual property products (IMA)",FA715013085,0.7,0.8,0.7,0.6,0.8,0.6,0.7,0.8,31
31,"Monetary authority; consumption of fixed capital, nonresidential structures, equipment, and intellectual property products, current cost basis (IMA)",FA716330085,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,32
32,Monetary authority; net lending (+) or borrowing (-) (capital account) (IMA),FA715000995,2.8,-1.0,-8.5,-0.0,-17.7,-0.7,5.7,-17.4,33
33,Monetary authority; net lending (+) or borrowing (-) (capital account) (IMA),FA715000995,2.8,-1.0,-8.5,-0.0,-17.7,-0.7,5.7,-17.4,34
34,Monetary authority; total financial assets,FA714090005,1319.8,-4.5,185.5,493.6,9.7,1118.8,481.6,-13.3,35
35,Monetary authority; monetary gold; asset,FA713011203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
36,Monetary authority; total currency and deposits; asset,FA714000005,-0.9,3.7,1.8,1.1,0.9,0.4,1.4,1.9,37
37,Monetary authority; debt securities; asset,FA714022005,-245.0,1349.2,316.3,444.0,64.5,1086.6,480.7,5.1,38
38,Monetary authority; bankers' acceptances; asset,FA713069603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
39,Monetary authority; Treasury securities; asset,FA713061100,-264.7,300.7,244.9,642.0,2.7,542.6,252.6,0.2,40
40,Monetary authority; agency- and GSE-backed securities; asset(2),FA713061705,19.7,1048.5,71.4,-197.9,61.8,543.9,228.1,4.9,41
41,"Monetary authority; loans including security repurchase agreements, excluding mortgages; asset",FA714041005,1564.7,-1434.1,-151.4,32.2,-121.0,-9.1,1.2,-0.6,42
42,Monetary authority; corporate equities; asset,FA713064103,0.0,25.1,1.3,-26.4,0.0,0.0,0.0,0.0,43
