, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,"General government; current receipts, NIPA basis",FA366010115,5516.1,5784.8,5884.7,5770.6,5926.2,5796.5,5827.6,5922.3,5992.4,1
1,General government; personal current taxes,FA366210005,1787.0,1938.7,1966.4,1944.4,1963.8,1932.7,1952.1,1982.4,1998.3,2
2,"General government; taxes on production and imports, receivable (IMA)",FA366240005,1210.2,1237.6,1256.2,1239.9,1247.3,1249.8,1246.7,1260.9,1267.5,3
3,General government; taxes on corporate income (accrual basis),FA366231005,495.2,515.4,509.3,490.7,536.6,487.7,504.4,524.5,520.7,4
4,Federal government; taxes from the rest of the world,FA316231061,21.5,22.1,22.7,23.1,22.0,22.7,21.9,23.3,22.9,5
5,General government; contributions for government social insurance received,FA366601005,1160.0,1208.6,1255.5,1213.4,1229.1,1234.0,1249.9,1264.3,1273.6,6
6,General government; property income (received),FA366150105,152.0,128.8,131.7,147.6,123.6,132.9,120.2,132.6,141.1,7
7,General government; other current transfers received,FA366403105,710.6,752.4,765.4,730.3,823.9,757.3,755.6,757.6,791.0,8
8,"General government; operating surplus, net",FA366402105,-20.2,-18.8,-22.4,-18.9,-20.1,-20.5,-23.3,-23.2,-22.6,9
9,General government; current expenditures,FA366900015,6298.9,6515.8,6728.8,6580.8,6580.3,6638.4,6685.3,6769.7,6821.9,10
10,General government; consumption expenditures,FA366901005,2557.6,2604.9,2655.2,2617.1,2626.5,2623.0,2643.8,2672.3,2681.5,11
11,General government; social contributions paid,FA366404005,2514.4,2647.6,2743.0,2660.5,2676.4,2712.0,2731.4,2754.0,2774.5,12
12,General government; other current transfers paid,FA366403005,547.1,583.2,605.3,591.1,591.3,600.8,587.3,614.3,618.7,13
13,General government; interest paid,FA366130005,623.1,623.4,666.3,654.7,628.9,644.4,663.5,669.0,688.2,14
14,General government; subsidies paid,FA366402005,56.7,56.6,59.2,57.4,57.3,58.3,59.4,60.1,59.0,15
15,General government; net saving including net capital transfers paid,FA366006005,-782.7,-731.0,-844.1,-810.3,-654.2,-841.9,-857.8,-847.4,-829.5,16
16,"General government; consumption of fixed capital, equipment, software, and structures, current cost basis",FA366300005,517.4,522.5,527.0,523.5,523.2,523.3,526.7,527.9,530.1,17
17,"Federal government; life insurance and pension fund reserves, adjustment to convert NIPA to FOF savings; liability(2)",FA313154015,-2.0,-2.2,-2.4,-2.6,-2.4,-2.9,-3.2,-2.5,-1.1,18
18,General government; net capital transfers paid excluding payments under the financial stabilization program(3),FA365440095,-12.5,-17.8,-19.5,-17.5,-20.5,-20.8,-21.3,-20.5,-15.4,19
19,General government; gross saving less net capital transfers paid,FA366000105,-250.8,-188.4,-295.2,-266.7,-108.1,-294.9,-306.6,-296.5,-282.9,20
20,General government; gross investment,FA365090005,-180.8,-132.3,-190.2,-327.2,-39.4,-176.8,-167.7,-515.9,99.5,21
21,General government; gross fixed investment,FA365019005,594.5,613.4,621.9,619.2,618.5,631.3,618.5,613.6,624.2,22
22,General government; acquisition of nonproduced nonfinancial assets (net),FA365420005,6.2,-21.7,0.2,8.5,8.6,8.8,-23.9,7.1,8.7,23
23,General government; net lending (+) or borrowing (-) (financial account),FA365000005,-781.5,-724.1,-812.3,-954.9,-666.4,-816.9,-762.3,-1136.6,-533.4,24
24,General government; total financial assets,FA364090005,256.5,347.2,380.1,194.1,544.0,344.4,399.0,515.9,261.2,25
25,Federal government; U.S. official reserve assets,FA313011005,-3.8,-6.4,1.0,-1.2,-4.0,-4.3,0.7,6.6,0.9,26
26,General government; checkable deposits and currency; asset,FA363020005,76.8,101.1,71.9,-69.5,342.1,104.8,53.3,128.1,1.4,27
27,General government; total time and savings deposits; asset,FA363030005,9.1,13.6,5.5,-2.1,24.7,5.5,15.4,-37.1,38.1,28
28,"State and local governments, excluding employee retirement funds; money market mutual fund shares; asset",FA213034003,5.9,12.1,5.9,14.9,14.8,3.8,4.3,11.1,4.4,29
29,"State and local governments, excluding employee retirement funds; security repurchase agreements; asset",FA212051003,5.2,10.2,4.7,12.4,12.3,3.1,3.5,8.9,3.5,30
30,General government; debt securities; asset,FA364022005,13.3,31.0,64.3,121.4,-5.9,18.5,89.3,150.2,-0.8,31
31,"State and local governments, excluding employee retirement funds; commercial paper; asset",FA213069103,-7.5,-2.8,-1.0,11.1,-9.4,-10.7,1.5,3.8,1.5,32
32,"State and local governments, excluding employee retirement funds; Treasury securities, including SLGS; asset",FA213061105,33.9,44.4,51.4,93.5,60.6,63.6,52.5,107.2,-17.7,33
33,General government; agency- and GSE-backed securities; asset,FA363061705,-17.2,-21.3,7.5,3.2,-70.5,-38.6,30.6,27.1,10.7,34
34,"State and local governments, excluding employee retirement funds; municipal securities; asset",FA213062003,0.3,0.8,0.5,1.0,1.0,0.3,0.4,0.9,0.4,35
35,General government; corporate and foreign bonds; asset,FA363063005,3.7,9.9,6.0,12.7,12.5,3.9,4.4,11.2,4.4,36
36,General government; loans; asset,FA364023005,119.9,118.7,113.3,98.4,131.0,109.3,102.8,114.0,127.2,37
37,General government; total mortgages; asset,FA363065005,7.1,12.4,10.9,12.2,14.2,8.9,5.6,14.8,14.4,38
38,"Federal government; consumer credit, student loans; asset",FA313066220,110.7,103.4,100.4,94.5,103.2,101.5,95.5,97.3,107.4,39
39,Federal government; other loans and advances; asset,FA313069005,2.0,2.9,1.9,-8.3,13.6,-1.1,1.7,1.9,5.3,40
40,General government; corporate equities; asset,FA363064105,0.4,5.3,3.1,6.6,6.6,2.1,2.2,5.9,2.3,41
41,"State and local governments, excluding employee retirement funds; mutual fund shares; asset",FA213064203,1.0,2.7,1.6,3.5,3.4,1.1,1.2,3.1,1.2,42
42,General government; trade receivables; asset,FA363070005,6.0,13.4,11.9,-2.3,42.4,4.4,13.6,27.9,1.7,43
