, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,"Federal government; current receipts, NIPA basis",FA316010105,3288.4,3453.3,3511.6,3447.8,3515.9,3442.5,3484.7,3536.6,3582.8,1
1,Federal government; personal current taxes,FA316210001,1402.3,1532.7,1553.6,1539.9,1553.2,1520.7,1544.3,1566.9,1582.6,2
2,"Federal government; taxes on production and imports, receivable (IMA)",FA316240001,134.6,139.4,137.9,136.9,140.8,138.1,136.8,137.5,139.4,3
3,Federal government; taxes on corporate income (accrual basis),FA316231005,436.6,455.1,449.4,430.6,477.0,425.3,444.7,465.3,462.4,4
4,Federal government; taxes from the rest of the world,FA316231061,21.5,22.1,22.7,23.1,22.0,22.7,21.9,23.3,22.9,5
5,Federal government; contributions for government social insurance received,FA316601001,1140.9,1189.5,1236.2,1194.4,1210.1,1214.9,1230.7,1244.9,1254.1,6
6,Federal government; property income (received),FA316150105,74.8,49.2,49.3,67.6,43.0,51.3,38.3,50.0,57.8,7
7,Federal government; other current transfers received,FA316403105,86.1,72.7,73.4,62.9,79.0,79.1,80.1,60.3,74.2,8
8,"Federal government; operating surplus, net",FA316402101,-8.3,-7.4,-11.0,-7.6,-9.2,-9.7,-12.1,-11.7,-10.6,9
9,Federal government; current expenditures,FA316900005,3901.3,4022.9,4163.8,4070.2,4058.9,4110.8,4137.1,4189.0,4218.2,10
10,Federal government; consumption expenditures,FA316901001,955.9,963.7,978.1,965.1,968.0,969.0,974.6,984.9,983.8,11
11,Federal government; social contributions paid,FA316404001,1901.5,1981.7,2047.7,1988.6,2002.2,2029.0,2044.7,2054.1,2062.9,12
12,Federal government; other current transfers paid (IMA),FA316403001,547.1,583.2,605.3,591.1,591.3,600.8,587.3,614.3,618.7,13
13,Federal government; interest paid (IMA),FA316130001,440.5,438.2,474.1,468.5,440.7,454.2,471.7,476.1,494.2,14
14,Federal government; subsidies paid,FA316402001,56.2,56.1,58.7,56.9,56.8,57.7,58.8,59.5,58.5,15
15,"Federal government; net saving including net capital transfers paid, insurance and pension fund reserves adjustment and contributions for government social insurance for U.S. affiliated areas (NIPA)",FA316006005,-612.9,-569.7,-652.1,-622.3,-543.1,-668.3,-652.4,-652.4,-635.4,16
16,"Federal government; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis (NIPA basis)",FA316300003,271.3,271.5,271.6,271.4,270.8,270.7,271.4,271.9,272.3,17
17,"Federal government; life insurance and pension fund reserves, adjustment to convert NIPA to FOF savings; liability(1)",FA313154015,-2.0,-2.2,-2.4,-2.6,-2.4,-2.9,-3.2,-2.5,-1.1,18
