, Description,Households and Nonprofit Organziations;Use,Households and Nonprofit Organziations;Source,Nonfinancial Business;Use,Nonfinancial Business;Source,Federal Government;Use,Federal Government;Source,State and Local Governments;Use,State and Local Governments;Source,Domestic Nonfinancial Sectors;Use,Domestic Nonfinancial Sectors;Source,Domestic Financial Sectors;Use,Domestic Financial Sectors;Source,Rest of the World;Use,Rest of the World;Source,All Sectors;Use,All Sectors;Source,Instrument Discrep- ancy;
0,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17)
1,Gross saving less net cap. transfers,--,156000105,--,146000105,--,316000105,--,206000105,--,386000105,--,796000105,--,266000105,--,896000105,--
2,Capital consumption,--,156300005,--,146300005,--,316300003,--,206300003,--,386300005,--,796300005,--,--,--,896300005,--
3,Net saving (1 less 2),--,156006305,--,146006305,--,316006305,--,206006305,--,386006305,--,796006305,--,266000105,--,896006305,--
4,Gross investment (5 plus 11),155090005,--,145090005,--,315090005,--,205090005,--,385090005,--,795090005,--,265090005,--,895090005,--,907005005
5,Capital expenditures,155050005,--,145050005,--,315050005,--,205050005,--,385050005,--,795019005,--,265420005,--,895050005,--,906000105
6,Capital expenditures; Consumer durables,155111003,--,--,--,--,--,--,--,155111003,--,--,--,--,--,155111003,--,--
7,Capital expenditures; Residential,155012005,--,145012005,--,315012065,--,215012063,--,385012005,--,645012063,--,--,--,885012005,--,--
8,Capital expenditures; Nonresidential,165013005,--,145013005,--,315013005,--,215013005,--,385013005,--,795013005,--,--,--,885013005,--,--
9,Capital expenditures; Inventory change,--,--,145020005,--,--,--,--,--,145020005,--,--,--,--,--,145020005,--,--
10,Capital expenditures; Nonproduced nonfinancial assets,155420003,--,105420005,--,315420003,--,205420003,--,385420005,--,--,--,265420005,--,--,--,--
11,Net lending (+) or net borrowing (-),155000005,--,145000005,--,315000005,--,215000005,--,385000005,--,795000005,--,265000005,--,895000005,--,905000005
12,Net acquisition of financial assets,154090005,--,144090005,--,314090005,--,214090005,--,384090005,--,794090005,--,264090005,--,894090005,--,--
13,Net increase in liabilities,--,154190005,--,144190005,--,314190005,--,214190005,--,384190005,--,794190005,--,264190005,--,894190005,--
14,Net increase in liabilities; U.S. official reserve assets,--,--,--,--,313011005,313111303,--,--,313011005,313111303,713011005,--,263011005,263111005,893011005,893111005,--
15,Net increase in liabilities; SDR certificates,--,--,--,--,--,713014003,--,--,--,713014003,713014003,--,--,--,713014003,713014003,--
16,Net increase in liabilities; Treasury currency,--,--,--,--,--,313112003,--,--,--,313112003,713012003,--,--,--,713012003,313112003,903012005
17,Net increase in liabilities; Foreign deposits,153091003,--,103091003,--,--,--,--,--,383091005,--,633091003,--,--,263191005,893091005,263191005,903091005
18,Net increase in liabilities; Interbank claims,--,--,--,--,--,--,--,--,--,--,794010005,794110005,264016005,--,894010005,794110005,904010005
19,Net increase in liabilities; Checkable dep. and currency,153020005,--,143020005,--,313020005,--,213020005,--,383020005,--,793020005,793120005,263020005,--,893020005,793120005,903020005
20,Net increase in liabilities; Time and savings deposits,153030005,--,143030005,--,313030003,--,213030005,--,383030005,--,793030005,703130005,263030005,--,703130005,703130005,--
21,Net increase in liabilities; Money market fund shares,153034005,--,143034005,--,--,--,213034003,--,383034005,--,793034005,634090005,263034003,--,634090005,634090005,--
