,Date,Domestic nonfinancial sectorsTotalFG384104005,Domestic nonfinancial sectorsHouseholdsTotalFG154104005,Domestic nonfinancial sectorsHouseholdsHome mortgageFG153165105,Domestic nonfinancial sectorsHouseholdsConsumercreditFG153166000,Domestic nonfinancial sectorsBusinessTotalFG144104005,Domestic nonfinancial sectorsBusinessCorporateFG104104005,Domestic nonfinancial sectorsFederalgovernmentFG314104005,Domestic nonfinancial sectorsState andlocalgovernmentsFG214104005,DomesticfinancialsectorsFG794104005,ForeignFG264104005
0,1982,10.5,5.7,4.8,5.0,10.0,10.3,19.1,11.2,13.4,7.1
1,1983,12.1,11.3,10.2,12.1,9.2,8.4,18.5,11.4,13.1,7.4
2,1984,14.8,12.6,11.4,18.4,16.1,16.6,16.8,11.4,17.7,3.5
3,1985,16.1,16.8,14.6,15.9,11.0,12.6,17.7,31.8,21.1,0.6
4,1986,12.0,11.5,13.7,9.1,11.5,13.9,13.9,10.9,24.9,3.0
5,1987,8.9,9.6,13.4,4.8,7.7,8.8,8.7,12.0,15.9,3.3
6,1988,9.2,9.8,11.8,6.7,9.9,11.0,8.6,6.0,12.9,-1.2
7,1989,7.4,9.0,10.9,6.3,6.3,7.3,7.6,5.3,10.7,-2.0
8,1990,6.6,6.9,8.8,1.9,3.6,5.4,11.0,5.0,8.6,2.8
9,1991,4.7,5.6,7.0,-1.1,-2.1,-2.1,11.2,9.2,7.0,3.4
10,1992,4.7,5.3,6.5,1.1,-0.3,0.6,10.9,1.5,8.0,4.0
11,1993,5.9,6.5,5.5,7.4,3.1,5.2,8.4,5.3,10.4,15.8
12,1994,5.2,7.6,5.6,15.2,5.4,7.1,5.1,-3.9,13.4,-4.5
13,1995,4.8,7.0,4.9,14.4,5.9,6.6,4.2,-5.5,11.8,15.3
14,1996,5.2,6.9,6.2,9.0,5.5,5.3,4.8,-2.0,13.0,14.1
15,1997,5.5,6.5,6.1,5.5,8.5,8.6,1.5,4.9,12.1,10.8
16,1998,6.6,7.7,8.0,7.2,11.5,10.8,-0.3,6.2,19.8,4.5
17,1999,6.6,9.1,9.4,7.8,10.4,9.6,-0.7,3.3,16.8,1.8
18,2000,4.8,8.8,8.7,11.4,9.1,8.3,-6.3,1.4,11.7,7.5
19,2001,5.8,8.7,10.6,8.6,4.8,3.2,1.3,8.8,10.2,-2.4
20,2002,6.7,9.7,13.3,5.6,2.4,0.2,6.8,11.1,8.7,6.3
21,2003,7.7,12.1,14.5,5.3,1.0,-0.1,9.5,8.3,11.1,1.8
22,2004,9.2,11.7,13.5,5.6,5.8,3.4,8.3,11.4,9.5,8.6
23,2005,8.7,10.6,13.4,4.5,7.9,5.2,6.6,6.7,8.8,8.1
24,2006,8.4,10.5,11.2,5.2,9.7,7.2,3.9,4.4,10.4,21.2
25,2007,8.1,7.2,7.4,6.1,12.4,11.5,4.7,6.0,13.7,15.7
26,2008,5.8,0.1,1.0,1.3,5.9,4.2,21.4,1.2,4.6,-9.9
27,2009,3.6,0.4,0.8,-3.6,-4.0,-5.1,20.4,4.4,-9.6,13.8
28,2010,4.4,-0.4,-1.5,-1.1,-0.7,-0.8,18.5,2.4,-5.2,7.4
29,2011,3.5,-0.4,-0.7,4.2,2.7,5.4,10.8,-1.5,-2.2,7.7
30,2012,5.0,2.0,-0.7,5.9,4.6,4.6,10.1,-0.2,-2.7,7.9
31,2013,3.8,1.8,0.1,6.0,4.6,5.8,6.7,-1.8,1.7,8.7
32,2014,4.3,3.0,0.3,7.2,6.1,5.7,5.4,-1.1,2.2,6.6
33,2015,4.4,2.8,1.4,7.0,6.8,6.8,5.0,0.3,1.0,-0.6
34,2016,4.7,3.6,2.6,6.5,5.7,5.2,5.6,1.0,2.9,-0.3
35,2011:Q1,2.8,1.1,-0.6,3.9,1.2,2.9,8.0,-2.7,-1.1,15.5
36,2011:Q2,1.6,-1.1,-0.5,3.4,2.8,5.6,5.4,-3.5,-2.5,15.2
37,2011:Q3,5.4,-2.1,-0.9,3.7,3.3,6.4,18.2,-0.0,-1.9,-3.2
38,2011:Q4,4.2,0.7,-0.8,5.6,3.3,6.1,10.1,0.4,-3.4,2.6
39,2012:Q1,5.3,2.1,-0.6,4.8,3.7,3.3,11.9,-0.5,-3.6,-0.7
40,2012:Q2,5.3,2.0,-0.5,6.8,3.3,2.4,11.9,1.5,-4.0,2.5
41,2012:Q3,4.2,1.0,-0.9,5.1,4.3,4.2,8.7,0.1,-1.7,13.8
42,2012:Q4,4.8,3.0,-0.7,6.6,6.7,8.3,6.6,-1.8,-1.5,14.3
43,2013:Q1,4.5,1.2,-0.3,6.2,3.6,4.4,9.7,-0.0,-0.3,12.8
44,2013:Q2,2.0,1.0,-0.3,5.1,4.4,5.3,1.9,-1.9,1.4,3.3
45,2013:Q3,3.5,3.1,0.7,6.5,6.7,9.1,2.6,-2.6,-0.1,7.8
46,2013:Q4,5.2,1.8,0.1,5.8,3.6,4.0,11.9,-2.7,5.9,10.6
47,2014:Q1,4.3,2.0,-0.1,6.8,6.1,5.9,6.4,-2.3,-0.5,5.0
48,2014:Q2,4.1,4.8,0.2,7.6,5.0,4.1,3.7,-0.3,2.2,14.2
49,2014:Q3,5.1,2.8,0.1,7.1,6.5,6.4,7.9,-2.7,3.7,0.1
50,2014:Q4,3.5,2.3,1.1,6.5,6.4,6.1,3.1,0.7,3.3,6.0
51,2015:Q1,2.7,2.0,0.3,6.1,7.4,8.5,-0.3,1.6,-1.3,5.2
52,2015:Q2,4.4,3.8,2.0,7.9,8.0,8.4,2.7,0.5,2.0,1.8
53,2015:Q3,2.7,1.3,1.4,7.1,5.5,5.6,2.1,0.2,1.9,-5.9
54,2015:Q4,7.8,3.8,1.7,6.2,5.6,4.0,15.4,-1.2,1.5,-3.7
55,2016:Q1,5.3,2.3,1.6,5.6,9.4,10.8,5.6,0.7,4.0,-2.9
56,2016:Q2,4.3,4.3,2.5,6.4,4.0,2.8,5.0,2.2,3.8,-2.6
57,2016:Q3,5.8,3.9,3.0,7.2,6.3,6.2,8.2,0.7,3.5,-1.5
58,2016:Q4,2.9,3.8,3.1,6.2,2.6,0.8,2.9,0.2,0.4,5.7
