, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,"Nonfinancial noncorporate business; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis (gross saving) (NIPA basis)",FA116300005,298.6,308.7,318.8,310.0,312.3,314.4,317.8,320.2,322.7,1
1,Nonfinancial noncorporate business; gross saving less net capital transfers paid(1),FA116000105,298.6,308.7,318.8,310.0,312.3,314.4,317.8,320.2,322.7,2
2,Nonfinancial noncorporate business; gross saving less net capital transfers paid,FA116000105,298.6,308.7,318.8,310.0,312.3,314.4,317.8,320.2,322.7,3
3,Nonfinancial noncorporate business; total capital expenditures,FA115050005,374.5,394.2,381.6,395.5,393.1,385.9,377.0,377.4,386.0,4
4,Nonfinancial noncorporate business; gross fixed investment(2),FA115019005,366.9,382.0,382.4,385.3,386.9,384.7,382.4,378.4,384.0,5
5,Nonfinancial noncorporate business; inventories,FA115020005,7.6,12.2,-0.8,10.2,6.2,1.1,-5.4,-1.0,2.0,6
6,Nonfinancial noncorporate business; net lending (+) or borrowing (-) (financial account),FA115000005,-75.9,-85.5,-62.8,-85.5,-80.8,-71.5,-59.2,-57.2,-63.3,7
7,Nonfinancial noncorporate business; total financial assets,FA114090005,442.6,319.3,336.5,239.6,419.7,377.5,311.4,357.2,299.9,8
8,Nonfinancial noncorporate business; checkable deposits and currency; asset,FA113020005,69.3,40.1,45.6,29.3,54.0,51.2,42.2,48.4,40.6,9
9,Nonfinancial noncorporate business; total time and savings deposits; asset,FA113030003,15.7,27.5,27.6,21.0,35.7,31.0,25.6,29.3,24.6,10
10,Nonfinancial noncorporate business; money market mutual fund shares; asset,FA113034003,2.9,5.9,5.9,4.5,7.6,6.6,5.5,6.3,5.3,11
11,Nonfinancial noncorporate business; debt securities; asset,FA114022005,1.7,4.2,4.2,3.2,5.5,4.7,3.9,4.5,3.8,12
12,Nonfinancial noncorporate business; total U.S. government securities; asset,FA113061003,2.0,3.9,4.0,3.0,5.1,4.4,3.7,4.2,3.5,13
13,Nonfinancial noncorporate business; municipal securities; asset,FA113062003,-0.3,0.3,0.3,0.2,0.4,0.3,0.3,0.3,0.2,14
14,Nonfinancial noncorporate business; loans; asset,FA114023005,-0.4,2.4,2.4,1.8,3.1,2.7,2.2,2.5,2.1,15
15,Nonfinancial noncorporate business; total mortgages; asset,FA113065005,-0.4,2.4,2.4,1.8,3.1,2.7,2.2,2.5,2.1,16
16,Nonfinancial noncorporate business; consumer credit; asset,FA113066003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
17,Nonfinancial noncorporate business; trade receivables; asset,FA113070003,21.2,46.0,46.3,35.1,59.7,51.9,42.8,49.1,41.3,18
18,Nonfinancial noncorporate business; total miscellaneous assets,FA113090005,332.2,193.1,204.4,144.7,254.2,229.3,189.2,217.0,182.2,19
19,Nonfinancial noncorporate business; insurance receivables due from property-casualty insurance companies; asset,FA113076005,12.8,-10.2,1.9,-7.6,-11.8,-0.6,1.2,3.2,3.8,20
20,Nonfinancial noncorporate business; equity in Farm Credit System; asset(3),FA113092405,0.7,0.5,0.7,0.6,0.6,0.3,1.5,1.2,-0.0,21
21,Nonfinancial noncorporate business; unidentified miscellaneous assets,FA113093005,318.7,202.9,201.8,151.8,265.4,229.6,186.4,212.7,178.4,22
22,Nonfinancial noncorporate business; total liabilities,FA114190005,518.6,404.9,399.3,325.1,500.6,449.0,370.7,414.3,363.2,23
23,Nonfinancial noncorporate business; loans; liability,FA114123005,283.9,303.4,304.0,242.4,392.9,337.1,293.8,311.9,273.5,24
24,Nonfinancial noncorporate business; depository institution loans n.e.c.; liability,FA113168005,86.7,97.9,72.0,32.3,143.9,163.9,52.3,43.2,28.6,25
25,Nonfinancial noncorporate business; other loans and advances; liability,FA113169005,9.3,5.8,3.6,13.5,11.3,-17.2,21.9,-5.2,15.2,26
26,Nonfinancial noncorporate business; total mortgages; liability,FA113165005,187.8,199.7,228.4,196.6,237.7,190.4,219.6,273.9,229.8,27
27,Nonfinancial noncorporate business; trade payables; liability,FA113170005,9.2,51.0,58.1,33.3,72.8,52.8,45.4,71.9,62.4,28
28,Nonfinancial noncorporate business; taxes payable; liability,FA113178003,6.8,3.4,3.4,2.6,4.4,3.8,3.1,3.6,3.0,29
29,Nonfinancial noncorporate business; U.S. real estate owned by foreigners; liability,FA115114005,2.5,1.8,0.5,0.7,1.8,1.4,-0.3,1.2,-0.4,30
30,Nonfinancial noncorporate business; unidentified miscellaneous liabilities,FA113193003,77.9,28.4,17.4,21.1,19.8,17.6,17.3,17.5,17.3,31
31,Nonfinancial noncorporate business; proprietors' equity in noncorporate business (net worth),FA112090205,138.3,16.9,15.8,25.1,8.8,36.3,11.3,8.3,7.4,32
