, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Households and nonprofit organizations; total assets,FL152000005,98172.3,101918.0,107909.5,99739.3,101918.0,102525.5,103510.4,105716.7,107909.5,1
1,Households and nonprofit organizations; nonfinancial assets,FL152010005,28718.8,30496.8,32431.4,30064.8,30496.8,30913.8,31334.6,31827.2,32431.4,2
2,Households and nonprofit organizations; real estate at market value,LM155035005,23212.7,24790.1,26528.4,24406.9,24790.1,25137.9,25510.0,25971.2,26528.4,3
3,Households; owner-occupied real estate including vacant land and mobile homes at market value,LM155035015,20289.2,21567.6,23102.4,21247.4,21567.6,21905.4,22213.9,22588.8,23102.4,4
4,Nonprofit organizations; real estate at market value,LM165035005,2923.5,3222.5,3426.0,3159.5,3222.5,3232.4,3296.1,3382.4,3426.0,5
5,"Nonprofit organizations; equipment, current cost basis(4)",FL165015205,320.4,331.0,337.3,328.7,331.0,333.0,334.6,336.6,337.3,6
6,"Nonprofit organizations; nonresidential intellectual property products, current cost basis(4)",FL165013765,132.8,138.9,147.8,138.1,138.9,140.9,143.2,145.2,147.8,7
7,"Households and nonprofit organizations; consumer durable goods, current cost basis(4)",FL155111005,5052.9,5236.8,5417.9,5191.1,5236.8,5301.9,5346.8,5374.1,5417.9,8
8,Households and nonprofit organizations; total financial assets,FL154090005,69453.5,71421.3,75478.1,69674.4,71421.3,71611.7,72175.8,73889.5,75478.1,9
9,Households and nonprofit organizations; private foreign deposits; asset,FL153091003,45.7,31.6,29.5,36.1,31.6,32.4,30.3,30.1,29.5,10
10,Households and nonprofit organizations; checkable deposits and currency; asset,FL153020005,1088.8,1233.3,1237.2,1095.0,1233.3,1267.1,1244.2,1194.7,1237.2,11
11,Households and nonprofit organizations; total time and savings deposits; asset,FL153030005,7891.0,8391.3,9102.0,8255.4,8391.3,8499.3,8578.0,8923.2,9102.0,12
12,Households and nonprofit organizations; money market mutual fund shares; asset,FL153034005,1112.7,1068.4,1023.1,1006.0,1068.4,1035.9,985.3,967.8,1023.1,13
13,Households and nonprofit organizations; debt securities; asset,FL154022005,3979.2,4422.7,4246.0,4317.3,4422.7,4168.9,3738.8,3745.7,4246.0,14
14,Households and nonprofit organizations; Treasury securities; asset,FL153061105,838.2,1132.0,1379.0,1034.5,1132.0,1079.7,1037.6,1156.2,1379.0,15
15,Households and nonprofit organizations; agency- and GSE-backed securities; asset,FL153061705,299.2,521.7,407.1,412.8,521.7,474.0,396.8,344.7,407.1,16
16,Households and nonprofit organizations; municipal securities; asset,FL153062005,1689.2,1633.5,1644.1,1683.9,1633.5,1623.6,1598.8,1588.3,1644.1,17
17,Households and nonprofit organizations; corporate and foreign bonds; asset,FL153063005,1152.6,1135.4,815.8,1186.2,1135.4,991.6,705.6,656.5,815.8,18
18,Households and nonprofit organizations; loans; asset,FL154023005,1062.4,1000.8,993.4,1029.7,1000.8,1041.6,1041.4,1015.2,993.4,19
19,Households and nonprofit organizations; other loans and advances; asset(5),FL153069005,893.2,842.6,841.6,866.3,842.6,884.4,886.3,862.3,841.6,20
20,Households and nonprofit organizations; total mortgages; asset,FL153065005,121.6,114.0,113.1,117.9,114.0,114.5,113.7,112.9,113.1,21
21,"Nonprofit organizations; consumer credit, student loans; asset(6)",FL163066223,47.6,44.2,38.7,45.5,44.2,42.8,41.4,39.9,38.7,22
22,Households and nonprofit organizations; corporate equities; asset(2),LM153064105,14357.4,14189.7,15874.2,13556.7,14189.7,14196.3,14616.9,15302.3,15874.2,23
23,Households and nonprofit organizations; mutual fund shares; asset,LM153064205,6726.2,6504.3,6851.5,6360.6,6504.3,6513.1,6656.4,6903.2,6851.5,24
24,Nonprofit organizations; grants and trade receivables; asset(6),FL163070005,220.1,227.0,233.9,225.3,227.0,228.8,230.5,232.2,233.9,25
25,Households and nonprofit organizations; life insurance reserves; asset,FL153040005,1282.8,1310.6,1368.3,1298.3,1310.6,1316.0,1340.3,1356.6,1368.3,26
26,Households and nonprofit organizations; pension entitlements; asset(7),FL153050005,20666.8,21256.1,22259.4,20886.9,21256.1,21467.4,21729.7,22078.2,22259.4,27
27,Households and nonprofit organizations; proprietors' equity in noncorporate business(8),FL152090205,10103.0,10834.2,11249.3,10671.7,10834.2,10884.4,11009.6,11156.5,11249.3,28
