, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Credit unions; gross saving,FA476000105,12.5,12.5,11.3,12.4,12.4,8.8,10.9,13.7,11.8,1
1,"Credit unions; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA475013005,3.0,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,2
2,Credit unions; total financial assets,FA474090005,63.0,84.9,92.6,63.9,130.9,55.8,70.9,138.3,105.4,3
3,Credit unions; depository institution reserves; asset,FA473013003,-2.5,5.5,0.8,-8.9,13.8,52.5,-38.4,37.0,-47.8,4
4,Credit unions; federal funds and security repurchase agreements held by Corporate Credit Unions (net of liabilities before 2002:Q4); asset,FA472050053,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5,Credit unions; debt securities; asset,FA474022005,-9.0,-2.8,-7.7,-17.6,28.1,-31.3,-5.6,4.7,1.7,6
6,Credit unions; commercial paper held by Corporate Credit Unions; asset,FA473069153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
7,Credit unions; Treasury securities; asset,FA473061105,2.5,7.6,-4.5,-1.6,25.4,-2.9,-20.5,-0.5,5.9,8
8,Credit unions; agency- and GSE-backed securities; asset,FA473061705,-11.7,-11.9,-4.6,-15.9,2.5,-33.0,13.3,5.3,-4.1,9
9,Credit unions; municipal securities; asset,FA473062005,-0.8,0.6,0.8,0.6,-0.2,1.9,0.4,0.5,0.2,10
10,Credit unions; corporate and foreign bonds; asset,FA473063005,1.0,0.9,0.7,-0.7,0.4,2.6,1.1,-0.6,-0.3,11
11,Credit unions; loans; asset,FA474023000,69.2,76.3,87.8,78.1,74.1,50.1,72.1,124.7,104.3,12
12,Credit unions; depository institution loans n.e.c.; asset,FA473068005,5.1,4.1,11.0,8.3,2.4,18.8,-13.9,22.2,17.0,13
13,Credit unions; home mortgages; asset,FA473065100,26.9,32.7,37.1,32.8,32.3,2.3,52.5,43.9,49.7,14
14,Credit unions; consumer credit; asset,FA473066000,37.2,39.5,39.7,37.0,39.4,28.9,33.5,58.7,37.6,15
15,Credit unions; mutual fund shares; asset,FA473064205,-0.2,-0.1,-0.1,0.5,-1.0,0.1,0.1,-0.4,-0.1,16
16,Credit unions; total miscellaneous assets,FA473090005,5.4,6.1,11.7,11.7,15.9,-15.5,42.8,-27.7,47.4,17
17,Credit unions; total liabilities,FA474190005,51.5,78.0,84.3,55.8,130.0,38.7,65.7,125.9,106.7,18
18,Credit unions; net interbank transactions; liability,FA474110005,0.7,2.3,-1.2,-21.5,21.0,42.0,-49.9,-10.4,13.4,19
19,Credit unions; checkable deposits; liability,FA473127003,12.2,19.5,3.9,3.1,50.6,11.0,-0.1,-4.0,8.9,20
20,Credit unions; total time and savings deposits; liability,FA473130005,29.0,46.4,75.4,65.7,50.4,-32.9,131.0,145.8,57.5,21
21,Credit unions; federal funds and security repurchase agreements held by Corporate Credit Unions; liability,FA472150053,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.1,0.0,22
22,Credit unions; FHLB advances; liability,FA473169333,8.4,9.3,2.0,19.8,-0.9,-6.9,6.2,7.6,1.3,23
23,Credit unions; unidentified miscellaneous liabilities,FA473193005,1.2,0.5,4.2,-11.2,8.9,25.6,-21.6,-13.0,25.7,24
24,Credit unions; sector discrepancy,FA477005005,-2.0,1.9,-0.8,0.6,7.9,-12.0,1.9,-2.5,9.4,25
25,Credit unions; uninsured checkable and time and savings deposits; liability(1),FA473139103,4.1,6.4,8.7,8.1,8.5,12.7,4.0,11.0,7.3,26
