, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Holding companies; gross saving,FA736000105,171.9,195.4,161.1,186.5,223.3,153.9,135.2,217.7,137.6,1
1,"Holding companies; gross fixed investment, nonresidential structures, equipment, and intellectual property products",FA735013005,37.2,39.3,40.2,39.5,39.6,39.8,40.1,40.4,40.7,2
2,Holding companies; total financial assets,FA734090005,91.2,-72.8,382.4,-195.0,-125.7,240.8,63.1,1172.1,53.6,3
3,Holding companies; total time and savings deposits; asset,FA733030003,-8.9,-7.9,-2.1,-36.3,-31.1,1.9,-10.6,-10.7,11.2,4
4,Holding companies; security repurchase agreements; asset,FA732051003,-5.1,-0.4,-0.1,-14.5,-7.3,3.4,0.7,-3.4,-1.0,5
5,Holding companies; long-term debt securities; asset,FA734022605,-0.2,-20.6,3.5,18.0,-80.3,-9.9,8.6,-0.4,15.8,6
6,Holding companies; Treasury securities; asset,FA733061103,-2.8,-3.7,-0.4,16.3,-11.1,-0.6,-4.2,-5.0,8.3,7
7,Holding companies; agency- and GSE-backed securities; asset,FA733061703,0.0,-4.3,1.4,2.8,-26.7,-7.8,5.5,-1.9,9.8,8
8,Holding companies; corporate and foreign bonds; asset,FA733063003,2.6,-12.7,2.5,-1.2,-42.5,-1.5,7.3,6.5,-2.3,9
9,Holding companies; other loans and advances; asset,FA733069005,-10.9,-40.9,-1.4,-69.7,-54.9,-3.0,-4.8,9.9,-7.6,10
10,Holding companies; life insurance reserves; asset,FA733040005,5.0,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11
11,Holding companies; total miscellaneous assets,FA733090005,111.2,-7.1,378.4,-96.4,43.9,244.4,65.1,1172.8,31.2,12
12,"U.S.-chartered depository institutions; net transactions due to holding companies, excluding foreign bank subsidiaries; liability",FA763194735,195.9,42.1,118.3,88.6,51.8,151.3,285.1,145.8,-109.1,13
13,Property-casualty insurance companies; net transactions due to holding companies; liability,FA513194733,0.1,-0.8,-0.2,0.8,-1.1,-2.1,1.5,-1.5,1.1,14
14,Life insurance companies; net transactions due to holding companies; liability,FA543194733,0.8,0.5,1.3,0.9,-0.2,3.5,3.0,1.5,-3.1,15
15,Finance companies; net transactions due to holding companies; liability,FA613194733,-13.1,-2.6,-8.5,-1.0,5.5,-14.3,0.4,-12.4,-7.9,16
16,Security brokers and dealers; net transactions due to holding companies; liability,FA663194735,4.8,86.6,152.3,41.8,155.4,90.7,-106.8,515.2,109.9,17
17,Rest of the world; net transactions due to holding companies; liability,FA263194735,-14.6,-6.9,0.4,15.8,-41.6,1.7,73.1,-17.7,-55.5,18
18,Holding companies; unidentified miscellaneous assets,FA733093005,-62.7,-126.0,115.0,-243.4,-125.9,13.5,-191.2,541.8,95.8,19
19,Holding companies; total liabilities,FA734190005,-40.1,-224.6,249.6,-395.6,-280.1,127.8,-64.3,1036.4,-101.5,20
20,Holding companies; security repurchase agreements; liability,FA732151003,-0.0,0.1,-0.0,0.1,0.0,-0.1,-0.0,0.0,-0.0,21
21,Holding companies; debt securities; liability,FA734122005,8.0,-49.4,140.2,-44.4,-123.0,121.2,92.8,346.5,0.3,22
22,Holding companies; commercial paper; liability,FA733169103,-19.6,-71.3,-3.4,-161.1,-41.4,-0.3,-3.9,-7.0,-2.5,23
23,Holding companies; corporate and foreign bonds; liability,FA733163003,27.6,22.0,143.6,116.7,-81.6,121.5,96.7,353.5,2.8,24
24,Holding companies; depository institution loans n.e.c.; liability,FA733168003,-16.3,-38.7,-6.0,-35.1,-93.2,19.2,-20.4,95.3,-118.2,25
25,Holding companies; corporate equities; liability,FA733164103,-0.3,-6.5,-11.4,-50.4,-26.4,-15.8,-24.0,35.4,-41.3,26
26,Holding companies; foreign direct investment in U.S.; liability(2),FA733192003,0.0,17.5,141.6,29.8,40.3,-2.3,10.7,448.6,109.5,27
27,Holding companies; unidentified miscellaneous liabilities,FA733193005,-31.4,-147.7,-14.7,-295.7,-78.0,5.6,-123.3,110.7,-51.8,28
28,Holding companies; equity accounts; liability,FA733164005,-0.3,-57.7,15.2,-40.3,-61.9,26.9,66.9,20.7,-53.4,29
29,"Holding companies; unidentified miscellaneous liabilities, excluding equity, etc.",FA733193015,-31.2,-90.1,-29.9,-255.4,-16.0,-21.2,-190.1,90.0,1.6,30
30,Holding companies; sector discrepancy,FA737005005,3.3,4.2,-12.0,-53.7,29.3,1.0,-32.3,41.6,-58.2,31
