,Description,Series code,2008,2009,2010,2011,2012,2013,2014,2015,Line
0,Rest of the world; foreign income from U.S. (IMA),FA266905095,3482.0,2712.0,3115.5,3485.8,3582.1,3620.1,3774.6,3688.6,1
1,Rest of the world; U.S. imports,FA266903001,2565.0,1983.2,2365.0,2686.4,2763.8,2768.6,2884.1,2786.3,2
2,Rest of the world; income receipts from the U.S. (IMA),FA266904195,684.9,497.8,514.1,546.0,563.9,581.3,604.0,607.4,3
3,Rest of the world; current taxes and transfer payments received,FA266400101,232.0,231.0,236.4,253.4,254.3,270.2,286.5,294.9,4
4,Rest of the world; foreign outlays to U.S. (IMA),FA266900095,2790.3,2330.1,2669.6,3004.2,3113.9,3234.0,3372.9,3211.2,5
5,Rest of the world; U.S. exports,FA266903011,1841.9,1587.7,1852.3,2106.4,2198.2,2276.6,2375.3,2264.3,6
6,Rest of the world; income payments to the U.S. (IMA),FA266904095,856.9,648.9,720.0,792.6,801.5,825.5,852.1,813.1,7
7,"Rest of the world; current taxes, contributions for government social insurance, and transfer payments paid(1)",FA266400201,91.5,93.4,97.2,105.2,114.2,131.8,145.5,133.7,8
8,Rest of the world; balance on current account (NIPA with reversed sign); net saving,FA266000095,691.6,381.9,445.9,481.5,468.2,386.1,401.7,477.4,9
9,Rest of the world; balance on current account (NIPA with reversed sign); net saving,FA266000095,691.6,381.9,445.9,481.5,468.2,386.1,401.7,477.4,10
10,Rest of the world; net capital transfers paid,FA265440005,5.4,-0.6,-0.7,-1.6,6.5,-0.8,-0.4,-0.5,11
11,Rest of the world; acquisition of nonproduced nonfinancial assets (net) (IMA),FA265420095,-0.0,0.0,-0.0,-0.0,-0.1,0.0,-0.0,0.0,12
12,Rest of the world; net lending (+) or borrowing (-) (capital account),FA265000905,686.2,382.5,446.6,483.2,461.7,386.9,402.2,477.9,13
13,Rest of the world; net lending (+) or borrowing (-) (capital account),FA265000905,686.2,382.5,446.6,483.2,461.7,386.9,402.2,477.9,14
14,Rest of the world; total financial assets,FA264090005,666.8,201.0,1087.5,1049.7,861.2,1153.3,1180.9,412.6,15
