"State, institutional control, and institution",All R&D expenditures,Unnamed: 2,Environmental sciences,Unnamed: 4,Life sciences,Unnamed: 6,Math and computer sciences,Unnamed: 8,Physical sciences,Unnamed: 10,Psychology,Unnamed: 12,Social sciences,Unnamed: 14,"Sciences, nec",Unnamed: 16,Engineering,Unnamed: 18,All non-S&E fields,Unnamed: 20
United States,68667801,,3249068,,38820016,,2605284,,4711297,,1184016,,2321892,,1082007,,11070258,,3623963,
Public,45481635,,2532621,,24582946,,1692792,,3127053,,850197,,1706353,,766428,,7609955,,2613290,
Private,23186166,,716447,,14237070,,912492,,1584244,,333819,,615539,,315579,,3460303,,1010673,
Alabama,902922,,29024,,603806,,44071,,27366,,9725,,11155,,5301,,141449,,31025,
Public,877270,,29024,,587064,,43098,,25643,,9345,,10423,,5301,,137558,,29814,
Alabama A&M U.,29202,,1813,i,15979,i,1262,i,2234,i,617,i,993,i,0,i,4957,i,1347,i
Alabama State U.,2303,,0,,2303,,0,,0,,0,,0,,0,,0,,0,
"Auburn U., Auburn",135899,,3461,,75745,,308,,4678,,390,,2838,,5301,,40249,,2929,
Jacksonville State U.,3242,,78,,71,,13,,0,,0,,0,,0,,35,,3045,
"U. Alabama, Birmingham",516229,,8362,,455478,,1077,,3003,,4161,,283,,0,,37222,,6643,
"U. Alabama, Huntsville",88439,,11781,,1307,,24906,,9075,,267,,1689,,0,,35720,,3694,
"U. Alabama, Tuscaloosa",58234,,903,,5333,,14345,,6118,,3887,,3867,,0,,17102,,6679,
U. South Alabama,43722,,2626,,30848,,1187,,535,,23,,753,,0,,2273,,5477,
Private,25652,,0,,16742,,973,,1723,,380,,732,,0,,3891,,1211,
Tuskegee U.,25652,i,0,i,16742,i,973,i,1723,i,380,i,732,i,0,i,3891,i,1211,i
Alaska,163012,,69815,,27419,,1975,,13069,,89,,4509,,17833,,22856,,5447,
Public,161766,,68960,,27298,,1975,,13069,,89,,4509,,17833,,22856,,5177,
"U. Alaska, Anchorage",17436,,4541,,5814,,63,,0,,89,,2368,,1647,,874,,2040,
"U. Alaska, Fairbanks",142742,,63289,,21419,,1912,,12980,,0,,2113,,15924,,21968,,3137,
