"State, institutional control, and institution",Total,Federally financed,All R&D expenditures passed through,Unnamed: 4,To educational subrecipients,Unnamed: 6,To business,Unnamed: 8,To nonprofit organizations,Unnamed: 10,To other subrecipients,Unnamed: 12,All R&D expenditures passed through.1,Unnamed: 14,To educational subrecipients.1,Unnamed: 16,To business.1,Unnamed: 18,To nonprofit organizations.1,Unnamed: 20,To other subrecipients.1,Unnamed: 22
United States,5644202.0,,3107039.0,,975955.0,,1007291.0,,553917.0,,4807853.0,,2761275.0,,755673.0,,851198.0,,439707.0,,,
Alabama,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Alabama A&M U.,2087.0,i,946.0,i,498.0,i,350.0,i,293.0,i,1976.0,i,931.0,i,460.0,i,324.0,i,261.0,i,,
Alabama State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Auburn U., Auburn",3211.0,,1821.0,,608.0,,428.0,,354.0,,3018.0,,1717.0,,571.0,,404.0,,326.0,,,
Jacksonville State U.,20.0,,20.0,,0.0,,0.0,,0.0,,20.0,,20.0,,0.0,,0.0,,0.0,,,
"U. Alabama, Birmingham",63249.0,,31828.0,,25668.0,,3558.0,,2195.0,,61841.0,,31418.0,,25256.0,,3072.0,,2095.0,,,
"U. Alabama, Huntsville",2745.0,,1960.0,,735.0,,50.0,,0.0,,2745.0,,1960.0,,735.0,,50.0,,0.0,,,
"U. Alabama, Tuscaloosa",2455.0,,1340.0,,953.0,,109.0,,53.0,,2431.0,,1316.0,,953.0,,109.0,,53.0,,,
U. South Alabama,1289.0,,810.0,,479.0,,0.0,,0.0,,1247.0,,768.0,,479.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Tuskegee U.,2986.0,i,2981.0,i,0.0,i,5.0,i,0.0,i,2986.0,i,2981.0,i,0.0,i,5.0,i,0.0,i,,
Alaska,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"U. Alaska, Anchorage",510.0,,,,27.0,,,,483.0,,510.0,,0.0,,27.0,,0.0,,483.0,,,
"U. Alaska, Fairbanks",1490.0,,,,,,5.0,,1485.0,,1490.0,,0.0,,0.0,,5.0,,1485.0,,,
"U. Alaska, Southeast",,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Alaska Pacific U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Arizona,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Arizona State U.,28397.0,,16715.0,,7057.0,,2207.0,,2418.0,,26058.0,,15988.0,,5980.0,,2156.0,,1934.0,,,
Northern Arizona U.,2830.0,,1493.0,,199.0,,1125.0,,13.0,,2482.0,,1294.0,,193.0,,982.0,,13.0,,,
U. Arizona,42962.0,,24588.0,,10363.0,,4881.0,,3130.0,,40929.0,,23452.0,,9881.0,,4741.0,,2855.0,,,
Arkansas,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"Arkansas State U., Jonesboro",366.0,,333.0,,3.0,,0.0,,30.0,,365.0,,332.0,,3.0,,0.0,,30.0,,,
U. Arkansas for Medical Sciences,4620.0,,3004.0,,1325.0,,227.0,,64.0,,3840.0,,2296.0,,1289.0,,191.0,,64.0,,,
"U. Arkansas, Fayetteville",4794.0,,3015.0,,941.0,,757.0,,81.0,,3744.0,,2948.0,,0.0,,757.0,,39.0,,,
"U. Arkansas, Little Rock",599.0,,599.0,,0.0,,0.0,,0.0,,599.0,,599.0,,0.0,,0.0,,0.0,,,
"U. Arkansas, Pine Bluff",473.0,,119.0,,0.0,,0.0,,354.0,,473.0,,119.0,,0.0,,0.0,,354.0,,,
U. Central Arkansas,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
California,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
California Maritime Academy,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"California Polytechnic State U., San Luis Obispo",2460.0,,927.0,,516.0,,1017.0,,0.0,,2316.0,,872.0,,427.0,,1017.0,,0.0,,,
"California State Polytechnic U., Pomona",173.0,,168.0,,0.0,,0.0,,5.0,,115.0,,110.0,,0.0,,0.0,,5.0,,,
"California State U., Bakersfield",100.0,,100.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,,
"California State U., Channel Islands",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"California State U., Chico",41.0,,0.0,,41.0,,0.0,,0.0,,41.0,,0.0,,41.0,,0.0,,0.0,,,
"California State U., Dominguez Hills",532.0,,532.0,,0.0,,0.0,,0.0,,532.0,,532.0,,0.0,,0.0,,0.0,,,
