Survey form and question,All respondents,Complete question responses,Partial question responses,Total question responses,Question nonresponses,Response rate (%)
Standard form,,,,,,
Question 1,628.0,547.0,81.0,628.0,0.0,100.0
Question 2,628.0,612.0,0.0,612.0,16.0,97.5
Question 3,628.0,608.0,0.0,608.0,20.0,96.8
Question 4,628.0,622.0,0.0,622.0,6.0,99.0
Question 5,628.0,611.0,6.0,617.0,11.0,98.2
Question 6,628.0,583.0,9.0,592.0,36.0,94.3
Question 7,628.0,561.0,57.0,618.0,10.0,98.4
Question 8,628.0,584.0,36.0,620.0,8.0,98.7
Question 9,628.0,621.0,7.0,628.0,0.0,100.0
Question 10,628.0,620.0,1.0,621.0,7.0,98.9
Question 11,628.0,601.0,27.0,628.0,0.0,100.0
Question 12,628.0,466.0,158.0,624.0,4.0,99.4
Question 13,628.0,610.0,3.0,613.0,15.0,97.6
Question 14,628.0,610.0,5.0,615.0,13.0,97.9
Question 15,628.0,572.0,14.0,586.0,42.0,93.3
Question 16,628.0,579.0,0.0,579.0,49.0,92.2
Short form,,,,,,
Question 1,248.0,239.0,9.0,248.0,0.0,100.0
Question 2,248.0,245.0,3.0,248.0,0.0,100.0
Question 3,248.0,246.0,1.0,247.0,1.0,99.6
Question 4,248.0,246.0,1.0,247.0,1.0,99.6
