State,All R&D expenditures,Source of funds,Federal government,State and local government,Institution funds,Business,Nonprofit organizations,All other sources
United States,68667801,37876879,3812408,16711730,4000614,4236993,2029177,
Alabama,902922,529899,47849,227015,60729,24229,13201,
Alaska,163012,92304,11680,49989,5916,1669,1454,
Arizona,1099837,486772,47314,355787,30493,51597,127874,
Arkansas,293494,98709,64221,90629,12521,2252,25162,
California,8657121,4714200,380922,1656948,554062,794278,556711,
Colorado,1273753,930163,39922,124162,82222,82980,14304,
Connecticut,1091381,624681,17992,311251,53988,69966,13503,
Delaware,191704,126336,10767,41664,5784,4066,3087,
District of Columbia,559222,304516,4864,158823,11459,66768,12792,
Florida,2389409,1119508,190590,818278,122030,99192,39811,
Georgia,2046068,1210757,53130,570182,107007,81742,23250,
Hawaii,332233,213763,14140,85793,6702,9748,2087,
Idaho,146700,80593,30048,28136,3135,2279,2509,
Illinois,2391472,1379485,55046,610254,129905,188728,28054,
Indiana,1323824,542242,81099,501885,70402,103761,24435,
Iowa,758796,344170,53613,291667,36324,29562,3460,
Kansas,562254,233934,64826,179170,50939,29520,3865,
Kentucky,532991,227125,58830,177031,16054,22964,30987,
Louisiana,662778,265858,92266,214818,36102,36088,17646,
Maine,107941,50904,22051,27984,2898,2608,1496,
Maryland,3741687,2943283,65042,450835,91046,175688,15793,
Massachusetts,3673620,2142254,52190,752552,266016,300244,160364,
Michigan,2334546,1189613,47961,867463,93468,96966,39075,
Minnesota,928999,494116,59388,294558,26388,13059,41490,
Mississippi,408232,194209,92269,90166,22370,7682,1536,
Missouri,1074115,611250,6764,276362,71308,97972,10459,
Montana,181680,107460,11072,51920,3325,3204,4699,
Nebraska,463654,184081,11462,208708,23192,26968,9243,
Nevada,157528,95728,15777,34103,2948,2252,6720,
New Hampshire,358154,241352,4993,77447,15189,14030,5143,
New Jersey,1106186,587931,93269,293618,38036,73701,19631,
New Mexico,390913,253715,26378,80440,8529,12260,9591,
New York,5700230,3026224,233483,1384988,432561,460767,162207,
North Carolina,2815343,1600445,147577,540057,337324,152002,37938,
North Dakota,217926,73179,59993,63830,13941,1955,5028,
Ohio,2152826,1268925,122312,436346,185174,100864,39205,
Oklahoma,419602,183279,61798,124834,29262,11443,8986,
Oregon,719881,503422,55116,73465,30011,42640,15227,
Pennsylvania,3356723,2178850,80140,603113,196577,197887,100156,
Rhode Island,453291,209874,10584,204610,6317,17197,4709,
South Carolina,665319,283177,33637,276415,43138,20536,8416,
South Dakota,103368,50280,19330,21669,3066,7193,1830,
Tennessee,1075972,626143,31129,315223,52200,38807,12470,
Texas,5082598,2015871,814058,1278458,351996,373200,249015,
Utah,733407,418994,44760,150081,78728,35131,5713,
Vermont,119663,87542,239,23321,2197,5421,943,
Virginia,1411176,738405,73696,472842,61852,52756,11625,
Washington,1549479,1057818,79523,191416,56583,114471,49668,
West Virginia,199167,86603,14437,68841,12832,4355,12099,
Wisconsin,1373787,683962,95358,451141,40312,70559,32455,
Wyoming,56996,48970,3362,1803,1993,631,237,
American Samoa,1337,1337,0,0,0,0,0,
Guam,6062,5586,82,340,42,12,0,
Puerto Rico,126792,87626,3805,29299,4021,1143,898,
Virgin Islands,20630,19456,254,0,0,0,920,
