Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21,shift
All institutions,2029177,,102921,,1187006,,40190,,128821,,19880,,80599,,27014,,309227,,133519,,,-1
1.0,U. Texas M. D. Anderson Cancer Center,135382.0,,0.0,,133230.0,,86.0,,489.0,,1016.0,,561.0,,0.0,,0.0,,0.0,,0
2.0,"U. California, San Diego",108192.0,,19844.0,,57472.0,,4804.0,,6018.0,,1623.0,,2868.0,,16.0,,14531.0,,1016.0,,0
3.0,U. Arizona,103702.0,,4503.0,,56819.0,,276.0,,33338.0,,216.0,,2066.0,,7.0,,5557.0,,920.0,,0
4.0,"U. California, San Francisco",103338.0,,0.0,,99019.0,,0.0,,4319.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
5.0,Massachusetts Institute of Technology,100718.0,,2844.0,,20104.0,,2625.0,,1173.0,,0.0,,6211.0,,1921.0,,63502.0,,2338.0,,0
6.0,"U. Pittsburgh, Pittsburgh",74282.0,,56.0,,71733.0,,94.0,,0.0,,72.0,,158.0,,475.0,,1481.0,,213.0,,0
7.0,"U. California, Los Angeles",71977.0,,4249.0,,48306.0,,2313.0,,5653.0,,891.0,,703.0,,180.0,,8801.0,,881.0,,0
8.0,U. Southern California,59492.0,,728.0,,42242.0,,1177.0,,3255.0,,1178.0,,2018.0,,31.0,,5705.0,,3158.0,,0
9.0,"U. California, Berkeley",53278.0,,579.0,,6188.0,,425.0,,20191.0,,214.0,,1763.0,,2025.0,,19058.0,,2835.0,,0
10.0,"U. California, Davis",48150.0,,1421.0,,36511.0,,1099.0,,1992.0,,37.0,,1887.0,,6.0,,4517.0,,680.0,,0
11.0,New York U.,45462.0,,313.0,,7565.0,,226.0,,167.0,,170.0,,4663.0,,0.0,,493.0,,31865.0,,0
12.0,"U. Washington, Seattle",45271.0,,1397.0,,34659.0,,1213.0,,0.0,,165.0,,952.0,,0.0,,5948.0,,937.0,,0
13.0,U. Texas Southwestern Medical Center,44195.0,,0.0,,44195.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
14.0,"U. Minnesota, Twin Cities",40454.0,,298.0,,28054.0,,206.0,,538.0,,875.0,,386.0,,0.0,,9507.0,,590.0,,0
15.0,Ohio State U.,31764.0,,144.0,,22859.0,,158.0,,1136.0,,146.0,,80.0,,26.0,,5403.0,,1812.0,,0
16.0,Cornell U.,31582.0,,1973.0,,10805.0,,1330.0,,3053.0,,672.0,,1791.0,,309.0,,9892.0,,1757.0,,0
17.0,"U. California, Irvine",30522.0,,662.0,,18561.0,,2371.0,,3105.0,,769.0,,1266.0,,0.0,,2983.0,,805.0,,0
18.0,Columbia U. in the City of New York,26282.0,,8386.0,,10069.0,,751.0,,760.0,,59.0,,432.0,,0.0,,1257.0,,4568.0,,0
19.0,U. Wisconsin-Madison,24857.0,,669.0,,5830.0,,270.0,,2189.0,,42.0,,1044.0,,105.0,,3560.0,,11148.0,,0
20.0,U. Florida,24240.0,,175.0,,13710.0,,330.0,,2249.0,,16.0,,728.0,,0.0,,6013.0,,1019.0,,0
21.0,Arizona State U.,24080.0,,300.0,,1599.0,,348.0,,574.0,,162.0,,6103.0,,7191.0,,2125.0,,5678.0,,0
22.0,U. Arkansas for Medical Sciences,22220.0,,0.0,,22220.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
23.0,Harvard U.,21319.0,,271.0,,6101.0,,27.0,,634.0,,44.0,,6274.0,,4974.0,,761.0,,2233.0,,0
24.0,Duke U.,20135.0,,410.0,,16232.0,,3.0,,184.0,,251.0,,1393.0,,0.0,,1252.0,,410.0,,0
25.0,Woods Hole Oceanographic Institution,18932.0,,15204.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3728.0,,0.0,,0
26.0,California Institute of Technology,18855.0,,786.0,,1174.0,,1174.0,,3309.0,,0.0,,0.0,,19.0,,7691.0,,4702.0,,0
27.0,"Texas A&M U., College Station and Health Science Center",18544.0,,976.0,,5559.0,,554.0,,2000.0,,78.0,,2460.0,,60.0,,6189.0,,668.0,,0
28.0,"U. Illinois, Urbana-Champaign",18518.0,,279.0,,7791.0,,660.0,,892.0,,397.0,,586.0,,11.0,,7119.0,,783.0,,0
29.0,"U. California, Santa Barbara",17732.0,,2096.0,,1894.0,,507.0,,3231.0,,116.0,,604.0,,0.0,,9038.0,,246.0,,0
30.0,"U. North Carolina, Chapel Hill",16695.0,,1929.0,,10161.0,,1198.0,,504.0,,558.0,,1455.0,,173.0,,241.0,,476.0,,0
31.0,U. Louisville,16399.0,,0.0,,14325.0,,0.0,,37.0,,6.0,,328.0,,0.0,,858.0,,845.0,,0
32.0,"U. Michigan, Ann Arbor",16186.0,,80.0,,9496.0,,112.0,,506.0,,2.0,,1397.0,,0.0,,4116.0,,477.0,,0
33.0,U. Notre Dame,15483.0,,1.0,,1324.0,,308.0,,1001.0,,88.0,,3510.0,,1970.0,,2558.0,,4723.0,,0
34.0,"SUNY, U. Buffalo",15247.0,,0.0,,13681.0,,145.0,,332.0,,0.0,,150.0,,0.0,,554.0,,385.0,,0
35.0,U. Kentucky,14577.0,,11.0,,11808.0,,18.0,,7.0,,17.0,,196.0,,1.0,,1164.0,,1355.0,,0
36.0,Michigan State U.,14298.0,,48.0,,10259.0,,73.0,,144.0,,208.0,,623.0,,468.0,,1178.0,,1297.0,,0
37.0,Yeshiva U.,14230.0,,0.0,,14230.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
38.0,"U. California, Riverside",13882.0,,791.0,,8093.0,,836.0,,1597.0,,324.0,,117.0,,485.0,,1445.0,,194.0,,0
39.0,"U. Texas Health Science Center, Houston",13366.0,,0.0,,13366.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
40.0,Stanford U.,12546.0,,3603.0,,3372.0,,244.0,,2059.0,,241.0,,25.0,,0.0,,2582.0,,420.0,,0
41.0,Oregon State U.,11938.0,,842.0,,8551.0,,48.0,,29.0,,27.0,,262.0,,1052.0,,1084.0,,43.0,,0
42.0,West Virginia U.,11927.0,,572.0,,7152.0,,1.0,,293.0,,121.0,,1038.0,,0.0,,1078.0,,1672.0,,0
43.0,"SUNY, U. Albany",11270.0,,377.0,,9310.0,,156.0,,109.0,,77.0,,1217.0,,0.0,,0.0,,24.0,,0
44.0,"Rutgers, State U. New Jersey, New Brunswick",11099.0,,222.0,,8505.0,,44.0,,169.0,,64.0,,295.0,,0.0,,1476.0,,324.0,,0
45.0,Tulane U.,11080.0,,0.0,,10029.0,,0.0,,19.0,,0.0,,877.0,,0.0,,0.0,,155.0,,0
46.0,Georgetown U.,10927.0,,53.0,,6062.0,,0.0,,0.0,,0.0,,939.0,,0.0,,0.0,,3873.0,,0
47.0,"U. California, Santa Cruz",10494.0,,2379.0,,891.0,,657.0,,4441.0,,29.0,,158.0,,0.0,,1749.0,,190.0,,0
48.0,"U. Texas, Austin",9431.0,,1309.0,,893.0,,318.0,,726.0,,313.0,,306.0,,0.0,,3477.0,,2089.0,,0
49.0,Carnegie Mellon U.,9090.0,,0.0,,209.0,,4248.0,,73.0,,52.0,,934.0,,90.0,,3390.0,,94.0,,0
50.0,Georgia Institute of Technology,8554.0,,10.0,,111.0,,415.0,,433.0,,5.0,,171.0,,7.0,,6810.0,,592.0,,0
51.0,"U. Nebraska, Lincoln",8522.0,,68.0,,5691.0,,105.0,,255.0,,35.0,,775.0,,76.0,,627.0,,890.0,,0
52.0,Yale U.,8379.0,,3.0,,7812.0,,0.0,,26.0,,0.0,,199.0,,0.0,,150.0,,189.0,,0
53.0,"U. Oklahoma, Norman and Health Science Center",8326.0,,2699.0,,1409.0,,0.0,,68.0,,13.0,,87.0,,0.0,,3842.0,,208.0,,0
54.0,New Mexico State U.,7833.0,,85.0,,1048.0,,185.0,,281.0,,0.0,,9.0,,249.0,,5952.0,,24.0,,0
55.0,"U. Texas, El Paso",7769.0,,292.0,,2123.0,,224.0,,221.0,,82.0,,196.0,,7.0,,2136.0,,2488.0,,0
56.0,"Colorado State U., Fort Collins",7631.0,,1030.0,,4591.0,,48.0,,158.0,,18.0,,445.0,,0.0,,1209.0,,132.0,,0
57.0,Medical U. South Carolina,7548.0,,0.0,,7548.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
58.0,U. Central Florida,7058.0,,354.0,,407.0,,32.0,,868.0,,0.0,,848.0,,0.0,,3747.0,,802.0,,0
59.0,Emory U.,6947.0,,30.0,,6379.0,,12.0,,108.0,,56.0,,311.0,,0.0,,4.0,,47.0,,0
60.0,U. Georgia,6808.0,,477.0,,5998.0,,23.0,,32.0,,184.0,,23.0,,2.0,,18.0,,51.0,,0
61.0,Temple U.,6744.0,,0.0,,6510.0,,0.0,,74.0,,21.0,,10.0,,0.0,,0.0,,129.0,,0
62.0,Johns Hopkins U.a,6410.0,,85.0,,5571.0,,28.0,,11.0,,6.0,,0.0,,49.0,,660.0,,0.0,,0
63.0,"U. Missouri, Columbia",6305.0,,0.0,,5999.0,,0.0,,0.0,,13.0,,267.0,,0.0,,26.0,,0.0,,0
64.0,Princeton U.,6028.0,,168.0,,1641.0,,114.0,,299.0,,353.0,,1140.0,,0.0,,1687.0,,626.0,,0
65.0,"Auburn U., Auburn",5888.0,,25.0,,3577.0,,0.0,,132.0,,5.0,,4.0,,273.0,,1442.0,,430.0,,0
66.0,"Purdue U., West Lafayette",5756.0,,8.0,,1977.0,,205.0,,154.0,,0.0,,248.0,,0.0,,2538.0,,626.0,,0
67.0,"U. Maryland, College Park",5723.0,,446.0,,884.0,,647.0,,129.0,,340.0,,1444.0,,0.0,,1764.0,,69.0,,0
68.0,Utah State U.,5339.0,,30.0,,2549.0,,46.0,,135.0,,606.0,,44.0,,0.0,,1821.0,,108.0,,0
69.0,U. Connecticut,4901.0,,0.0,,4513.0,,2.0,,11.0,,129.0,,43.0,,0.0,,144.0,,59.0,,0
70.0,North Dakota State U.,4660.0,,0.0,,4029.0,,0.0,,185.0,,0.0,,145.0,,0.0,,301.0,,0.0,,0
71.0,Wayne State U.,4657.0,,5.0,,3529.0,,19.0,,355.0,,42.0,,129.0,,1.0,,511.0,,66.0,,0
72.0,"U. Tennessee, Health Science Center",4645.0,,0.0,,4645.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
73.0,Dartmouth C.,4487.0,,25.0,,2569.0,,88.0,,177.0,,17.0,,203.0,,0.0,,1370.0,,38.0,,0
74.0,Thomas Jefferson U.,4124.0,,0.0,,4124.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
75.0,U. Colorado Denver and Anschutz Medical Campus,4099.0,,0.0,,3813.0,,0.0,,0.0,,0.0,,61.0,,2.0,,0.0,,223.0,,0
76.0,Boston U.,4039.0,,39.0,,1772.0,,35.0,,547.0,,0.0,,2.0,,35.0,,1374.0,,235.0,,0
77.0,Virginia Polytechnic Institute and State U.,3989.0,,0.0,,3045.0,,9.0,,6.0,,0.0,,60.0,,0.0,,865.0,,4.0,,0
78.0,Medical C. Wisconsin,3970.0,,0.0,,3970.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
79.0,Washington State U.,3769.0,,133.0,,2325.0,,96.0,,33.0,,49.0,,338.0,,2.0,,437.0,,356.0,,0
80.0,Rice U.,3708.0,,0.0,,90.0,,125.0,,78.0,,17.0,,868.0,,222.0,,2017.0,,291.0,,0
81.0,"U. Nevada, Reno",3658.0,,1116.0,,2234.0,,3.0,,112.0,,0.0,,0.0,,0.0,,11.0,,182.0,,0
