Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All life sciences,Unnamed: 10,Agricultural sciences,Unnamed: 12,Biological sciences,Unnamed: 14,Medical sciences,Unnamed: 16,"Life sciences, nec",Unnamed: 18,shift
All institutions,22751699,,22225173,,21269740,,21187061,,1088905,,7107138,,11749252,,1241766,,,,-1
1.0,Johns Hopkins U.a,657504,,661404,,628250,,620336.0,,0.0,,164041.0,,403020.0,,53275.0,,,0
2.0,"U. Washington, Seattle",554328,,600692,,576797,,580050.0,,21106.0,,162464.0,,383122.0,,13358.0,,,0
3.0,"U. California, San Francisco",548399,,557218,,529723,,501004.0,,0.0,,9244.0,,491760.0,,0.0,,,0
4.0,U. Pennsylvania,546646,,504775,,496049,,480653.0,,0.0,,166783.0,,306152.0,,7718.0,,,0
5.0,"U. Pittsburgh, Pittsburgh",547556,,523619,,491126,,475758.0,,0.0,,106184.0,,343916.0,,25658.0,,,0
6.0,Stanford U.,380359,,390901,,386233,,429720.0,,0.0,,162803.0,,253264.0,,13653.0,,,0
7.0,"U. North Carolina, Chapel Hill",445833,,459413,,446360,,426725.0,,0.0,,161515.0,,199921.0,,65289.0,,,0
8.0,Duke U.,463303,,438285,,423451,,423192.0,,0.0,,142625.0,,268413.0,,12154.0,,,0
9.0,"U. Michigan, Ann Arbor",470482,,479753,,414872,,410117.0,,5974.0,,123966.0,,231988.0,,48189.0,,,0
10.0,Yale U.,447843,,426695,,402317,,401665.0,,6133.0,,109176.0,,283853.0,,2503.0,,,0
11.0,Columbia U. in the City of New York,425410,,426314,,402108,,393719.0,,0.0,,111829.0,,198885.0,,83005.0,,,0
12.0,"Washington U., Saint Louis",385021,,357749,,362694,,375887.0,,0.0,,141514.0,,229040.0,,5333.0,,,0
13.0,"U. California, San Diego",396892,,382526,,350866,,347109.0,,0.0,,21399.0,,325710.0,,0.0,,,0
14.0,"U. California, Los Angeles",377831,,345746,,322645,,330746.0,,0.0,,19651.0,,311095.0,,0.0,,,0
15.0,Icahn School of Medicine at Mt. Sinai,271722,,277517,,300667,,329641.0,,0.0,,143248.0,,186393.0,,0.0,,,0
16.0,Emory U.,291896,,340272,,308805,,323570.0,,0.0,,134836.0,,182194.0,,6540.0,,,0
17.0,Harvard U.,382633,,366881,,339250,,316102.0,,18.0,,224751.0,,75849.0,,15484.0,,,0
18.0,"U. Minnesota, Twin Cities",343798,,338417,,331083,,309362.0,,21696.0,,60165.0,,223905.0,,3596.0,,,0
19.0,Vanderbilt U.,342889,,343875,,318737,,304201.0,,0.0,,109572.0,,170576.0,,24053.0,,,0
20.0,Uniformed Services U. of the Health Sciences,101875,,119221,,213206,,298467.0,,0.0,,43147.0,,255320.0,,0.0,,,0
21.0,U. Wisconsin-Madison,335930,,311209,,286954,,286893.0,,18361.0,,99629.0,,168013.0,,890.0,,,0
22.0,"U. Alabama, Birmingham",279946,,263395,,256619,,283219.0,,0.0,,91445.0,,187348.0,,4426.0,,,0
23.0,Northwestern U.,272271,,274862,,267863,,276462.0,,0.0,,61530.0,,200442.0,,14490.0,,,0
24.0,Scripps Research Institute,309471,,308628,,292268,,274097.0,,0.0,,274097.0,,0.0,,0.0,,,0
25.0,Case Western Reserve U.,313806,,297464,,282262,,265916.0,,0.0,,56888.0,,190843.0,,18185.0,,,0
26.0,New York U.,249094,,234217,,259602,,264804.0,,0.0,,101942.0,,152033.0,,10829.0,,,0
27.0,Ohio State U.,261595,,268769,,269377,,261805.0,,24264.0,,41249.0,,185046.0,,11246.0,,,0
28.0,U. Colorado Denver and Anschutz Medical Campus,303165,,285469,,264181,,258395.0,,10.0,,42656.0,,215452.0,,277.0,,,0
29.0,Baylor C. of Medicine,268753,,285230,,264641,,256895.0,,0.0,,162697.0,,94198.0,,0.0,,,0
30.0,Cornell U.,274569,,253490,,247604,,255487.0,,25074.0,,61652.0,,167001.0,,1760.0,,,0
31.0,"U. California, Davis",272183,,257399,,244917,,239720.0,,38922.0,,90731.0,,110067.0,,0.0,,,0
32.0,U. Southern California,250448,,238886,,243555,,237185.0,,0.0,,27332.0,,199370.0,,10483.0,,,0
33.0,U. Cincinnati,241994,,231809,,223687,,233973.0,,0.0,,29285.0,,198810.0,,5878.0,,,0
34.0,Oregon Health and Science U.,212365,,216262,,224073,,220269.0,,0.0,,102187.0,,114561.0,,3521.0,,,0
35.0,"U. Maryland, Baltimore",226008,,233700,,216654,,208114.0,,0.0,,73350.0,,128532.0,,6232.0,,,0
36.0,U. Chicago,225552,,203331,,188163,,199592.0,,0.0,,76000.0,,114494.0,,9098.0,,,0
37.0,U. Florida,203850,,196900,,192367,,196508.0,,33749.0,,60285.0,,74856.0,,27618.0,,,0
38.0,"Rutgers, State U. New Jersey, New Brunswick",125445,,142887,,209990,,194386.0,,10877.0,,22594.0,,101662.0,,59253.0,,,0
39.0,U. Utah,180632,,206210,,198745,,189363.0,,15.0,,38409.0,,120262.0,,30677.0,,,0
40.0,U. Texas Southwestern Medical Center,207513,,198114,,185137,,183787.0,,0.0,,68609.0,,103692.0,,11486.0,,,0
41.0,"U. Massachusetts, Medical School",202149,,189159,,183582,,183588.0,,0.0,,57583.0,,76173.0,,49832.0,,,0
42.0,Yeshiva U.,200259,,193252,,186619,,180791.0,,0.0,,0.0,,180791.0,,0.0,,,0
43.0,Boston U.,185702,,177458,,174668,,179300.0,,0.0,,45295.0,,130023.0,,3982.0,,,0
44.0,U. Iowa,211640,,196356,,182403,,173405.0,,0.0,,55338.0,,101192.0,,16875.0,,,0
45.0,U. Rochester,190601,,185505,,161563,,158769.0,,0.0,,41970.0,,113986.0,,2813.0,,,0
46.0,"U. Illinois, Chicago",194308,,174380,,158017,,151822.0,,0.0,,38536.0,,104475.0,,8811.0,,,0
47.0,"Indiana U., Bloomington",25465,,27892,,26134,,150581.0,,0.0,,54579.0,,92969.0,,3033.0,,,0
48.0,U. Miami,157988,,145280,,138976,,146685.0,,0.0,,30833.0,,109866.0,,5986.0,,,0
49.0,Wake Forest U.,169074,,153401,,149774,,144998.0,,0.0,,1025.0,,141889.0,,2084.0,,,0
