Rank,Institution,DOD R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
All institutions,5094978,,559747,,210485,,1053189,,91073,,471586,,63269,,83399,,75880,,2432320,,54030,,,-1
1.0,Johns Hopkins U.a,794397.0,,73360.0,,7700.0,,44379.0,,26646.0,,65387.0,,544.0,,6418.0,,24203.0,,545760.0,,0.0,,0
2.0,Georgia Institute of Technology,374009.0,,63417.0,,5324.0,,2121.0,,335.0,,14930.0,,3609.0,,487.0,,0.0,,283639.0,,147.0,,0
3.0,Uniformed Services U. of the Health Sciences,288401.0,,0.0,,0.0,,287861.0,,0.0,,0.0,,540.0,,0.0,,0.0,,0.0,,0.0,,0
4.0,"Pennsylvania State U., University Park and Hershey Medical Center",207510.0,,41664.0,,5036.0,,4005.0,,4864.0,,9014.0,,341.0,,1754.0,,0.0,,138397.0,,2435.0,,0
5.0,"U. Texas, Austin",135342.0,,35307.0,,70.0,,4872.0,,358.0,,30308.0,,393.0,,723.0,,0.0,,61828.0,,1483.0,,0
6.0,Massachusetts Institute of Technology,130035.0,,20832.0,,1888.0,,5465.0,,1323.0,,7284.0,,27.0,,610.0,,993.0,,91301.0,,312.0,,0
7.0,Stanford U.,83093.0,,11479.0,,607.0,,19854.0,,788.0,,14480.0,,810.0,,1205.0,,0.0,,33870.0,,0.0,,0
8.0,"U. Washington, Seattle",77099.0,,4388.0,,17924.0,,23273.0,,804.0,,2189.0,,173.0,,348.0,,0.0,,27311.0,,689.0,,0
9.0,"U. California, San Diego",75438.0,,1468.0,,27385.0,,15886.0,,1246.0,,8727.0,,1493.0,,2770.0,,0.0,,16463.0,,0.0,,0
10.0,U. Southern California,75197.0,,53844.0,,443.0,,2721.0,,184.0,,1189.0,,507.0,,0.0,,66.0,,12337.0,,3906.0,,0
11.0,"U. Michigan, Ann Arbor",74028.0,,402.0,,220.0,,15110.0,,1230.0,,5629.0,,612.0,,371.0,,0.0,,50453.0,,1.0,,0
12.0,Naval Postgraduate School,71833.0,,4108.0,,5479.0,,244.0,,2730.0,,11052.0,,0.0,,6965.0,,7234.0,,27276.0,,6745.0,,0
13.0,"U. Maryland, College Park",69595.0,,12884.0,,291.0,,1181.0,,827.0,,16308.0,,1579.0,,12261.0,,0.0,,24264.0,,0.0,,0
14.0,U. Dayton,65468.0,,1444.0,,0.0,,2.0,,0.0,,1410.0,,0.0,,0.0,,12.0,,62530.0,,70.0,,0
15.0,U. Pennsylvania,64987.0,,5399.0,,109.0,,21206.0,,392.0,,993.0,,9755.0,,10689.0,,0.0,,16255.0,,189.0,,0
16.0,Duke U.,58455.0,,919.0,,2992.0,,20567.0,,4179.0,,1507.0,,5.0,,1092.0,,0.0,,27194.0,,0.0,,0
17.0,Carnegie Mellon U.,55550.0,,28398.0,,0.0,,0.0,,181.0,,1578.0,,518.0,,1400.0,,622.0,,22853.0,,0.0,,0
18.0,Utah State U.,51494.0,,0.0,,509.0,,199.0,,0.0,,115.0,,0.0,,200.0,,0.0,,50471.0,,0.0,,0
19.0,"U. Hawaii, Manoa",49844.0,,19571.0,,11527.0,,1483.0,,0.0,,2034.0,,0.0,,95.0,,3137.0,,11997.0,,0.0,,0
20.0,"Colorado State U., Fort Collins",49832.0,,731.0,,38923.0,,5603.0,,439.0,,1186.0,,36.0,,0.0,,0.0,,2378.0,,536.0,,0
21.0,Harvard U.,48037.0,,470.0,,617.0,,12618.0,,139.0,,11929.0,,360.0,,570.0,,10541.0,,10793.0,,0.0,,0
22.0,"U. Illinois, Urbana-Champaign",43262.0,,8169.0,,167.0,,2254.0,,173.0,,5009.0,,422.0,,220.0,,7.0,,25953.0,,888.0,,0
23.0,"U. California, Los Angeles",41408.0,,2895.0,,426.0,,11572.0,,4782.0,,7487.0,,1214.0,,1006.0,,473.0,,10988.0,,565.0,,0
24.0,Virginia Polytechnic Institute and State U.,41359.0,,1922.0,,36.0,,7107.0,,235.0,,1031.0,,40.0,,0.0,,62.0,,30754.0,,172.0,,0
25.0,"U. Alabama, Huntsville",40251.0,,17156.0,,112.0,,0.0,,0.0,,576.0,,0.0,,456.0,,0.0,,21465.0,,486.0,,0
26.0,"U. Pittsburgh, Pittsburgh",39566.0,,730.0,,159.0,,28184.0,,42.0,,5302.0,,0.0,,100.0,,976.0,,3979.0,,94.0,,0
27.0,"U. California, Santa Barbara",35848.0,,3160.0,,1854.0,,384.0,,0.0,,5876.0,,533.0,,0.0,,0.0,,24041.0,,0.0,,0
28.0,Columbia U. in the City of New York,35513.0,,12396.0,,3000.0,,7020.0,,503.0,,2224.0,,0.0,,309.0,,0.0,,9968.0,,93.0,,0
29.0,Northwestern U.,35124.0,,0.0,,40.0,,6801.0,,0.0,,11186.0,,808.0,,0.0,,1992.0,,13607.0,,690.0,,0
30.0,Ohio State U.,34606.0,,976.0,,262.0,,5607.0,,31.0,,4548.0,,108.0,,145.0,,157.0,,22250.0,,522.0,,0
31.0,"U. California, Berkeley",33946.0,,0.0,,93.0,,1914.0,,641.0,,6130.0,,224.0,,6104.0,,468.0,,18372.0,,0.0,,0
32.0,Arizona State U.,32500.0,,5391.0,,180.0,,5985.0,,346.0,,1784.0,,274.0,,297.0,,131.0,,16849.0,,1263.0,,0
33.0,Vanderbilt U.,31704.0,,0.0,,1504.0,,9890.0,,74.0,,4513.0,,0.0,,0.0,,0.0,,15723.0,,0.0,,0
34.0,Princeton U.,30779.0,,2347.0,,456.0,,1874.0,,1845.0,,5106.0,,560.0,,992.0,,0.0,,17514.0,,85.0,,0
35.0,U. Central Florida,30321.0,,13134.0,,49.0,,312.0,,0.0,,12845.0,,1718.0,,186.0,,0.0,,2028.0,,49.0,,0
36.0,Cornell U.,30165.0,,4934.0,,161.0,,5828.0,,166.0,,5925.0,,110.0,,943.0,,0.0,,12098.0,,0.0,,0
37.0,U. Colorado Boulder,29814.0,,1103.0,,1807.0,,548.0,,293.0,,12264.0,,2347.0,,0.0,,0.0,,11331.0,,121.0,,0
38.0,"Purdue U., West Lafayette",29450.0,,1860.0,,117.0,,1274.0,,432.0,,2418.0,,138.0,,1092.0,,0.0,,21801.0,,318.0,,0
39.0,Wake Forest U.,28931.0,,0.0,,0.0,,28812.0,,0.0,,119.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
40.0,Woods Hole Oceanographic Institution,28864.0,,0.0,,14315.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,14549.0,,0.0,,0
41.0,U.S. Air Force Academy,28160.0,,1194.0,,0.0,,325.0,,0.0,,2719.0,,479.0,,460.0,,0.0,,21842.0,,1141.0,,0
42.0,"Texas A&M U., College Station and Health Science Center",26708.0,,786.0,,1333.0,,8798.0,,538.0,,620.0,,0.0,,424.0,,0.0,,13879.0,,330.0,,0
43.0,North Carolina State U.,26505.0,,5234.0,,365.0,,814.0,,839.0,,1429.0,,694.0,,616.0,,7823.0,,8172.0,,519.0,,0
44.0,Yale U.,26401.0,,2487.0,,23.0,,8178.0,,491.0,,3500.0,,348.0,,0.0,,300.0,,11074.0,,0.0,,0
45.0,U. Wisconsin-Madison,24840.0,,1932.0,,606.0,,5226.0,,831.0,,6102.0,,74.0,,844.0,,424.0,,8670.0,,131.0,,0
46.0,California Institute of Technology,24455.0,,0.0,,0.0,,894.0,,2486.0,,4788.0,,0.0,,0.0,,0.0,,16287.0,,0.0,,0
47.0,"U. Virginia, Charlottesville",23512.0,,2714.0,,382.0,,3289.0,,79.0,,1005.0,,124.0,,88.0,,0.0,,15831.0,,0.0,,0
48.0,"U. Minnesota, Twin Cities",23500.0,,1222.0,,0.0,,7749.0,,1203.0,,1001.0,,95.0,,39.0,,0.0,,11827.0,,364.0,,0
49.0,New Mexico State U.,23464.0,,0.0,,0.0,,2628.0,,90.0,,1041.0,,0.0,,0.0,,0.0,,19705.0,,0.0,,0
50.0,U. Miami,23140.0,,0.0,,6648.0,,12945.0,,0.0,,884.0,,1406.0,,33.0,,0.0,,1224.0,,0.0,,0
51.0,U. Arizona,22981.0,,1661.0,,988.0,,2865.0,,102.0,,3948.0,,244.0,,744.0,,0.0,,12175.0,,254.0,,0
52.0,U. Florida,22216.0,,1091.0,,0.0,,7043.0,,274.0,,710.0,,196.0,,707.0,,0.0,,12195.0,,0.0,,0
