"State, institutional control, and institution",All R&D expenditures,Unnamed: 2,Source of funds,Federal government,Unnamed: 5,State and local government,Unnamed: 7,Institution funds,Unnamed: 9,Business,Unnamed: 11,Nonprofit organizations,Unnamed: 13,All other sources
United States,68667801,,37876879,,3812408,,16711730.0,,4000614.0,,4236993.0,,2029177,
Public,45481635,,23392083,,3446703,,12231701.0,,2514856.0,,2389412.0,,1506880,
Private,23186166,,14484796,,365705,,4480029.0,,1485758.0,,1847581.0,,522297,
Alabama,902922,,529899,,47849,,227015.0,,60729.0,,24229.0,,13201,
Public,877270,,515733,,44951,,221657.0,,60300.0,,24035.0,,10594,
Alabama A&M U.,29202,,21982,,607,,4347.0,,158.0,,0.0,,2108,
Alabama State U.,2303,,2303,,0,,0.0,,0.0,,0.0,,0,
"Auburn U., Auburn",135899,,48352,,31207,,42853.0,,6165.0,,1434.0,,5888,
Jacksonville State U.,3242,,3020,,35,,116.0,,71.0,,0.0,,0,
"U. Alabama, Birmingham",516229,,328531,,3401,,111925.0,,48540.0,,21832.0,,2000,
"U. Alabama, Huntsville",88439,,67451,,1450,,18099.0,,1403.0,,9.0,,27,
"U. Alabama, Tuscaloosa",58234,,28988,,7220,,18828.0,,2252.0,,375.0,,571,
U. South Alabama,43722,,15106,,1031,,25489.0,,1711.0,,385.0,,0,
Private,25652,,14166,,2898,,5358.0,,429.0,,194.0,,2607,
Tuskegee U.,25652,i,14166,i,2898,i,5358.0,i,429.0,i,194.0,i,2607,i
Alaska,163012,,92304,,11680,,49989.0,,5916.0,,1669.0,,1454,
Public,161766,,91502,,11622,,49989.0,,5530.0,,1669.0,,1454,
"U. Alaska, Anchorage",17436,,8575,,3071,,4637.0,,614.0,,505.0,,34,
"U. Alaska, Fairbanks",142742,,81586,,8540,,45229.0,,4853.0,,1125.0,,1409,
"U. Alaska, Southeast",1588,,1341,,11,,123.0,,63.0,,39.0,,11,
Private,1246,,802,,58,,0.0,,386.0,,0.0,,0,
Alaska Pacific U.,1246,,802,,58,,0.0,,386.0,,0.0,,0,
Arizona,1099837,,486772,,47314,,355787.0,,30493.0,,51597.0,,127874,
Public,1099837,,486772,,47314,,355787.0,,30493.0,,51597.0,,127874,
Arizona State U.,458412,,196528,,26029,,178152.0,,14312.0,,19311.0,,24080,
Northern Arizona U.,35206,,20285,,4787,,8438.0,,623.0,,981.0,,92,
U. Arizona,606219,,269959,,16498,,169197.0,,15558.0,,31305.0,,103702,
Arkansas,293494,,98709,,64221,,90629.0,,12521.0,,2252.0,,25162,
Public,293494,,98709,,64221,,90629.0,,12521.0,,2252.0,,25162,
"Arkansas State U., Jonesboro",8453,,4347,,3067,,1007.0,,9.0,,23.0,,0,
U. Arkansas for Medical Sciences,132451,,50603,,5261,,53200.0,,1167.0,,0.0,,22220,
"U. Arkansas, Fayetteville",133660,,34288,,52041,,31782.0,,11097.0,,1514.0,,2938,
"U. Arkansas, Little Rock",7003,,4259,,621,,1273.0,,248.0,,602.0,,0,
"U. Arkansas, Pine Bluff",8425,,3912,,1978,,2459.0,,0.0,,76.0,,0,
U. Central Arkansas,3502,,1300,,1253,,908.0,,0.0,,37.0,,4,
California,8657121,,4714200,,380922,,1656948.0,,554062.0,,794278.0,,556711,
Public,6071980,,3007395,,322927,,1311201.0,,385269.0,,580705.0,,464483,
California Maritime Academy,1542,,31,,87,,65.0,,1359.0,,0.0,,0,
"California Polytechnic State U., San Luis Obispo",16312,,9796,,2794,,1617.0,,1163.0,,942.0,,0,
"California State Polytechnic U., Pomona",4611,,1881,,1341,,895.0,,410.0,,84.0,,0,
"California State U., Bakersfield",3192,,1875,,12,,744.0,,22.0,,2.0,,537,
"California State U., Channel Islands",1949,,825,,239,,885.0,,0.0,,0.0,,0,
"California State U., Chico",1837,,854,,501,,352.0,,65.0,,37.0,,28,
"California State U., Dominguez Hills",2557,,2527,,30,,0.0,,0.0,,0.0,,0,
"California State U., Fresno",8624,,3573,,2159,,2198.0,,176.0,,477.0,,41,
"California State U., Fullerton",5611,,4784,,136,,374.0,,93.0,,224.0,,0,
"California State U., Long Beach",8830,,6198,,625,,,,599.0,,613.0,,795,
"California State U., Los Angeles",5010,,4291,,279,,315.0,,0.0,,125.0,,0,
"California State U., Monterey Bay",5492,,3459,,1218,,716.0,,19.0,,80.0,,0,
"California State U., Northridge",13333,,12060,,810,,123.0,,135.0,,204.0,,1,
"California State U., Sacramento",17930,,5697,,7701,,2610.0,,699.0,,1191.0,,32,
"California State U., San Bernardino",15317,,5959,,6040,,3229.0,,52.0,,37.0,,0,
"California State U., San Marcos",6432,,4573,,1091,,637.0,,3.0,,128.0,,0,
"California State U., Stanislaus",1080,,174,,354,,0.0,,371.0,,166.0,,15,
Humboldt State U.,11218,,3280,,2235,,2243.0,,999.0,,1106.0,,1355,
Naval Postgraduate School,89170,,78780,,70,,9123.0,,439.0,,0.0,,758,
San Diego State U.,93572,,46870,,5445,,36941.0,,311.0,,2469.0,,1536,
San Francisco State U.,26345,,14336,,1761,,9452.0,,7.0,,789.0,,0,
San Jose State U.,45037,,33782,,5974,,3680.0,,607.0,,674.0,,320,
Sonoma State U.,1163,,964,,95,,103.0,,0.0,,1.0,,0,
"U. California, Berkeley",788505,,346262,,50655,,174007.0,,75480.0,,88823.0,,53278,
"U. California, Davis",721077,,326039,,59438,,202475.0,,40945.0,,44030.0,,48150,
"U. California, Irvine",329798,,174875,,20810,,64650.0,,15369.0,,23572.0,,30522,
