"State, institutional control, and institution",2012,Unnamed: 2,2013,Unnamed: 4,2014,Unnamed: 6,2015,All personnel,Postdocsa,Unnamed: 10,Total,Unnamed: 12,Principal investigators,Unnamed: 14
Alabama,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Alabama A&M U.,418,i,418,i,418,i,418.0,,56.0,,362.0,,2.0,
Alabama State U.,134,,42,,83,,85.0,,33.0,,52.0,,11.0,
"Auburn U., Auburn",2275,i,2275,i,2275,i,2275.0,,425.0,,1850.0,,85.0,
Jacksonville State U.,ne,,ne,,ne,,57.0,,10.0,,47.0,,0.0,
"U. Alabama, Birmingham",4959,,4656,,4571,,4989.0,,727.0,,4262.0,,248.0,
"U. Alabama, Huntsville",1064,,1094,,1101,,1051.0,,193.0,,858.0,,13.0,
"U. Alabama, Tuscaloosa",1274,,1109,,1126,,1232.0,,241.0,,991.0,,86.0,
U. South Alabama,733,,689,,642,,592.0,,109.0,,483.0,,51.0,
Private,,,,,,,,,,,,,,
Tuskegee U.,93,i,93,,93,i,64.0,i,7.0,i,57.0,i,4.0,i
Alaska,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"U. Alaska, Anchorage",250,,272,,243,,237.0,,48.0,,189.0,,5.0,
"U. Alaska, Fairbanks",1278,,1307,,1274,,1275.0,,242.0,,1033.0,,49.0,
"U. Alaska, Southeast",30,,29,,34,,33.0,,7.0,,26.0,,0.0,
Private,,,,,,,,,,,,,,
Alaska Pacific U.,ne,,ne,,ne,,43.0,,11.0,,32.0,,0.0,
Arizona,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Arizona State U.,6855,,7601,,8113,,9850.0,,865.0,,8985.0,,430.0,
Northern Arizona U.,644,i,678,i,702,i,725.0,i,126.0,i,599.0,i,22.0,
U. Arizona,8937,,8346,,8040,,8036.0,,1699.0,,6337.0,,610.0,
Arkansas,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"Arkansas State U., Jonesboro",309,,308,,301,,295.0,,57.0,,238.0,,13.0,i
U. Arkansas for Medical Sciences,1484,,1211,,1089,,1126.0,,404.0,,722.0,,58.0,
"U. Arkansas, Fayetteville",3295,,2927,,3279,,3356.0,,624.0,,2732.0,,79.0,
"U. Arkansas, Little Rock",245,i,245,,257,,215.0,,27.0,,188.0,,10.0,
"U. Arkansas, Pine Bluff",278,,262,,262,,268.0,,38.0,,230.0,,3.0,
U. Central Arkansas,176,,119,,202,,150.0,,25.0,,125.0,,0.0,
California,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
California Maritime Academy,20,,26,,8,,10.0,,4.0,,6.0,,0.0,
"California Polytechnic State U., San Luis Obispo",703,,654,,651,,705.0,,153.0,,552.0,,0.0,
"California State Polytechnic U., Pomona",500,,528,,519,,371.0,,61.0,,310.0,,40.0,
"California State U., Bakersfield",41,,44,,102,,55.0,,10.0,,45.0,,1.0,
"California State U., Channel Islands",ne,,4,,158,,116.0,,19.0,,97.0,,0.0,
"California State U., Chico",129,,194,,157,,117.0,,39.0,,78.0,,1.0,
"California State U., Dominguez Hills",96,,134,,164,i,164.0,,14.0,,150.0,,0.0,
"California State U., Fresno",381,,435,,519,,493.0,,68.0,,425.0,,4.0,
"California State U., Fullerton",625,,551,,225,,308.0,,37.0,,271.0,,4.0,
"California State U., Long Beach",382,i,382,,504,,452.0,,101.0,,351.0,,0.0,
"California State U., Los Angeles",143,,94,,92,,116.0,,53.0,,63.0,,2.0,
"California State U., Monterey Bay",104,,96,,83,,124.0,,19.0,,105.0,,0.0,
"California State U., Northridge",975,,275,,317,,446.0,,92.0,,354.0,,28.0,
"California State U., Sacramento",229,,246,,273,,349.0,,119.0,,230.0,,0.0,
"California State U., San Bernardino",363,,383,,557,,579.0,,53.0,,526.0,,0.0,
"California State U., San Marcos",92,i,92,,117,,207.0,,37.0,,170.0,,0.0,
"California State U., Stanislaus",62,,62,,69,,53.0,,12.0,,41.0,,0.0,
Humboldt State U.,244,i,172,i,143,i,228.0,i,46.0,i,182.0,i,0.0,
Naval Postgraduate School,795,,708,,644,,701.0,,274.0,,427.0,,22.0,
San Diego State U.,1693,,1677,,1653,,1675.0,,265.0,,1410.0,,36.0,
San Francisco State U.,413,,455,,542,,627.0,,152.0,,475.0,,15.0,
San Jose State U.,685,,652,,646,,645.0,,89.0,,556.0,,0.0,
Sonoma State U.,ne,,71,,77,,53.0,,11.0,,42.0,,1.0,
"U. California, Berkeley",10397,,10214,,10012,,9558.0,,1665.0,,7893.0,,1445.0,
"U. California, Davis",11035,,10677,,10614,,10673.0,,1637.0,,9036.0,,1119.0,
"U. California, Irvine",4752,,4742,,4560,,4511.0,,1149.0,,3362.0,,454.0,
"U. California, Los Angeles",12386,,11929,,11637,,11547.0,,2101.0,,9446.0,,1293.0,
"U. California, Merced",591,,594,,592,,714.0,,194.0,,520.0,,56.0,
"U. California, Office of the President",108,,108,,100,,102.0,,3.0,,99.0,,1.0,
"U. California, Riverside",2647,,2550,,2586,,2680.0,,735.0,,1945.0,,219.0,
"U. California, San Diego",10556,,10640,,10690,,10552.0,,1431.0,,9121.0,,1641.0,
"U. California, San Francisco",8191,,7952,,8159,,8529.0,,1218.0,,7311.0,,1368.0,
"U. California, Santa Barbara",3621,,3631,,3554,,3428.0,,824.0,,2604.0,,376.0,
"U. California, Santa Cruz",2605,,2478,,2372,,2410.0,,547.0,,1863.0,,167.0,
Private,,,,,,,,,,,,,,
Azusa Pacific U.,8,i,ne,,ne,,349.0,,28.0,,321.0,,0.0,
California Institute of Technology,3001,,2344,,2268,,2380.0,,364.0,,2016.0,,562.0,
Chapman U.,101,,110,,150,,164.0,,34.0,,130.0,,8.0,
Charles R. Drew U. of Medicine and Science,207,,195,,195,,188.0,,25.0,,163.0,,2.0,
Claremont Graduate U.,152,,159,,159,i,138.0,i,49.0,i,89.0,i,8.0,i
Fuller Theological Seminary,ne,,42,,58,,77.0,,14.0,,63.0,,6.0,
Harvey Mudd C.,271,i,271,i,271,,294.0,,29.0,,265.0,,3.0,
Keck Graduate Institute,44,,30,i,30,,48.0,,10.0,,38.0,,1.0,
La Sierra U.,ne,,ne,,24,,27.0,,8.0,,19.0,,0.0,
Loma Linda U.,478,,489,,364,,374.0,,205.0,,169.0,,40.0,
Loyola Marymount U.,258,,499,,482,,402.0,,107.0,,295.0,,3.0,
Marshall B. Ketchum U.,ne,,ne,,34,,34.0,i,33.0,i,1.0,i,0.0,i
Mills C.,22,,31,,43,,20.0,,10.0,,10.0,,0.0,
National U.,256,,245,,25,,25.0,,5.0,,20.0,,10.0,
Occidental C.,69,,50,,55,,51.0,,8.0,,43.0,,0.0,
Pepperdine U.,140,i,263,i,111,i,115.0,i,52.0,i,63.0,i,2.0,i
Pomona C.,267,,266,,329,,321.0,,36.0,,285.0,,4.0,
Santa Clara U.,147,i,263,i,117,i,114.0,i,53.0,i,61.0,i,2.0,i
Scripps Research Institute,2732,,2457,,2327,,2190.0,,246.0,,1944.0,,562.0,
Stanford U.,9525,,10411,,11065,,9186.0,,1482.0,,7704.0,,1525.0,
"Touro U., Vallejo",31,,20,,39,,42.0,,8.0,,34.0,,1.0,
U. of the Pacific,189,,178,,187,,149.0,,26.0,,123.0,,5.0,
U. Redlands,27,,23,,19,,19.0,,8.0,,11.0,,1.0,
U. San Diego,125,,137,,77,,131.0,,29.0,,102.0,,6.0,
U. San Francisco,223,i,226,i,231,,242.0,,19.0,,223.0,,0.0,
U. Southern California,5893,,5955,,6334,,6395.0,,901.0,,5494.0,,462.0,
Western U. of Health Sciences,71,,74,,85,,65.0,,16.0,,49.0,,7.0,
Colorado,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Colorado School of Mines,1285,,1396,,1322,,1257.0,,156.0,,1101.0,,80.0,
"Colorado State U., Fort Collins",5198,i,4706,i,4695,i,5989.0,i,1387.0,,4602.0,i,413.0,i
U. Colorado Boulder,3165,,3113,,3043,,2735.0,,1066.0,,1669.0,,6.0,
U. Colorado Colorado Springs,317,i,265,i,266,i,226.0,,50.0,,176.0,,0.0,
U. Colorado Denver and Anschutz Medical Campus,5363,,5234,,6216,,5274.0,,962.0,,4312.0,,317.0,
U. Northern Colorado,169,,160,,259,,205.0,,90.0,,115.0,,5.0,
U.S. Air Force Academy,111,i,84,,91,i,477.0,i,77.0,,400.0,i,3.0,
Private,,,,,,,,,,,,,,
Colorado C.,95,,110,,84,,84.0,i,8.0,i,76.0,i,3.0,i
U. Denver,391,,464,,361,,353.0,,78.0,,275.0,,32.0,
