Fiscal year and type of institution,All externally funded R&D expenditures,Type of agreement,Contracts
2011,,,
All institutions,52663678.0,11055065.0,41608613.0
Doctorate,51695588.0,10871885.0,40823703.0
Nondoctorate,968090.0,183180.0,784910.0
Public,34017624.0,7271471.0,26746153.0
Private,18646054.0,3783594.0,14862460.0
2012,,,
All institutions,52095940.0,11412186.0,40683754.0
Doctorate,51268595.0,11267336.0,40001259.0
Nondoctorate,827345.0,144850.0,682495.0
Public,33707054.0,7503783.0,26203271.0
Private,18388886.0,3908403.0,14480483.0
2013,,,
All institutions,52029298.0,11583751.0,40445547.0
Doctorate,51392452.0,11486547.0,39905905.0
Nondoctorate,636846.0,97204.0,539642.0
Public,33657575.0,7831744.0,25825831.0
Private,18371723.0,3752007.0,14619716.0
2014,,,
All institutions,51411893.0,11600560.0,39811333.0
Doctorate,50832001.0,11510623.0,39321378.0
Nondoctorate,579892.0,89937.0,489955.0
Public,33015335.0,7690400.0,25324935.0
Private,18396558.0,3910160.0,14486398.0
2015,,,
All institutions,51956071.0,12077335.0,39878736.0
Doctorate,51449246.0,12009912.0,39439334.0
Nondoctorate,506825.0,67423.0,439402.0
Public,33249934.0,7950592.0,25299342.0
Private,18706137.0,4126743.0,14579394.0
