Survey population and source of funds,All separately budgeted R&D expenditures,Imputed amount,Imputed amount as % of total
Institutions in the standard form population,,,
All sources,68668.0,73.0,0.1
Federal government,37877.0,43.0,0.1
State and local government,3812.0,11.0,0.3
Institution funds,16712.0,11.0,0.1
Business,4001.0,1.0,0.0
Nonprofit organizations,4237.0,5.0,0.1
All other sources,2029.0,3.0,0.2
Institutions in the short form population,,,
All sources,140.0,4.0,2.8
Federal government,63.0,2.0,3.1
State and local government,9.0,0.0,4.3
Institution funds,44.0,1.0,2.6
Business,5.0,0.0,2.8
Nonprofit organizations,15.0,0.0,1.1
All other sources,4.0,0.0,1.7
