"State, institutional control, and institution",All R&D expenditures,Unnamed: 2,Environmental sciences,Unnamed: 4,Life sciences,Unnamed: 6,Math and computer sciences,Unnamed: 8,Physical sciences,Unnamed: 10,Psychology,Unnamed: 12,Social sciences,Unnamed: 14,"Sciences, nec",Unnamed: 16,Engineering,Unnamed: 18,All non-S&E fields,Unnamed: 20
United States,140056,,10172,,41025,,8045,,20901,,4919,,13126,,4621,,11115,,26132,
Public,60382,,6050,,17807,,3533,,9552,,1319,,4456,,2684,,4886,,10095,
Private,79674,,4122,,23218,,4512,,11349,,3600,,8670,,1937,,6229,,16037,
Alabama,2138,,490,,135,,326,,522,,5,,130,,209,,0,,321,
Public,1073,,490,,79,,3,,10,,5,,130,,35,,0,,321,
"Auburn U., Montgomery",452,,0,,58,,2,,0,,0,,113,,0,,0,,279,
Troy U.,327,,196,,21,,1,,10,,5,,17,,35,,0,,42,
U. West Alabama,294,,294,,0,,0,,0,,0,,0,,0,,0,,0,
Private,1065,,0,,56,,323,,512,,0,,0,,174,,0,,0,
Oakwood U.,1065,,0,,56,,323,,512,,0,,0,,174,,0,,0,
Arizona,323,,173,,66,,5,,19,,0,,14,,0,,0,,46,
Public,150,,0,,66,,5,,19,,0,,14,,0,,0,,46,
Dine C.,150,i,0,i,66,i,5,i,19,i,0,i,14,i,0,i,0,i,46,i
Private,173,,173,,0,,0,,0,,0,,0,,0,,0,,0,
Prescott C.,173,,173,,0,,0,,0,,0,,0,,0,,0,,0,
Arkansas,2570,,36,,953,,503,,197,,6,,22,,1,,495,,357,
Public,815,,0,,416,,8,,88,,5,,17,,0,,25,,256,
Arkansas Tech U.,525,,0,,395,,1,,49,,1,,17,,0,,25,,37,
Southern Arkansas U.,290,,0,,21,,7,,39,,4,,0,,0,,0,,219,
Private,1755,,36,,537,,495,,109,,1,,5,,1,,470,,101,
Harding U.,250,,0,,35,,188,,0,,0,,0,,0,,27,,0,
Hendrix C.,770,,0,,160,,0,,102,,0,,4,,0,,430,,74,
John Brown U.,176,,8,,123,,0,,6,,0,,1,,0,,12,,26,
Ouachita Baptist U.,219,i,1,i,211,i,2,i,1,i,1,i,0,i,1,i,1,i,1,i
Philander Smith C.,340,,27,,8,,305,,0,,0,,0,,0,,0,,0,
