Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17,2015.1,Unnamed: 19,shift
All institutions,11611633,,11681425,,11705921,,11710677,,7740720,,7604403,,7237982,,7107138,,,,,-1
1.0,Scripps Research Institute,398673,,399899,,386231,,384161.0,,309471,,308628,,292268,,274097.0,,,,0
2.0,Harvard U.,311791,,337123,,361784,,374276.0,,241623,,233108,,216485,,224751.0,,,,0
3.0,U. Texas M. D. Anderson Cancer Center,221846,,247702,,309169,,309488.0,,57198,,74674,,63669,,67107.0,,,,0
4.0,Rockefeller U.,262409,,270195,,286882,,290734.0,,71375,,69630,,70990,,70078.0,,,,0
5.0,Baylor C. of Medicine,249410,,249331,,259527,,265837.0,,162741,,161309,,168217,,162697.0,,,,0
6.0,Icahn School of Medicine at Mt. Sinai,167718,,215488,,235642,,257362.0,,104871,,118517,,128934,,143248.0,,,,0
7.0,Johns Hopkins U.a,219304,i,244625,i,234290,i,237881.0,i,157672,,169759,,159617,,164041.0,,,,0
8.0,Stanford U.,153736,,152134,,221633,,218071.0,,122223,,118715,,163080,,162803.0,,,,0
9.0,"U. North Carolina, Chapel Hill",208078,,221762,,238994,,216193.0,,156021,,162697,,167544,,161515.0,,,,0
10.0,Duke U.,229026,,224468,,223392,,206433.0,,173747,,155048,,150962,,142625.0,,,,0
11.0,U. Pennsylvania,227700,,205395,,204651,,205927.0,,190308,,172577,,173327,,166783.0,,,,0
12.0,"Washington U., Saint Louis",217796,,199433,,183001,,202990.0,,146515,,129254,,130116,,141514.0,,,,0
13.0,"U. Michigan, Ann Arbor",171110,,175804,,192013,,195419.0,,125909,,124580,,121351,,123966.0,,,,0
14.0,"U. Washington, Seattle",149492,,187013,,184612,,185416.0,,132080,,163939,,161250,,162464.0,,,,0
15.0,U. Wisconsin-Madison,213485,,196977,,181024,,175884.0,,134002,,125189,,102268,,99629.0,,,,0
16.0,Vanderbilt U.,163351,,160683,,145806,,169129.0,,130215,,127949,,115545,,109572.0,,,,0
17.0,U. Texas Southwestern Medical Center,202129,,207398,,185672,,168489.0,,90202,,85264,,70424,,68609.0,,,,0
