Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21,shift
All institutions,16711730,,656356,,9000135,,494446,,1066094,,275638,,847335,,409967,,2289474,,1672285,,,-1
1.0,"U. Michigan, Ann Arbor",497063.0,,6555.0,,280226.0,,12208.0,,17292.0,,9311.0,,66615.0,,568.0,,46403.0,,57885.0,,0
2.0,U. Wisconsin-Madison,371776.0,,8035.0,,208413.0,,6102.0,,16352.0,,1635.0,,16055.0,,4684.0,,34897.0,,75603.0,,0
3.0,Harvard U.,284058.0,,2773.0,,142777.0,,1632.0,,12715.0,,1170.0,,51227.0,,13429.0,,29950.0,,28385.0,,0
4.0,"U. Minnesota, Twin Cities",273869.0,,3806.0,,180431.0,,6910.0,,10096.0,,4735.0,,11643.0,,1156.0,,28410.0,,26682.0,,0
5.0,"Texas A&M U., College Station and Health Science Center",247330.0,,15527.0,,82439.0,,5390.0,,19319.0,,2240.0,,8247.0,,3973.0,,102225.0,,7970.0,,0
6.0,"U. North Carolina, Chapel Hill",246490.0,,5818.0,,200777.0,,2919.0,,5864.0,,10074.0,,9642.0,,42.0,,1246.0,,10108.0,,0
7.0,"U. California, San Francisco",237843.0,,0.0,,234963.0,,0.0,,2880.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
8.0,Cornell U.,233532.0,,6654.0,,159542.0,,3532.0,,14284.0,,4637.0,,13822.0,,1410.0,,24908.0,,4743.0,,0
9.0,U. Florida,230025.0,,2738.0,,166538.0,,3309.0,,5557.0,,992.0,,5342.0,,63.0,,19195.0,,26291.0,,0
10.0,Rockefeller U.,224343.0,,101.0,,211016.0,,8813.0,,4413.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
11.0,Virginia Polytechnic Institute and State U.,218691.0,,2475.0,,87124.0,,12019.0,,5149.0,,1477.0,,4158.0,,306.0,,102404.0,,3579.0,,0
12.0,"U. California, Los Angeles",212532.0,,2823.0,,147692.0,,1032.0,,6104.0,,2208.0,,21814.0,,8399.0,,10116.0,,12344.0,,0
13.0,Yale U.,210029.0,,4961.0,,166929.0,,3492.0,,17645.0,,4115.0,,1192.0,,422.0,,10436.0,,837.0,,0
14.0,"Indiana U., Bloomington",205578.0,,1976.0,,114385.0,,6995.0,,14382.0,,6332.0,,24187.0,,10815.0,,0.0,,26506.0,,0
15.0,Michigan State U.,205119.0,,1381.0,,97978.0,,8187.0,,44116.0,,3741.0,,12686.0,,8696.0,,14350.0,,13984.0,,0
16.0,"U. California, Davis",202475.0,,10077.0,,138621.0,,387.0,,12721.0,,678.0,,10368.0,,6162.0,,19130.0,,4331.0,,0
