Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21
,All institutions,4236993,,118849,,2806284,,62290,,173139,,72602,,253240,,66835,,329351,,354403,
1.0,"U. California, Los Angeles",149027,,2083,,114422,,843,,3262,,2520,,6139,,1066,,10010,,8682,
2.0,"U. California, San Francisco",143974,,0,,139673,,0,,4301,,0,,0,,0,,0,,0,
3.0,Johns Hopkins U.a,136259,,1134,,126215,,471,,2210,,340,,666,,129,,3041,,2053,
4.0,Cornell U.,123102,,509,,113710,,834,,2513,,171,,2375,,171,,2574,,245,
5.0,Harvard U.,111192,,2781,,35494,,461,,7777,,837,,20761,,28732,,1849,,12500,
6.0,Stanford U.,105454,,5054,,67988,,631,,5210,,3293,,5534,,0,,4340,,13404,
7.0,Massachusetts Institute of Technology,98397,,4709,,16779,,8177,,4633,,766,,12534,,2931,,22425,,25443,
8.0,"U. Washington, Seattle",97136,,3926,,70995,,1976,,2661,,652,,2435,,0,,5184,,9307,
9.0,"U. California, Berkeley",88823,,260,,34586,,6224,,7979,,2582,,8181,,3959,,15651,,9401,
10.0,Columbia U. in the City of New York,80911,,8439,,54771,,1046,,1553,,204,,2261,,0,,2461,,10176,
11.0,"Washington U., Saint Louis",78644,,150,,72425,,59,,155,,747,,342,,0,,665,,4101,
12.0,"U. California, San Diego",77616,,5531,,57641,,1298,,4479,,458,,2309,,53,,4993,,854,
13.0,Duke U.,73928,,2604,,61331,,161,,365,,875,,2468,,0,,4020,,2104,
14.0,Northwestern U.,70531,,181,,47355,,126,,5202,,26,,3092,,1706,,7428,,5415,
15.0,Baylor C. of Medicine,66646,,0,,66646,,0,,0,,0,,0,,0,,0,,0,
16.0,"U. North Carolina, Chapel Hill",62736,,2206,,41026,,234,,804,,2593,,12053,,0,,101,,3719,
17.0,U. Pennsylvania,60165,,0,,47602,,293,,845,,1801,,2227,,50,,1102,,6245,
18.0,"U. Michigan, Ann Arbor",58478,,272,,43103,,1188,,829,,683,,5727,,199,,3190,,3287,
19.0,Yale U.,57627,,144,,42459,,483,,1013,,3407,,4779,,728,,1650,,2964,
20.0,U. Texas Southwestern Medical Center,56387,,0,,56387,,0,,0,,0,,0,,0,,0,,0,
21.0,New York U.,55929,,194,,37849,,2178,,526,,2027,,3993,,0,,1066,,8096,
22.0,U. Chicago,54126,,757,,25422,,1987,,4843,,2973,,12883,,0,,259,,5002,
23.0,"U. Pittsburgh, Pittsburgh",51596,,298,,47935,,337,,916,,131,,253,,379,,1032,,315,
24.0,U. Wisconsin-Madison,47200,,1145,,33384,,247,,1172,,233,,3775,,600,,1869,,4775,
25.0,U. Southern California,44676,,1132,,25015,,1503,,460,,727,,5374,,18,,1327,,9120,
26.0,"Texas A&M U., College Station and Health Science Center",44519,,5665,,12192,,1013,,8566,,5,,1053,,14,,15378,,633,
27.0,"Indiana U., Bloomington",44307,,22,,39991,,892,,662,,307,,700,,624,,0,,1109,
28.0,"U. California, Davis",44030,,1387,,33895,,118,,1082,,307,,2451,,0,,2856,,1934,
29.0,Icahn School of Medicine at Mt. Sinai,43589,,0,,43589,,0,,0,,0,,0,,0,,0,,0,
30.0,"Rutgers, State U. New Jersey, New Brunswick",41803,,1487,,29633,,210,,1276,,438,,3223,,40,,2294,,3202,
31.0,U. Colorado Denver and Anschutz Medical Campus,40452,,0,,39114,,17,,25,,30,,249,,12,,207,,798,
32.0,"Purdue U., West Lafayette",38400,,44,,17975,,619,,1647,,139,,4516,,0,,6833,,6627,
33.0,U. Texas M. D. Anderson Cancer Center,37030,,0,,36831,,36,,63,,0,,100,,0,,0,,0,
34.0,California Institute of Technology,36765,,1806,,10449,,56,,7381,,0,,0,,0,,14849,,2224,
35.0,"Pennsylvania State U., University Park and Hershey Medical Center",35448,,1044,,21065,,1185,,1041,,716,,2416,,0,,7261,,720,
36.0,Ohio State U.,34977,,1095,,29377,,201,,617,,182,,949,,68,,1963,,525,
37.0,U. Florida,34958,,350,,30545,,107,,745,,129,,558,,0,,1611,,913,
