"State, institutional control, and institution",Total,Federally financed,All R&D expenditures received,Unnamed: 4,From educational pass-through entities,Unnamed: 6,From business,Unnamed: 8,From nonprofit organizations,Unnamed: 10,From other pass-through entities,Unnamed: 12,All R&D expenditures received.1,Unnamed: 14,From educational pass-through entities.1,Unnamed: 16,From business.1,Unnamed: 18,From nonprofit organizations.1,Unnamed: 20,From other pass-through entities.1,Unnamed: 22
United States,6641923.0,,3031963.0,,1104746.0,,1417234.0,,1087980.0,,5600255.0,,2760240.0,,831211.0,,1104301.0,,904503.0,,,
Alabama,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Alabama A&M U.,2247.0,i,1235.0,i,269.0,i,266.0,i,477.0,i,2077.0,i,1192.0,i,237.0,i,233.0,i,415.0,i,,
Alabama State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Auburn U., Auburn",20574.0,i,6808.0,i,3817.0,i,284.0,i,9665.0,i,19365.0,,6364.0,,3626.0,,87.0,,9288.0,,,
Jacksonville State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"U. Alabama, Birmingham",73591.0,,27107.0,,41288.0,,3348.0,,1848.0,,54554.0,,26936.0,,23568.0,,2680.0,,1370.0,,,
"U. Alabama, Huntsville",19485.0,,1507.0,,16311.0,,480.0,,1187.0,,17748.0,,1183.0,,15437.0,,284.0,,844.0,,,
"U. Alabama, Tuscaloosa",15306.0,,4389.0,,1705.0,,1312.0,,7900.0,,15306.0,,4389.0,,1705.0,,1312.0,,7900.0,,,
U. South Alabama,2105.0,,702.0,,968.0,,97.0,,338.0,,2054.0,,689.0,,932.0,,97.0,,336.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Tuskegee U.,1463.0,i,1182.0,i,117.0,i,119.0,i,45.0,i,1463.0,i,1182.0,i,117.0,i,119.0,i,45.0,i,,
Alaska,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"U. Alaska, Anchorage",1076.0,,437.0,,153.0,,353.0,,133.0,,1076.0,,437.0,,153.0,,353.0,,133.0,,,
"U. Alaska, Fairbanks",8691.0,i,2698.0,i,1508.0,i,3118.0,i,1367.0,i,7470.0,,2369.0,,1155.0,,2870.0,,1076.0,,,
"U. Alaska, Southeast",16.0,,0.0,,0.0,,16.0,,0.0,,16.0,,0.0,,0.0,,16.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Alaska Pacific U.,21.0,,21.0,,0.0,,0.0,,0.0,,21.0,,21.0,,0.0,,0.0,,0.0,,,
Arizona,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Arizona State U.,44947.0,,20906.0,,5172.0,,16202.0,,2667.0,,34223.0,,19433.0,,5038.0,,7986.0,,1766.0,,,
Northern Arizona U.,1553.0,,611.0,,157.0,,322.0,,463.0,,1520.0,,578.0,,157.0,,322.0,,463.0,,,
U. Arizona,52102.0,i,23002.0,i,6093.0,i,19264.0,i,3743.0,i,47458.0,,21299.0,,5353.0,,18501.0,,2305.0,,,
Arkansas,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
