Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17,2015.1,Unnamed: 19,shift
All institutions,3300097,,3352448,,3389720,,3464738,,1136584,,1109312,,1083403,,1088905,,,,,-1
1.0,"Texas A&M U., College Station and Health Science Center",176424,,179022,,177751,,181658.0,,53139,,46823,,41967,,39349.0,,,,0
2.0,U. Florida,150308,,156979,,161102,,167641.0,,33288,,32757,,32504,,33749.0,,,,0
3.0,"U. California, Davis",126845,,135397,,133761,,137628.0,,39775,,38354,,37354,,38922.0,,,,0
4.0,"U. Illinois, Urbana-Champaign",133968,,136333,,125465,,130410.0,,55084,,51637,,42503,,42524.0,,,,0
5.0,"Purdue U., West Lafayette",117210,,111740,,115088,,120012.0,,39847,,37965,,35983,,34456.0,,,,0
6.0,Mississippi State U.,102846,,98094,,99002,,106463.0,,31731,,27095,,26863,,27728.0,,,,0
7.0,Virginia Polytechnic Institute and State U.,101565,,101212,,103451,,104627.0,,37606,,36781,,36393,,36843.0,,,,0
8.0,Michigan State U.,101445,,99886,,95868,,104617.0,,32140,,31526,,32557,,35431.0,,,,0
9.0,North Carolina State U.,92335,,91364,,81675,,99041.0,,16698,,19788,,19300,,20024.0,,,,0
10.0,Cornell U.,61646,,70265,,114086,,91244.0,,20339,,20413,,34169,,25074.0,,,,0
11.0,"U. Minnesota, Twin Cities",77820,,79217,,84973,,89171.0,,22090,,21604,,22253,,21696.0,,,,0
12.0,"U. Missouri, Columbia",77355,,89529,,77354,,86596.0,,21485,,19790,,21754,,22174.0,,,,0
13.0,"Pennsylvania State U., University Park and Hershey Medical Center",91689,,98418,,87278,,86469.0,,42424,,45827,,38205,,35718.0,,,,0
14.0,Washington State U.,83460,,87911,,92529,i,86195.0,,26208,,30394,,26977,,28256.0,,,,0
15.0,North Dakota State U.,73458,,73318,,80307,,81879.0,,12075,,10295,,9493,,9629.0,,,,0
16.0,"U. Nebraska, Lincoln",63889,,71542,,73704,,81383.0,,16316,,12071,,13701,,16646.0,,,,0
17.0,U. Georgia,72861,,73020,,77555,,79815.0,,24691,,25077,,24441,,27276.0,,,,0
18.0,Kansas State U.,64400,,69352,,74016,,78357.0,,16151,,15373,,19508,,21730.0,,,,0
19.0,Oregon State U.,77181,,71106,,70334,,75390.0,,34020,,31372,,29713,,31200.0,,,,0
20.0,"Louisiana State U., Baton Rouge",72206,,71502,,72242,,74013.0,,9269,,11207,,8662,,9773.0,,,,0
21.0,"U. Arkansas, Fayetteville",64737,,68376,,69263,,68084.0,,12953,,13578,,10632,,11600.0,,,,0
22.0,"U. California, Berkeley",63690,,68073,,60630,,62493.0,,26158,,23813,,21518,,21506.0,,,,0
23.0,U. Kentucky,58601,,54715,,52445,,59511.0,,14148,,13410,,12106,,16144.0,,,,0
24.0,Ohio State U.,65276,,66953,,65958,,58895.0,,25924,,25461,,25456,,24264.0,,,,0
25.0,"Auburn U., Auburn",52598,,55449,,56182,,56845.0,,13743,,14504,,11637,,13188.0,,,,0
26.0,U. Arizona,60789,,53747,,56211,,56581.0,,18549,,18261,,17273,,17908.0,,,,0
27.0,"U. Maryland, College Park",47662,,47449,,43478,,56326.0,,19693,,21851,,20115,,25645.0,,,,0
28.0,U. Wisconsin-Madison,51507,,51353,,55720,,55099.0,,18251,,17422,,17483,,18361.0,,,,0
29.0,Iowa State U.,48694,,54489,,56106,,49050.0,,16552,,18405,,17284,,15306.0,,,,0
30.0,Utah State U.,40852,,43803,,45177,,48169.0,,18530,,21350,,21284,,23115.0,,,,0
31.0,"U. Tennessee, Knoxville, Institute of Agriculture",42957,,42900,,42112,,41991.0,,10920,,9494,,7729,,7071.0,,,,0
32.0,U. Idaho,34040,,35662,,36961,,40350.0,,13513,,14913,,13677,,14501.0,,,,0
33.0,"Colorado State U., Fort Collins",35404,,38320,,36271,,36811.0,,16379,,18006,,16707,,14360.0,,,,0
34.0,U. Delaware,29673,,32403,,30297,,32695.0,,11172,,11540,,11580,,12397.0,,,,0
35.0,"Rutgers, State U. New Jersey, New Brunswick",37414,,39767,,27338,,31354.0,,20677,,20278,,11254,,10877.0,,,,0
36.0,"U. Washington, Seattle",11487,,28354,,25930,,30856.0,,8079,,18501,,17244,,21106.0,,,,0
37.0,New Mexico State U.,30788,,27863,,28929,,30404.0,,9653,,6964,,6745,,8388.0,,,,0
38.0,"Oklahoma State U., Stillwater",34075,,35993,,35524,,30396.0,,7617,,7091,,5698,,4582.0,,,,0
39.0,West Virginia U.,30225,,30351,,26274,,29391.0,,13430,,12477,,10476,,12217.0,,,,0
40.0,South Dakota State U.,27262,,28619,,28546,,29108.0,,13870,,12868,,11662,,11562.0,,,,0
41.0,Texas Tech U.,23737,,25519,,27246,,27262.0,,4580,,3221,,3544,,3008.0,,,,0
42.0,"U. Hawaii, Manoa",20775,,24517,,26336,,25662.0,,9388,,13519,,12977,,14461.0,,,,0
43.0,"U. Massachusetts, Amherst",29881,,22631,,24079,,24915.0,,16924,,12645,,13461,,14100.0,,,,0
44.0,"Montana State U., Bozeman",32765,,30083,,27598,,23462.0,,18135,,14651,,12125,,8539.0,,,,0
