"State, institutional control, and institution",Received as a subrecipient,Passed through to subrecipients,Total,Unnamed: 4,Federally financed,Unnamed: 6,Nonfederally financed,Unnamed: 8,Total.1,Unnamed: 10,Federally financed.1,Unnamed: 12,Nonfederally financed.1,Unnamed: 14
United States,15832.0,,14091.0,,1741.0,,1991.0,,1680.0,,311.0,,,
Alabama,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"Auburn U., Montgomery",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Troy U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. West Alabama,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Oakwood U.,111.0,,111.0,,0.0,,0.0,,0.0,,0.0,,,
Arizona,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Dine C.,10.0,i,9.0,i,1.0,i,3.0,i,3.0,i,0.0,i,,
Private,,,,,,,,,,,,,,
Prescott C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Arkansas,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Arkansas Tech U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Southern Arkansas U.,38.0,,38.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Harding U.,247.0,,247.0,,0.0,,0.0,,0.0,,0.0,,,
Hendrix C.,404.0,,393.0,,11.0,,0.0,,0.0,,0.0,,,
John Brown U.,117.0,,117.0,,0.0,,0.0,,0.0,,0.0,,,
Ouachita Baptist U.,210.0,i,210.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,
Philander Smith C.,35.0,,35.0,,0.0,,0.0,,0.0,,0.0,,,
California,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"U. California, Hastings C. of Law",3.0,,0.0,,3.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
California Lutheran U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Claremont McKenna C.,131.0,,131.0,,0.0,,0.0,,0.0,,0.0,,,
Dominican U. California,202.0,,202.0,,0.0,,0.0,,0.0,,0.0,,,
International Technological U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Palo Alto U.,50.0,,50.0,,0.0,,48.0,,48.0,,0.0,,,
Pitzer C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Point Loma Nazarene U.,47.0,,47.0,,0.0,,12.0,,12.0,,0.0,,,
Scripps C.,11.0,i,11.0,i,0.0,i,5.0,i,5.0,i,0.0,i,,
Westmont C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Colorado,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Colorado Mesa U.,16.0,,16.0,,0.0,,0.0,,0.0,,0.0,,,
"Colorado State U., Pueblo",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Fort Lewis C.,66.0,,66.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Regis U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Connecticut,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
U.S. Coast Guard Academy,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Western Connecticut State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
U. Bridgeport,64.0,,4.0,,60.0,,0.0,,0.0,,0.0,,,
Florida,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
New C. Florida,28.0,,28.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Eckerd C.,178.0,,0.0,,178.0,,0.0,,0.0,,0.0,,,
Rollins C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Stetson U.,53.0,,53.0,,0.0,,0.0,,0.0,,0.0,,,
Georgia,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Georgia C. and State U.,26.0,,26.0,,0.0,,0.0,,0.0,,0.0,,,
Georgia Gwinnett C.,13.0,,13.0,,0.0,,0.0,,0.0,,0.0,,,
Valdosta State U.,125.0,,125.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Agnes Scott C.,109.0,,109.0,,0.0,,0.0,,0.0,,0.0,,,
Berry C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Paine C.,70.0,,70.0,,0.0,,0.0,,0.0,,0.0,,,
Hawaii,,,,,,,,,,,,,,
Private,,,,,,,,,,,,,,
"Brigham Young U., Laie",13.0,i,12.0,i,1.0,i,3.0,i,3.0,i,0.0,i,,
Idaho,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Lewis-Clark State C.,189.0,,189.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Northwest Nazarene U.,541.0,,541.0,,0.0,,0.0,,0.0,,0.0,,,
Illinois,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Chicago State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Eastern Illinois U.,23.0,,8.0,,15.0,,0.0,,0.0,,0.0,,,
Northeastern Illinois U.,42.0,,42.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
"Augustana C., Rock Island",10.0,,10.0,,0.0,,0.0,,0.0,,0.0,,,
Elmhurst C.,20.0,,20.0,,0.0,,0.0,,0.0,,0.0,,,
Illinois C. of Optometry,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Illinois Wesleyan U.,0.0,,0.0,,0.0,,49.0,,49.0,,0.0,,,
Lake Forest C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
National U. of Health Sciences,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
North Central C.,31.0,,31.0,,0.0,,0.0,,0.0,,0.0,,,
Roosevelt U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Indiana,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"Indiana U., Gary",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Indiana U., Kokomo",0.0,,0.0,,0.0,,87.0,,87.0,,0.0,,,
"Indiana U., New Albany",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Indiana U., Richmond",28.0,,28.0,,0.0,,0.0,,0.0,,0.0,,,
U. Southern Indiana,112.0,,14.0,,98.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,
Butler U.,14.0,,14.0,,0.0,,0.0,,0.0,,0.0,,,
DePauw U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Earlham C.,50.0,,41.0,,9.0,,0.0,,0.0,,0.0,,,
Indiana Wesleyan U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Rose-Hulman Institute of Technology,98.0,,98.0,,0.0,,52.0,,52.0,,0.0,,,
Taylor U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Evansville,0.0,,0.0,,0.0,,72.0,,72.0,,0.0,,,
Wabash C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Iowa,,,,,,,,,,,,,,
Private,,,,,,,,,,,,,,
Coe C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Cornell C.,18.0,,18.0,,0.0,,0.0,,0.0,,0.0,,,
Des Moines U.,25.0,,25.0,,0.0,,0.0,,0.0,,0.0,,,
Drake U.,175.0,,169.0,,6.0,,124.0,,124.0,,0.0,,,
Luther C.,8.0,,8.0,,0.0,,0.0,,0.0,,0.0,,,
