Rank,Institution,HHS R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23
,All institutions,20024751,,75315,,72321,,17571596,,42604,,514103,,506476,,308035,,125308,,611892,,197101,
1.0,Johns Hopkins U.a,584834,,130,,8299,,544308,,0,,2680,,2377,,302,,0,,26738,,0,
2.0,"U. Washington, Seattle",579916,,1853,,1464,,508891,,1003,,10297,,6420,,3797,,0,,19958,,26233,
3.0,"U. California, San Francisco",504874,,0,,0,,472681,,0,,32193,,0,,0,,0,,0,,0,
4.0,U. Pennsylvania,481614,,60,,0,,446784,,501,,6701,,8252,,4289,,681,,8241,,6105,
5.0,"U. Pittsburgh, Pittsburgh",472159,,1349,,7263,,434929,,461,,2901,,15085,,677,,459,,6106,,2929,
6.0,"U. Michigan, Ann Arbor",466611,,760,,0,,375257,,1466,,7617,,8576,,59884,,0,,11866,,1185,
7.0,Stanford U.,444739,,464,,203,,401659,,1331,,15627,,6648,,765,,0,,17975,,67,
8.0,"U. North Carolina, Chapel Hill",442746,,1681,,5033,,399119,,279,,6516,,14397,,12174,,0,,2733,,814,
9.0,Duke U.,423827,,417,,2830,,383285,,1222,,2848,,5352,,11823,,0,,15785,,265,
10.0,Columbia U. in the City of New York,408376,,290,,958,,376965,,166,,3442,,3107,,247,,0,,14887,,8314,
11.0,Harvard U.,398983,,4001,,13249,,292020,,6024,,11737,,2938,,9474,,54278,,4177,,1085,
12.0,Yale U.,391369,,12,,0,,376782,,0,,6210,,3405,,754,,0,,3833,,373,
13.0,"Washington U., Saint Louis",385426,,836,,16,,360634,,76,,3084,,3303,,52,,1915,,8605,,6905,
14.0,"U. California, San Diego",365739,,580,,3061,,319724,,270,,15869,,6287,,373,,978,,18041,,556,
15.0,"U. California, Los Angeles",335761,,643,,0,,307247,,0,,7482,,7647,,2707,,1978,,7106,,951,
16.0,Icahn School of Medicine at Mt. Sinai,323877,,0,,0,,323877,,0,,0,,0,,0,,0,,0,,0,
17.0,Emory U.,319313,,141,,293,,308760,,135,,2010,,1377,,1023,,0,,4657,,917,
18.0,Vanderbilt U.,317534,,0,,0,,285223,,17,,13989,,7457,,358,,260,,9003,,1227,
19.0,"U. Minnesota, Twin Cities",298257,,546,,0,,261966,,792,,3902,,10845,,9411,,71,,8356,,2368,
20.0,New York U.,284089,,67,,0,,251563,,639,,3836,,17373,,239,,0,,126,,10246,
21.0,Northwestern U.,280136,,0,,0,,261008,,134,,4199,,740,,4288,,0,,9240,,527,
22.0,"U. Alabama, Birmingham",275414,,0,,0,,270164,,0,,130,,2729,,61,,0,,1415,,915,
23.0,U. Wisconsin-Madison,273732,,0,,40,,236813,,81,,6209,,3089,,13652,,129,,11434,,2285,
24.0,Case Western Reserve U.,272104,,0,,0,,258754,,28,,1398,,1098,,1549,,0,,9244,,33,
25.0,U. Southern California,258428,,4061,,33,,223516,,17,,2091,,5210,,9350,,185,,9814,,4151,
26.0,Scripps Research Institute,242821,,0,,0,,242821,,0,,0,,0,,0,,0,,0,,0,
27.0,U. Colorado Denver and Anschutz Medical Campus,241253,,0,,22,,237496,,34,,145,,612,,25,,0,,2356,,563,
28.0,Ohio State U.,230792,,433,,335,,210046,,132,,6448,,4036,,1443,,2775,,2717,,2427,
29.0,U. Cincinnati,229523,,0,,0,,226248,,77,,683,,321,,461,,0,,1501,,232,
30.0,Oregon Health and Science U.,228876,,0,,1460,,210196,,0,,0,,2847,,0,,5385,,7376,,1612,
31.0,Cornell U.,212344,,102,,0,,186235,,0,,14019,,2940,,1455,,0,,7573,,20,
32.0,U. Chicago,211860,,7426,,0,,190025,,521,,3544,,4436,,3060,,7,,60,,2781,
33.0,Baylor C. of Medicine,207007,,0,,0,,207007,,0,,0,,0,,0,,0,,0,,0,
34.0,"U. Maryland, Baltimore",196339,,0,,184,,188670,,0,,0,,0,,0,,0,,3127,,4358,
35.0,Boston U.,191718,,0,,0,,159302,,1396,,6702,,9883,,99,,0,,13131,,1205,
36.0,"Rutgers, State U. New Jersey, New Brunswick",183790,,88,,216,,165451,,590,,7402,,3684,,5250,,271,,654,,184,
37.0,U. Utah,178867,,4650,,457,,163726,,322,,2856,,1204,,3084,,0,,2568,,0,
38.0,Yeshiva U.,177939,,0,,0,,177939,,0,,0,,0,,0,,0,,0,,0,
39.0,"U. California, Davis",175634,,0,,421,,157522,,108,,3554,,1864,,4164,,166,,7620,,215,
40.0,"U. Massachusetts, Medical School",175256,,0,,0,,175256,,0,,0,,0,,0,,0,,0,,0,
41.0,U. Iowa,174715,,0,,24,,162359,,0,,1024,,4842,,724,,0,,4937,,805,
42.0,U. Texas Southwestern Medical Center,172416,,0,,0,,172416,,0,,0,,0,,0,,0,,0,,0,
43.0,U. Rochester,167690,,0,,0,,154141,,0,,1448,,8600,,0,,0,,3501,,0,
44.0,U. Texas M. D. Anderson Cancer Center,155636,,0,,0,,135574,,4617,,7484,,6445,,1516,,0,,0,,0,
45.0,U. Florida,154563,,936,,1153,,141868,,10,,1506,,3327,,51,,0,,5574,,138,
46.0,"Indiana U., Bloomington",151630,,1467,,0,,136429,,0,,5033,,6402,,922,,35,,0,,1342,
47.0,"U. Illinois, Chicago",146527,,61,,0,,136950,,0,,1537,,1385,,1717,,998,,1900,,1979,
48.0,U. Miami,139908,,1035,,794,,130673,,0,,236,,6412,,39,,0,,701,,18,
49.0,"U. South Florida, Tampa",136518,,140,,0,,120052,,384,,1233,,5658,,7926,,0,,718,,407,
50.0,"U. Virginia, Charlottesville",126081,,0,,0,,115133,,25,,2596,,2782,,89,,156,,4130,,1170,
51.0,Massachusetts Institute of Technology,119114,,4627,,5510,,58944,,0,,8968,,199,,323,,619,,39896,,28,
52.0,"Pennsylvania State U., University Park and Hershey Medical Center",118760,,28,,2184,,86157,,562,,4043,,12492,,7100,,0,,5228,,966,
53.0,Wake Forest U.,114268,,0,,0,,113273,,0,,750,,245,,0,,0,,0,,0,
54.0,"SUNY, U. Buffalo",113954,,47,,263,,88278,,0,,1290,,2218,,83,,0,,21140,,635,
55.0,"U. Texas Health Science Center, Houston",113241,,0,,0,,113241,,0,,0,,0,,0,,0,,0,,0,
56.0,Dartmouth C.,109299,,351,,246,,98405,,0,,1740,,2035,,106,,0,,6416,,0,
57.0,"U. California, Berkeley",107469,,0,,833,,72844,,144,,5958,,4311,,5663,,16455,,1254,,7,
58.0,"U. California, Irvine",106886,,650,,0,,94044,,238,,5131,,1328,,546,,0,,3921,,1028,
59.0,George Washington U.,105819,,0,,0,,101955,,0,,197,,2069,,646,,418,,478,,56,
60.0,Virginia Commonwealth U.,103947,,0,,0,,88539,,273,,3942,,6090,,9,,0,,1625,,3469,
61.0,Medical C. Wisconsin,102430,,0,,0,,102430,,0,,0,,0,,0,,0,,0,,0,
62.0,Medical U. South Carolina,102120,,0,,0,,102120,,0,,0,,0,,0,,0,,0,,0,
