Fiscal year and type of institutional control,Institutions with medical schools (number),All R&D expenditures,Medical school R&D expenditures
2011,,,
All institutions,144.0,42941206.0,23215960.0
Public,84.0,25927387.0,12678932.0
Private,60.0,17013819.0,10537028.0
2012,,,
All institutions,145.0,43056379.0,22885999.0
Public,85.0,25938222.0,12375216.0
Private,60.0,17118157.0,10510783.0
2013,,,
All institutions,146.0,44826210.0,22716465.0
Public,86.0,27210089.0,12419947.0
Private,60.0,17616121.0,10296518.0
2014,,,
All institutions,150.0,46138811.0,22866797.0
Public,89.0,28237378.0,12416501.0
Private,61.0,17901433.0,10450296.0
2015,,,
All institutions,152.0,47476652.0,23540360.0
Public,91.0,29031407.0,12772248.0
Private,61.0,18445245.0,10768112.0
