Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17,2015.1,Unnamed: 19,shift
All institutions,20330412,,20454601,,20710816,,21347494,,12681477,,12287380,,11742653,,11749252,,,,,-1
1.0,"U. California, San Francisco",986744,,1005023,,1010250,,1060465.0,,528867,,540859,,496640,,491760.0,,,,0
2.0,"U. California, Los Angeles",686622,,640574,,647292,,691329.0,,360365,,327397,,304777,,311095.0,,,,0
3.0,Duke U.,602521,,559210,,614876,,617925.0,,278827,,270682,,260588,,268413.0,,,,0
4.0,"U. California, San Diego",581953,,571257,,565191,,607793.0,,369780,,356155,,327876,,325710.0,,,,0
5.0,Johns Hopkins U.a,575575,i,571174,i,567149,i,565915.0,i,448847,,443431,,417422,,403020.0,,,,0
6.0,"U. Pittsburgh, Pittsburgh",539056,,534201,,523245,,541662.0,,394316,,373012,,349022,,343916.0,,,,0
7.0,"U. Washington, Seattle",410518,,525056,,498318,,495170.0,,328330,,403847,,384650,,383122.0,,,,0
8.0,Yale U.,404221,,496721,,456838,,483091.0,,325037,,301100,,277129,,283853.0,,,,0
9.0,"U. Michigan, Ann Arbor",422583,,481416,,463576,,472983.0,,286142,,296933,,245598,,231988.0,,,,0
10.0,U. Texas M. D. Anderson Cancer Center,392758,,411145,,429078,,464349.0,,111891,,84162,,75898,,73334.0,,,,0
11.0,U. Pennsylvania,440877,,429798,,440513,,463167.0,,346102,,323081,,314839,,306152.0,,,,0
12.0,Stanford U.,327353,,355712,,356908,,411364.0,,217346,,228459,,212407,,253264.0,,,,0
13.0,"Washington U., Saint Louis",401980,,392786,,388847,,406830.0,,235520,,225437,,227736,,229040.0,,,,0
14.0,Cornell U.,343508,,311885,,312033,,402728.0,,186579,,163642,,155866,,167001.0,,,,0
15.0,"U. Minnesota, Twin Cities",392590,,390867,,397011,,379191.0,,247934,,244506,,241301,,223905.0,,,,0
16.0,"U. North Carolina, Chapel Hill",338435,,355361,,355403,,355936.0,,216864,,218103,,207033,,199921.0,,,,0
17.0,Emory U.,227058,,235268,,314003,i,352486.0,,158570,,147031,,177357,,182194.0,,,,0
18.0,U. Wisconsin-Madison,419807,,385561,,381954,,351361.0,,182770,,167985,,166231,,168013.0,,,,0
19.0,U. Southern California,318068,,325153,,351234,,350720.0,,218243,,208001,,206838,,199370.0,,,,0
20.0,U. Colorado Denver and Anschutz Medical Campus,382965,,370804,,339253,,345614.0,,271768,,264786,,224638,,215452.0,,,,0
21.0,Ohio State U.,261648,,288361,,324728,,337317.0,,162850,,172601,,186252,,185046.0,,,,0
22.0,Northwestern U.,312879,,317945,,320206,,327972.0,,201977,,204351,,197566,,200442.0,,,,0
23.0,"U. Alabama, Birmingham",304495,,294054,,282484,,321859.0,,189913,,180279,,173823,,187348.0,,,,0
24.0,Yeshiva U.,287691,,270587,,306560,,306174.0,,200061,,193252,,186619,,180791.0,,,,0
25.0,Columbia U. in the City of New York,402778,,368288,,332248,,305806.0,,289172,,255007,,206560,,198885.0,,,,0
26.0,Uniformed Services U. of the Health Sciences,130028,,154589,,171764,,305234.0,,94387,,114011,,139847,,255320.0,,,,0
27.0,Vanderbilt U.,248196,,249327,,367397,,279018.0,,199282,,194839,,176290,,170576.0,,,,0
28.0,U. Cincinnati,271131,,279564,,269265,,278341.0,,193825,,187547,,185145,,198810.0,,,,0
29.0,U. Texas Southwestern Medical Center,222930,,222809,,237830,,256091.0,,108280,,104117,,106187,,103692.0,,,,0
30.0,Baylor C. of Medicine,225290,,259468,,236787,,254383.0,,106012,,123921,,96424,,94198.0,,,,0
31.0,Icahn School of Medicine at Mt. Sinai,232962,,213166,,227787,,250991.0,,166851,,159000,,171733,,186393.0,,,,0
32.0,"U. Maryland, Baltimore",251374,,252023,,242412,,246125.0,,130452,,132436,,125972,,128532.0,,,,0
33.0,Case Western Reserve U.,268228,,260356,,251875,,240435.0,,231286,,223315,,209065,,190843.0,,,,0
34.0,New York U.,213792,,214897,,225065,,240311.0,,145171,,136204,,140458,,152033.0,,,,0
35.0,"Indiana U., Bloomington",6375,,6435,,7169,,228213.0,,4088,,4199,,3895,,92969.0,,,,0
36.0,U. Miami,233763,,209397,,204162,,214948.0,,124487,,111330,,106145,,109866.0,,,,0
37.0,"U. California, Davis",232963,,234823,,225181,,211525.0,,140572,,135991,,127950,,110067.0,,,,0
38.0,U. Iowa,217552,,209266,,226085,,207186.0,,128267,,117902,,109679,,101192.0,,,,0
39.0,U. Utah,158774,,188776,,179223,,193906.0,,110709,,125950,,119016,,120262.0,,,,0
40.0,"U. South Florida, Tampa",252854,,218359,,198961,,191432.0,,137535,,111860,,96612,,85266.0,,,,0
41.0,"Rutgers, State U. New Jersey, New Brunswick",59352,,73261,,206997,,187731.0,,38990,,51804,,126250,,101662.0,,,,0
42.0,"U. Illinois, Chicago",209846,,191198,,175814,,184251.0,,136140,,118499,,107819,,104475.0,,,,0
43.0,U. Florida,170060,,170706,,172432,,181743.0,,82137,,81090,,71109,,74856.0,,,,0
44.0,Boston U.,166720,,176897,,172198,,179531.0,,133337,,129089,,129137,,130023.0,,,,0
45.0,U. Chicago,173220,,166601,,162826,,175367.0,,116547,,110627,,108032,,114494.0,,,,0
46.0,U. Rochester,185943,,184948,,172511,,174735.0,,137666,,134062,,120793,,113986.0,,,,0
47.0,Wake Forest U.,195667,,175622,,169136,,164286.0,,166259,,150329,,146870,,141889.0,,,,0
48.0,"U. Virginia, Charlottesville",167818,,171765,,157094,,160371.0,,96161,,91755,,80788,,79758.0,,,,0
49.0,"SUNY, U. Buffalo",150223,,170898,,173063,,156492.0,,64214,,66573,,63145,,59621.0,,,,0
50.0,Oregon Health and Science U.,130646,,129461,,145588,,152220.0,,96654,,96064,,109655,,114561.0,,,,0
51.0,Medical C. Wisconsin,154437,,141905,,147930,,150306.0,,92589,,70010,,71960,,71968.0,,,,0
52.0,Harvard U.,162165,,187869,,151194,,139473.0,,136724,,125465,,110522,,75849.0,,,,0
53.0,U. Arizona,124942,,125014,,124734,,137582.0,,60008,,55837,,50125,,46808.0,,,,0
54.0,Wayne State U.,131515,,127425,,124864,,120709.0,,80194,,76281,,71223,,67224.0,,,,0
55.0,"U. California, Irvine",119035,,115710,,120392,,116852.0,,70618,,60970,,54930,,55453.0,,,,0
56.0,Georgetown U.,133238,,131110,,119679,,115633.0,,90367,,92008,,78275,,67612.0,,,,0
57.0,U. Kentucky,114735,,107149,,112965,,109868.0,,53642,,51375,,52309,,51864.0,,,,0
58.0,"U. Massachusetts, Medical School",127032,,121754,,107810,,108063.0,,98105,,90501,,79471,,76173.0,,,,0
59.0,"U. Texas Health Science Center, San Antonio",124849,,117001,,106944,,107067.0,,67664,,62677,,56329,,50908.0,,,,0
60.0,U. Kansas,79035,,99083,,96355,,104659.0,,40167,,45693,,41159,,43050.0,,,,0
61.0,U. New Mexico,82345,,83446,,93784,,103218.0,,59910,,57885,,64484,,69168.0,,,,0
62.0,"Pennsylvania State U., University Park and Hershey Medical Center",110501,,111861,,104644,,101886.0,,73617,,68426,,65640,,64729.0,,,,0
63.0,Medical U. South Carolina,96084,,104159,,103722,,97657.0,,45014,,44437,,39631,,37711.0,,,,0
64.0,U. Arkansas for Medical Sciences,81026,,87446,,90229,,97319.0,,36346,,34520,,30423,,29880.0,,,,0
65.0,"U. Texas Health Science Center, Houston",86192,,86958,,92274,,95995.0,,49809,,49289,,47910,,44776.0,,,,0
66.0,Virginia Commonwealth U.,70050,,68907,,85098,,93688.0,,48879,,47248,,48311,,50394.0,,,,0
67.0,George Washington U.,61876,,72698,,97980,,93127.0,,50602,,61953,,87333,,78893.0,,,,0
68.0,"Texas A&M U., College Station and Health Science Center",21706,,92134,,103463,,92900.0,,12366,,50092,,49739,,43907.0,,,,0
69.0,Temple U.,50169,,105491,,92573,,84656.0,,33063,,59669,,49430,,51538.0,,,,0
70.0,"U. Oklahoma, Norman and Health Science Center",73947,,73103,,85734,,79152.0,,37586,,34361,,39727,,35165.0,,,,0
71.0,Dartmouth C.,138667,,80126,,83576,,79085.0,,104945,,59362,,55255,,52574.0,,,,0
