Rank,Institution,All R&D expenditures,Source of funds,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14
,All HHE institutions,2753104,1184367,424430,669740.0,143516,132185,198866
1.0,U. Texas M. D. Anderson Cancer Center,833406,161171,244316,174431.0,81076,37030,135382
2.0,U. New Mexico,232271,154794,2895,58782.0,3729,10313,1758
3.0,"U. Texas Health Science Center, San Antonio",170277,85940,10817,45250.0,7856,20414,0
4.0,Florida International U.,163033,76528,9330,69238.0,2545,4721,671
5.0,"U. California, Santa Cruz",151713,92870,3262,27921.0,8571,8595,10494
6.0,U. Houston,150628,58458,32478,38995.0,9604,7449,3644
7.0,"U. California, Riverside",144511,63515,6270,44435.0,6726,9683,13882
8.0,New Mexico State U.,132377,78903,19122,20732.0,3846,1941,7833
9.0,San Diego State U.,93572,46870,5445,36941.0,311,2469,1536
10.0,"U. Texas, El Paso",89418,41897,18282,17205.0,1359,2906,7769
11.0,"U. Texas, San Antonio",54949,23511,16467,9341.0,941,1038,3651
12.0,"CUNY, City C.",53223,38434,2833,9306.0,1683,33,934
13.0,Texas State U.,47694,18289,7145,16827.0,1843,3590,0
14.0,"U. Puerto Rico, Medical Sciences Campus",43316,31889,3119,5925.0,2383,0,0
15.0,"CUNY, Hunter C.",36368,19193,1450,12457.0,212,2522,534
16.0,"U. California, Merced",29688,12648,779,13217.0,574,1134,1336
17.0,"U. Puerto Rico, Rio Piedras",28579,18922,50,9266.0,66,211,64
18.0,"U. Puerto Rico, Mayaguez",28100,15700,492,9268.0,1572,932,136
19.0,Texas A&M U.-Corpus Christi,24507,9491,4440,5022.0,623,2088,2843
20.0,Texas A&M U.-Kingsville,20894,7080,4332,3500.0,821,5161,0
21.0,"CUNY, Queens C.",19092,14080,817,3710.0,193,292,0
22.0,"California State U., Sacramento",17930,5697,7701,2610.0,699,1191,32
23.0,"California State U., San Bernardino",15317,5959,6040,3229.0,52,37,0
24.0,"California State U., Northridge",13333,12060,810,123.0,135,204,1
25.0,U. Texas Pan American,11266,6054,1212,2794.0,498,690,18
26.0,Humboldt State U.,11218,3280,2235,2243.0,999,1106,1355
27.0,St. Edward's U.,9515,8000,120,165.0,100,100,1030
28.0,"California State U., Long Beach",8830,6198,625,,599,613,795
29.0,"CUNY, John Jay C. of Criminal Justice",8689,3392,62,1854.0,2371,316,694
30.0,"California State U., Fresno",8624,3573,2159,2198.0,176,477,41
31.0,Azusa Pacific U.,7521,323,0,7100.0,2,4,92
32.0,Ponce Health Sciences U.,7520,6729,97,0.0,0,0,694
33.0,U. Central del Caribe,6964,6147,47,766.0,0,0,4
34.0,"California State U., San Marcos",6432,4573,1091,637.0,3,128,0
35.0,U. Metropolitana,6361,5634,0,727.0,0,0,0
36.0,"CUNY, Graduate Center",6175,2106,96,1533.0,5,1376,1059
37.0,"U. Texas, Brownsville",5827,3977,1647,95.0,0,108,0
38.0,"California State U., Fullerton",5611,4784,136,374.0,93,224,0
39.0,"California State U., Monterey Bay",5492,3459,1218,716.0,19,80,0
40.0,"California State U., Los Angeles",5010,4291,279,315.0,0,125,0
41.0,"California State Polytechnic U., Pomona",4611,1881,1341,895.0,410,84,0
42.0,"California State U., Bakersfield",3192,1875,12,744.0,22,2,537
43.0,"CUNY, Lehman C.",3130,2394,13,666.0,51,6,0
44.0,Texas A&M International U.,2917,658,770,502.0,49,938,0
45.0,"California State U., Dominguez Hills",2557,2527,30,0.0,0,0,0
46.0,U. del Turabo,2473,447,0,2026.0,0,0,0
47.0,U. Houston-Downtown,2459,1571,254,531.0,32,71,0
48.0,Sul Ross State U.,2204,333,341,747.0,6,777,0
49.0,"California State U., Channel Islands",1949,825,239,885.0,0,0,0
50.0,"California State U., Chico",1837,854,501,352.0,65,37,28
51.0,"U. Texas, Permian Basin",1725,595,386,199.0,135,410,0
52.0,"U. Puerto Rico, Cayey",1521,959,0,562.0,0,0,0
53.0,U. del Este,1174,530,0,644.0,0,0,0
54.0,La Sierra U.,1165,45,0,806.0,0,314,0
55.0,Sonoma State U.,1163,964,95,103.0,0,1,0
56.0,"California State U., Stanislaus",1080,174,354,0.0,371,166,15
57.0,Kean U.,1064,244,378,342.0,90,10,0
58.0,U. of the Incarnate Word,848,403,0,373.0,0,68,4
59.0,"U. Puerto Rico, Humacao",784,669,0,115.0,0,0,0
