Table 1-54:  U.S.-Mexican Border Land-Freight Gateways: Number of Incoming Truck or Rail Container Crossings,,,,,,,,,,,,,
Truck Container,2002,2003,,2004,,2005,,2006,,2007,,2008,
Total U.S.-Mexican border,"4,434,441",Total U.S.-Mexican border,"4,293,226",Total U.S.-Mexican border,"4,512,900",Total U.S.-Mexican border,"4,677,562",Total U.S.-Mexican border,"4,740,407",Total U.S.-Mexican border,"4,852,936",Total U.S.-Mexican border,"4,844,250"
Total top 5 gateways,"3,556,930",Total top 5 gateways,"3,444,994",Total top 5 gateways,"3,621,641",Total top 5 gateways,"3,740,341",Total top 5 gateways,"3,777,395",Total top 5 gateways,"3,881,283",Total top 5 gateways,"3,882,764"
"Laredo, TX","1,437,580","Laredo, TX","1,345,099","Laredo, TX","1,387,648","Laredo, TX","1,455,504","Laredo, TX","1,518,819","Laredo, TX","1,563,860","Laredo, TX","1,555,414"
"Otay Mesa/San Ysidro, CA","726,318","Otay Mesa/San Ysidro, CA","711,526","Otay Mesa/San Ysidro, CA","726,166","Otay Mesa/San Ysidro, CA","744,278","El Paso, TX","757,795","El Paso, TX","759,319","Otay Mesa/San Ysidro, CA","774,195"
"El Paso, TX","714,931","El Paso, TX","665,422","El Paso, TX","717,245","El Paso, TX","734,851","Otay Mesa/San Ysidro, CA","748,146","Otay Mesa/San Ysidro, CA","735,305","El Paso, TX","752,574"
"Hidalgo, TX","386,985","Hidalgo, TX","405,238","Hidalgo, TX","453,222","Hidalgo, TX","494,572","Hidalgo, TX","462,859","Hidalgo, TX","496,413","Hidalgo, TX","477,014"
"Calexico East, CA","291,116","Calexico East, CA","317,709","Calexico East, CA","337,360","Calexico East, CA","311,136","Nogales, AZ","289,776","Calexico East, CA","326,386","Calexico East, CA","323,567"
Rail Container,2002,2003,,2004,,2005,,2006,,2007,,2008,
Total U.S.-Mexican border,"602,322",Total U.S.-Mexican border,"607,475",Total U.S.-Mexican border,"675,305",Total U.S.-Mexican border,"728,559",Total U.S.-Mexican border,"803,291",Total U.S.-Mexican border,"813,511",Total U.S.-Mexican border,"776,385"
Total top 5 gateways,"591,255",Total top 5 gateways,"596,773",Total top 5 gateways,"660,214",Total top 5 gateways,"710,238",Total top 5 gateways,"788,472",Total top 5 gateways,"797,481",Total top 5 gateways,"762,740"
"Laredo, TX","296,782","Laredo, TX","313,244","Laredo, TX","317,061","Laredo, TX","316,402","Laredo, TX","332,950","Laredo, TX","341,856","Laredo, TX","328,592"
