Highway Profile,,,,,,,,,,,,,,,,,,,,,,,,,
FINANCIAL,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,(R) 2009,2010,2011,2012,2013,2014
"Government receipts, total ($ millions)1","11,193","21,763","39,834","75,444","91,312","96,347","102,771","107,421","111,581","121,650","131,115","132,324","138,878","139,246","145,315","154,690","165,443","193,876","192,718","195,680","220,977",U,"216,561",U,"252,642"
"Federal, total","2,771","6,160","9,949","14,576","17,854","19,851","23,196","21,648","24,509","26,008","30,819","27,670","28,344","29,878","30,911","33,070","34,171","36,134","41,905","41,205","58,950",U,"42,807",U,"54,895"
Highway trust funda,"2,531","5,464","7,615","13,380","16,582","18,835","22,036","20,500","23,396","25,085","29,445","26,365","26,616","27,755","28,576","31,194","32,333","33,568","38,873","36,063","43,473",U,"36,345",U,"51,270"
Other,240,696,"2,334","1,196","1,272","1,016","1,160","1,148","1,113",923,"1,374","1,305","1,728","2,123","2,335","1,876","1,838","2,566","3,032","5,142","15,477",U,"6,462",U,"3,625"
"State and local, total","8,422","15,603","29,885","60,868","73,458","76,496","79,575","85,773","87,072","95,642","100,296","104,654","110,534","109,368","114,404","121,620","131,272","157,742","150,813","154,475","162,027",U,"173,754",U,"197,747"
State and D.C.,"6,055","11,737","19,666","40,026","47,699","50,064","52,808","58,087","58,806","63,274","66,434","68,873","72,296","69,633","72,860","77,725","83,685","105,834","97,686","100,353","108,961",U,"106,257",U,"121,404"
Local,"2,367","3,866","10,219","20,842","25,759","26,432","26,767","27,686","28,266","32,368","33,862","35,781","38,238","39,735","41,544","43,895","47,587","51,908","53,127","54,122","53,066",U,"67,497",U,"76,343"
"Government expenditures, total ($ millions)1","10,757","20,829","41,763","75,408","90,192","93,478","98,082","101,953","107,975","116,011","122,697","129,900","138,639","143,605","147,489","152,700","161,061","181,061","182,058","195,578","205,313",U,"221,319",U,"238,429"
"Federal, total",197,425,874,664,"1,306","1,402","1,598","1,315","1,375","1,428","1,680","1,913","1,841","2,383","3,470","1,902","2,191","2,284","2,906","2,859","3,577",U,"3,211",U,"3,171"
Highway trust funda,27,83,315,358,965,"1,092","1,384","1,103","1,170","1,249","1,304","1,463","1,241","1,685","2,436",758,"1,236","1,213","1,532","2,358","3,006",U,"2,718",U,"2,726"
Otherb,170,342,559,306,341,310,214,212,205,179,376,450,600,698,"1,034","1,144",955,"1,071","1,374",501,571,U,493,U,445
"State and local, total","10,560","20,404","40,889","74,744","88,886","92,076","96,484","100,638","106,600","114,583","121,017","127,987","136,798","141,222","144,019","150,797","158,870","178,777","179,152","192,719","201,736",U,"218,108",U,"235,258"
State and D.C.,"7,125","14,100","25,936","45,609","55,569","56,981","59,709","61,534","65,507","71,415","76,997","81,803","85,712","88,183","88,026","94,484","100,090","114,151","114,153","122,928","127,116",U,"132,633",U,"141,648"
Local,"3,435","6,304","14,953","29,135","33,317","35,095","36,775","39,104","41,093","43,168","44,020","46,184","51,086","53,039","55,993","56,313","58,780","64,626","64,999","69,791","74,621",U,"85,475",U,"93,609"
"State highway user tax revenuesc, total ($ millions)","5,323","10,284","17,178","35,944","46,437","47,424","49,756","51,381","54,507","56,269","57,144","58,508","58,299","59,642","62,830","64,801","67,539","69,332","68,605","66,807","37,988","39,350","62,421","63,995","42,005"
Motor fuel tax2,"3,374","6,433","9,485","19,658","25,860","26,881","27,555","28,477","29,803","30,753","31,981","32,519","33,046","34,016","35,272","35,831","36,632","37,345","36,486","35,392","35,924","38,696","39,224","39,407","40,641"
"Other motor fuel receiptsd,2",22,44,92,220,101,108,63,55,58,134,179,298,297,277,194,202,972,"1,181","1,100",718,"2,064",654,766,739,"1,364"
Motor vehicle registration fees 3,"1,514","2,873","5,173","10,257","12,388","11,942","13,234","13,631","14,552","14,882","13,704","14,437","13,316","13,606","14,443","15,377","16,117","16,524","16,443","16,431",U,U,"16,221","17,019",U
"Other motor vehicle feese,3",235,577,"1,490","3,353","4,505","4,416","4,689","4,704","5,068","5,350","5,696","5,764","6,077","5,885","6,373","6,451","6,769","7,000","7,002","6,935",U,U,"4,967","5,168",U
