Table 2-2:  Injured Persons by Transportation Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,(R) 2014,2015
TOTAL,N,N,N,N,N,N,"3,271,903","3,136,005","3,109,431","3,185,361","3,302,962","3,499,643","3,515,777","3,380,064","3,221,955","3,264,955","3,218,900","3,061,790","2,946,446","2,906,666","2,806,810","2,716,586","2,592,859","2,510,311","2,366,743","2,237,367","(R) 2,259,336","(R) 2,237,019","(R) 2,381,624","(R) 2,333,494","2,351,319",U
"Air a, total",N,N,822,850,757,589,485,514,456,430,484,452,467,417,369,406,359,368,337,367,302,305,286,291,299,301,278,363,274,(R) 249,263,284
U.S. air carrier b,N,N,107,81,19,30,29,26,22,19,31,25,77,43,30,67,31,19,24,31,20,14,9,16,26,23,17,20,18,(R) 9,14,23
Commuter carrier c,N,N,N,N,14,14,11,31,7,2,6,17,2,1,2,2,7,4,0,1,0,0,1,0,2,1,2,0,0,9,0,4
On-demand air taxi d,N,N,N,N,43,44,36,26,19,24,32,14,22,23,10,15,12,24,16,12,17,20,11,20,12,4,3,15,9,16,15,9
General aviation e,N,N,715,769,681,501,409,431,408,385,415,396,366,350,327,322,309,321,297,323,265,271,265,255,259,273,256,328,247,(R) 215,234,248
"Highway, total",N,N,N,N,N,N,"3,230,666","3,096,870","3,069,603","3,149,164","3,265,928","3,465,279","3,483,319","3,347,614","3,192,035","3,236,238","3,188,750","3,032,672","2,925,758","2,888,601","2,788,378","2,699,000","2,575,000","2,491,000","2,346,000","2,217,000","2,239,000","2,217,000","2,362,000","2,313,000","2,332,000","2,424,000"
Passenger car occupants,N,N,N,N,N,N,"2,376,439","2,234,594","2,231,703","2,264,809","2,363,595","2,469,358","2,458,080","2,340,612","2,201,375","2,137,503","2,051,609","1,926,625","1,804,788","1,756,495","1,642,549","1,573,396","1,474,536","1,379,181","1,304,006","1,216,000","1,253,000","1,240,000","1,328,000","1,296,000","1,292,000","1,378,000"
Motorcyclists,N,N,N,N,N,N,"84,285","80,435","65,099","59,436","57,405","57,480","55,281","52,574","48,974","49,986","57,723","60,236","64,713","67,103","76,379","87,335","88,652","102,994","95,986","90,000","82,000","81,000","93,000","88,000","92,000","88,000"
"Truck occupants f, light",N,N,N,N,N,N,"505,144","562,601","544,657","600,874","631,411","722,496","761,478","754,820","762,506","846,865","886,566","860,527","879,338","889,048","900,171","872,137","856,896","841,451","768,410","759,000","733,000","728,000","762,000","750,000","782,000","803,000"
"Truck occupants f, large",N,N,N,N,N,N,"41,822","28,031","33,778","32,102","30,208","30,344","32,760","30,913","28,767","32,892","30,832","29,424","26,242","26,893","27,287","27,284","23,815","23,314","22,947","17,000","20,000","23,000","25,000","24,000","27,000","30,000"
Bus occupants,N,N,N,N,N,N,"32,691","20,959","20,144","17,056","15,767","19,214","20,291","16,887","15,559","21,958","17,769","15,427","18,819","18,174","16,410","11,133","9,839","12,141","15,149","12,000","17,000","13,000","12,000","23,000","14,000",U
Pedestrians,N,N,N,N,N,N,"104,805","88,446","89,184","94,001","91,987","85,837","81,797","77,011","68,955","85,235","77,625","77,619","70,664","69,949","67,985","64,446","60,924","70,286","68,832","59,000","70,000","69,000","76,000","66,000","65,000","70,000"
Pedalcyclists,N,N,N,N,N,N,"74,903","67,088","62,691","67,916","62,489","66,572","58,158","57,802","53,379","51,290","51,160","45,277","48,011","46,378","41,086","45,439","44,012","43,481","52,395","51,000","52,000","48,000","49,000","48,000","50,000","45,000"
Other incident g,N,N,N,N,N,N,"10,578","14,716","22,348","12,969","13,065","13,977","15,473","16,995","12,519","10,509","15,466","17,536","13,182","14,561","16,511","17,806","17,989","17,685","18,011","14,000","13,000","15,000","16,000","16,000","10,000","10,000"
"Railroad, total h",N,N,N,N,"62,246","34,304","25,143","23,468","21,383","19,121","16,812","14,440","12,558","11,767","11,459","11,700","11,643","10,985","11,103","9,264","9,194","9,550","8,797","9,669","9,062","8,023","(R) 8,378","(R) 8,439","(R) 8,454","(R) 8,732","8,731","8,962"
Train accidents,N,N,N,N,665,476,451,326,171,308,262,294,281,183,129,130,275,310,"1,884",232,346,787,220,309,321,127,110,217,462 ,328 ,137 ,547 
Highway-rail grade crossing,N,N,N,N,"3,890","2,687","2,407","2,094","1,975","1,837","1,961","1,894","1,610","1,540","1,303","1,396","1,219","1,157",999,"1,035","1,094","1,053","1,070","1,059",990,743,888,"1,048",971,975 ,870 ,"1,023 "
Tresspassers,N,N,N,N,474,492,560,534,540,509,452,461,474,516,513,444,414,404,395,398,406,420,481,407,432,344,390,366,410,434 ,422 ,414 
Other incident i,N,N,N,N,"57,217","30,649","21,725","20,514","18,697","16,467","14,137","11,791","10,193","9,528","9,514","9,730","9,735","9,114","7,825","7,599","7,348","7,290","7,026","7,894","7,319","6,809","(R) 6,990","(R) 6,808","(R) 6,611","(R) 6,995","7,302 ","6,978 "
"Transit, total j",N,N,N,N,N,N,"54,556","52,125","55,089","52,668","58,193","57,196","55,288","56,132","55,990","55,325","56,697","53,945","20,233","19,627","20,455","19,028","20,051","22,016","24,617","26,260","25,222","22,919","23,325","24,622","24,045",U
Passenger/Occupant,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"16,233","14,863","15,610","14,900","15,702","16,530","16,884","18,210","19,076","15,921","16,160","16,624","17,101",U
Employee/Worker,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"1,172","1,194","1,104",985,"1,213","1,921","1,535","1,454","1,369","1,377","1,439","1,554","1,680",U
Other incident,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"2,828","3,570","3,741","3,143","3,136","3,565","6,198","6,596","4,777","5,621","5,726","6,444","5,264",U
"Water, total k",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"4,596","4,533","3,974","4,125","4,223","4,301","3,887","3,943","3,770","3,823","3,327","3,432","3,384","3,231"
