"Table 1-62:  U.S. Hazardous Materials Shipments by Transportation Mode, 2012",,,,,,,
,Value,,Tons,,Ton-miles,,Average miles per shipment
Transportation mode ,($ billion),Percent,(millions),Percent,(billions),Percent,
TOTAL all modes,"2,334.4",100.0,"2,580.2",100.0,307.5,100.0,114
"Single modes, total","2,304.7",98.7,"2,552.9",98.9,275.6,89.6,68
Trucka,1466.0,62.8,1531.4,59.4,96.6,31.4,56
For-hire,870.9,37.3,882.3,34.2,62.0,20.2,150
Privateb,595.1,25.5,649.1,25.2,34.5,11.2,33
Rail,79.2,3.4,111.0,4.3,84.9,27.6,808
Water,217.8,9.3,283.6,11.0,54.9,17.9,212
Air,4.4,0.2,0.3,–,0.3,0.1,"1,120"
Pipelinec,537.3,23.0,626.7,24.3,S,S,S
"Multiple modes, total",29.7,1.3,27.3,1.1,31.9,10.4,654
"Parcel, U.S. Postal Service or Courier",10.3,0.4,0.3,–,0.2,0.1,650
Other,19.4,0.8,27.0,1.1,31.7,11.5,–
"Unknown and other modes, total",–,–,–,–,–,–,–
KEY:  – = less than 1 unit of measure or equal to zero; S = data are not published because of high sampling variability or other reasons. ,,,,,,,
,,,,,,,
"a Truck as a single mode includes shipments that went by private truck only, for-hire truck only, or a combination of both.",,,,,,,
b Private truck refers to a truck operated by a temporary or permanent employee of an establishment or the buyer/receiver of the shipment.,,,,,,,
c Excludes most shipments of crude oil.  See previous table for the estimated amount of crude oil and petroleum products transported in the United States.,,,,,,,
,,,,,,,
NOTE,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,
,,,,,,,
SOURCE,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics,  U.S. Department of Commerce, Census Bureau, 2012 Commodity Flow Survey, Hazardous Materials (Washington, DC: December 2009), table CF0700H01, available at http://factfinder.census.gov/faces/nav/jsf/pages/searchresults.xhtml?refresh=t of Dec. 9, 2014.",,,,,,,
,,,,,,,
,,,,,,,
