Table 2-3:  Transportation Accidents by Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Air,"4,883","5,279","4,767","4,232","3,818","2,935","2,388","2,334","2,227","2,172","2,139","2,179","2,046","1,987","2,037","2,043","1,985","1,852","1,824","1,870","1,719","1,782","1,611","1,746","1,661","1,559","1,506","1,555","1,537","1,298","1,288"
U.S. air carriera,90,83,55,37,19,21,24,26,18,23,23,36,37,49,50,51,56,46,41,54,30,40,33,28,28,30,30,31,27,23,28
Commuter carrierb,N,N,N,48,38,18,15,23,23,16,10,12,11,16,8,13,12,7,7,2,4,6,3,3,7,2,6,4,4,7,4
On-demand air taxic,N,N,N,152,171,157,107,88,76,69,85,75,90,82,77,74,80,72,60,73,66,65,52,61,58,47,30,50,36,44,35
General aviationd,"4,793","5,196","4,712","3,995","3,590","2,739","2,242","2,197","2,110","2,064","2,021","2,056","1,908","1,840","1,902","1,905","1,837","1,727","1,716","1,741","1,619","1,671","1,523","1,654","1,568","1,480","1,440","1,470","1,470","1,224","1,221"
"Highway, total crashese",N,N,N,N,N,N,"6,471,000","6,117,000","6,000,000","6,106,000","6,496,000","6,699,000","6,770,000","6,624,000","6,335,000","6,279,000","6,394,000","6,323,000","6,316,000","6,328,000","6,181,000","6,159,000","5,973,000","6,024,000","5,811,000","5,505,000","5,419,000","5,338,000","5,615,000","5,687,000","6,064,000"
Passenger car,N,N,N,N,N,N,"5,560,592","5,178,450","5,042,203","5,040,116","5,401,164","5,593,685","5,598,699","5,423,286","5,146,124","4,915,734","4,926,243","4,831,842","4,802,056","4,746,620","4,557,453","4,498,869","4,341,688","5,745,000","575,000","5,211,000","5,350,000","5,328,000","5,577,000","5,669,000","5,982,000"
Motorcycle,N,N,N,N,N,N,"103,114","105,030","72,177","74,565","68,752","66,354","66,224","61,451","54,477","57,322","68,783","73,342","76,004","79,131","85,557","100,686","101,474","123,000","114,000","106,000",U,"100,000","112,000","106,000","110,000"
"Truckf, light",N,N,N,N,N,N,"2,152,486","2,200,134","2,191,171","2,407,212","2,573,701","2,749,596","2,880,782","2,900,896","2,866,729","3,079,617","3,207,738","3,254,105","3,272,326","3,345,367","3,370,062","3,381,985","3,355,291","4,192,000","3,963,000","3,950,000","2,285,000","3,625,000","3,810,000","3,869,000","4,184,000"
"Truckf, large",N,N,N,N,N,N,"371,801","318,637","362,807","383,220","444,697","362,883","378,335","421,377","391,807","452,444","437,861","409,372","416,477","436,161","399,156","423,016","367,920","413,000","380,000","296,000","276,000","287,000","333,000","342,000","438,000"
Bus,N,N,N,N,N,N,"60,412","56,285","49,705","51,353","55,818","58,847","57,185","53,376","53,385","62,591","55,594","54,264","57,958","57,674","52,148","50,427","51,554","57,000","60,000","58,000","54,000","57,000","55,000","67,000","69,000"
"Railroad, totalg",N,N,N,"23,105","14,053","15,803","14,108","13,559","22,593","20,503","18,177","15,623","14,080","13,390","13,543","13,813","14,024","13,392","11,829","11,864","11,986","11,816","11,412","11,722","11,035","9,742","10,031","(R) 9,897","(R) 9,548","(R) 10,041","(R) 10,376"
Highway-rail grade crossingh,N,N,N,"1,153","1,219",841,691,709,641,652,683,661,645,556,548,526,607,542,502,470,548,571,551,564,506,428,453,446,(R) 458,515,(R) 532
Railroadi,N,N,N,"21,952","12,834","14,962","13,417","12,850","21,952","19,851","17,494","14,962","13,435","12,834","12,995","13,287","13,417","12,850","11,327","11,394","11,438","11,245","10,861","11,158","10,529","9,314","9,578","(R) 9,451","(R) 9,090","(R) 9,526","(R) 9,844"
"Transit, totalj",N,N,N,N,N,N,"58,002","46,467","36,380","30,559","29,972","25,683","25,166","24,924","23,937","23,310","24,261","23,891","13,968","7,793","7,842","8,151","8,851","9,398","5,154","3,513","3,492","3,184","3,539","4,416","4,693"
Highway-rail grade crossingk,N,N,N,N,N,N,N,N,N,N,N,127,134,119,106,140,148,101,190,125,178,148,141,174,232,190,201,176,160,183,164
Transitl,N,N,N,N,N,N,N,N,N,N,N,"25,556","25,032","24,805","23,831","23,170","24,113","23,790","13,778","7,668","7,664","8,003","8,710","9,224","4,922","3,323","3,291","3,008","3,379","4,233","4,529"
"Waterborne, total",N,N,"6,385","9,618","10,137","9,676","10,024","8,795","11,631","12,461","13,649","13,368","13,286","13,551","13,828","13,457","13,143","11,377","11,713","10,601","9,866","9,946","9,565","9,885","9,545","9,188","9,889","10,425","9,813","9,789","10,112"
Vessel-relatedm,N,N,"2,582","3,310","4,624","3,439","3,613","2,222","5,583","6,126","6,743","5,349","5,260","5,504","5,767","5,526","5,403","4,958","6,008","5,163","4,962","4,977","4,598","4,694","4,756","4,458","5,285","5,837","5,298","5,727","6,048"
Recreational boating,"2,738","3,752","3,803","6,308","5,513","6,237","6,411","6,573","6,048","6,335","6,906","8,019","8,026","8,047","8,061","7,931","7,740","6,419","5,705","5,438","4,904","4,969","4,967","5,191","4,789","4,730","4,604","4,588","4,515","4,062","4,064"
"Pipeline, total",N,N,"1,428","1,592","1,770",517,379,449,389,445,467,349,381,346,389,339,380,341,642,672,671,719,639,(R) 611,659,(R) 627,(R) 587,(R) 592,(R) 573,619,(R) 701
Hazardous liquid pipeline,N,N,351,254,246,183,180,216,212,229,245,188,194,171,153,167,146,130,458,434,377,369,354,332,375,342,350,(R) 345,366,401,445
Gas pipeline,N,N,"1,077","1,338","1,524",334,199,233,177,216,222,161,187,175,236,172,234,211,184,238,294,350,285,(R) 279,284,(R) 285,(R) 237,(R) 247,(R) 207,218,(R) 256
KEY: N = data do not exist; R = revised; U = data are not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Carriers operating under 14 CFR 121, all scheduled and nonscheduled service. Since Mar. 20, 1997, 14 CFR 121 includes only aircraft with 10 or more seats formerly operated under 14 CFR 135. This change makes it difficult to compare pre-1997 data for 14 CFR 121 and 14 CFR 135 with more recent data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b All scheduled service operating under 14 CFR 135. Since Mar. 20, 1997, 14 CFR 121 includes only aircraft with 10 or more seats formerly operated under 14 CFR 135. This change makes it difficult to compare pre-1997 data for 14 CFR 121 and 14 CFR 135 with more recent data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Nonscheduled service operating under 14 CFR 135.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d All operations other than those operating under 14 CFR 121 and 14 CFR 135.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e The U.S. Department of Transportation, National Highway Traffic Safety Administration uses the term ""crash"" instead of accident in its highway safety data. Highway crashes often involve more than one motor vehicle, and hence ""total highway crashes"" is smaller than the sum of the components. Estimates of highway crashes are rounded to the nearest thousand in the source document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f Large trucks are defined as trucks over 10,000 pounds gross vehicle weight rating, including single-unit trucks and truck tractors. Light trucks are defined as trucks of 10,000 pounds gross vehicle weight rating or less, including pickups, vans, truck-based station wagons, and utility vehicles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g Includes Amtrak. Accidents and incidents resulting from freight and passenger rail operations including commuter rail. Railroad accident data for 1970 and before are not comparable with post-1970 data due to a change in the reporting system.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h Accidents and incidents occurring at highway-rail crossings resulting from freight and passenger rail operations including commuter rail. Data are not comparable after 1970 due to a change in reporting system. Train and commuter rail occupant and nonoccupant incidents, excluding public highway-rail grade crossing incidents involving motor vehicles. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"i All reportable incidents for heavy rail, light rail, and automated guideway.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"j Accident figures include collisions with vehicles, objects, and people, derailments / vehicles going off the road. Accident figures do not include fires and personal casualties. The drop in the number of accidents in 2002 is due largely to a change in definitions by the Federal Transit Administration, particularly the definition of injuries. Beginning in 2002, only injuries requiring immediate medical treatment away from the scene qualified as reportable. In 2008, the property damage threshold was changed to $25,000. Previously, any accident with property damage equal to or greater than $7,500 was reported. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"k Accidents occurring at highway-rail grade crossings resulting from operations of public transit rail modes excluding commuter rail. Data for light rail crossings are: 1995 (98); 1996 (97); 1997 (66); 1998 (66); 1999 (103); 2000 (106); 2001 (54); 2002 (112); 2003 (68); 2004 (106); 2005 (81); 2006 (95); 2007 (93); 2008 (107); 2009 (119); 2010 (133), 2011(116), 2012 (116), 2013 (116) and 2014 (130). Since 2008, the data has included both directly operated (DO) and purchased transportation (PT) modes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l Transit total subtract highway-rail grade crossing. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
