Table 2-14:  U.S. General Aviationa Safety Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960d,1965d,1970d,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003, 2004,2005,2006,2007,2008,2009,2010,(R) 2011,(R) 2012,(R) 2013,(P) 2014
Total fatalities,787,"1,029","1,310","1,252","1,239",956,770,800,866,744,730,734,636,631,624,621,596,562,581,633,559,563,706,496,496,479,(R) 458,452,437,391,419
Total seriously injured persons,U,U,715,769,681,501,409,431,408,385,415,396,366,350,327,322,309,321,297,323,265,271,265,255,259,273,256,328,247,216,238
"Total accidentsa,b","4,793","5,196","4,712","3,995","3,590","2,739","2,242","2,197","2,110","2,064","2,021","2,056","1,908","1,840","1,902","1,905","1,837","1,727","1,716","1,741","1,619","1,671","1,523","1,654","1,569","1,480","1,440","1,470","1,470","1,224","1,221"
"Total accidentsa,b, fatal",429,538,641,633,618,498,444,439,450,401,404,412,361,350,364,340,345,325,345,352,314,321,308,288,277,275,(R) 271,269,272,222,253
Flight hours (thousands),"13,121","16,733","26,030","28,799","36,402","28,322","28,510","27,678","24,780","22,796","22,235","24,906","24,881","25,591","25,518","29,246","27,838","25,431","25,545","25,998","24,888","23,168","23,963","23,819","22,805","20,862","21,688","20,862","20,881","19,492","18,103"
"Rates per 100,000 flight hoursc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatalities,6.00,6.15,5.03,4.35,3.40,3.38,2.70,2.89,3.49,3.26,3.28,2.95,2.56,2.47,2.45,2.12,2.14,2.21,2.27,2.43,2.25,2.43,2.95,2.08,2.17,2.30,(R) 2.11,2.17,2.09,2.01,2.31
Seriously injured persons ,U,U,2.75,2.67,1.87,1.77,1.43,1.56,1.65,1.69,1.87,1.59,1.47,1.37,1.28,1.10,1.11,1.27,1.16,1.24,1.06,1.17,1.11,1.07,1.14,1.31,1.18,1.57,1.18,1.11,1.31
"Total accidentsa,b",36.53,31.05,18.10,13.87,9.86,9.67,7.86,7.94,8.51,9.05,9.09,8.26 ,7.67,7.19,7.45,6.51,6.60,6.79,6.72,6.70,6.51,7.21,6.36,6.94,6.88,7.09,6.64,7.05,7.04,6.28,6.74
"Total accidents, fatala,b",3.27,3.22,2.46,2.20,1.70,1.76,1.56,1.59,1.82,1.76,1.82,1.65,1.45,1.37,1.43,1.16,1.24,1.28,1.35,1.35,1.26,1.39,1.29,1.21,1.21,1.32,(R) 1.25,1.29,1.30,1.14,1.40
KEY: P = preliminary; R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a U.S. registered civil aircraft not operated under 14 CFR 121 or 14 CFR 135.  Accidents on foreign soil and in foreign waters are excluded.  Suicide, sabotage, and stolen/unauthorized cases included in accidents, fatalities and rate computation in this table are: 1985 (11 accidents, 6 fatal accidents); 1990 (4, 1); 1991 (8, 5); 1992 (2, 1); 1993 (5, 4); 1994 (3, 2); 1995 (10, 6); 1996 (4, 0); 1997 (5, 2); 1998 (6, 4); 1999 (3, 1); 2000 (7, 7); 2001 (3, 1); 2002 (7, 6); 2003 (4, 3); 2004 (3, 0); 2005 (2, 1); 2006 (2, 1); 2007 (2, 2); 2008 (2, 0); 2009 (3, 0); 2010 (3, 2), 2011 (1, 0), 2012 (1, 1), 2013(3, 3), 2014(0, 0).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Since April 1995, the National Transportation Safety Board has been required by law to investigate all public-use accidents, increasing the number of NTSB reported general aviation accidents by approximately 1.75%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c Rates are computed by dividing the number of Total fatalities, Total seriously injured persons, Total accidents, and Total accidents, fatal by the number of Flight hours, except for the exclusions mentioned in footnote a. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d Data for 1960, 1965, and 1970 include air taxi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fatalities, accidents, flight hours and rates per 100,000 flight hours:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: National Transportation Safety Board, Annual Review of Aircraft Accident Data: U.S. General Aviation, Calendar Year 1970, NTSB/ARG-74/1 (Washington, DC: April 1974), table 117.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-92: National Transportation Safety Board, Aviation Accident Statistics: U.S. General Aviation, table 10, available athttp://www.ntsb.gov/data/aviation_stats.html as of July 20, 2012. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1993-2014: National Transportation Safety Board, Aviation Accident Statistics: U.S. General Aviation, table 10, available at http://www.ntsb.gov/data/aviation_stats.html as of Mar. 23, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serious injuries:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-85: National Transportation Safety Board, Annual Review of Aircraft Accident Data: General Aviation (Washington, DC: Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2014: Ibid., Analysis and Data Division, personal communications, July 1, 2010, July 20, 2011, and July 18, 2012, Aug. 8, 2013, Sept. 24, 2014, and Mar. 22, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
