"Table 1-12:  U.S. Sales or Deliveries of New Aircraft, Vehicles, Vessels, and Other Conveyances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Number of civilian aircraft (shipments),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transporta,245,233,311,315,387,278,521,589,567,408,309,256,269,374,559,620,485,526,379,281,285,290,398,441,375,481,462,477,601,648
Helicopters,N,598,482,864,"1,366",384,603,571,324,258,308,292,278,346,363,361,493,415,318,517,805,947,898,"1,009","1,084",570,339,435,486,596
General aviation,"7,588","11,852","7,283","14,072","11,881","2,029","1,144","1,021",899,964,928,"1,077","1,115","1,549","2,200","2,504","2,816","(R) 2,631","2,207","2,137","2,355","2,857","3,147","3,279","3,079","1,585","1,334","(R) 1,465","(R) 1,518","1,615"
Highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger car (new retail sales),"6,641,000","9,332,000","8,399,000","8,624,000","8,979,000","11,043,000","9,300,000","8,175,000","8,214,000","8,518,000","8,990,000","8,635,000","8,526,000","8,272,000","8,141,721","8,698,284","8,846,625","8,422,625","8,103,229","7,610,481","7,545,149","7,719,553","7,761,592","7,562,334","(R) 6,769,134","(R) 5,401,565","(R) 5,635,739","(R) 6,089,708","(R) 7,244,439","7,585,341"
Motorcycle (new retail sales)b,N,N,"1,125,000","940,000","1,070,000","710,000","303,000","280,000","278,000","293,000","306,000","309,000","330,000","356,000","432,000","546,000","710,000","850,000","936,000","1,001,000","1,063,000","1,149,000","1,190,000","1,124,000","879,910","521,876","439,678","440,899","459,298","465,783"
"Truck (factory sales)c,d","1,194,475","1,716,564","1,660,446","2,231,630","1,667,283","3,464,327","3,725,205","3,387,503","4,062,002","4,895,224","5,640,275","5,713,469","5,775,730","6,152,817","6,435,185","7,345,059","7,022,478","6,223,586","6,963,720","7,143,429","7,466,739","7,246,737","6,442,831","6,200,712","4,322,861","3,107,426","4,132,193","4,641,596","4,976,954","5,393,954"
Bus; includes school bus (factory sales)d,U,"35,241","31,994","40,530","34,385","33,533","32,731","24,058","22,484","24,549","22,409","23,918","27,583","26,882","27,483",U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
Recreational vehicle (shipments),N,"192,830","380,300","339,600","178,500","351,700","347,300","293,700","382,700","420,200","518,800","475,200","466,800","438,800","441,300","473,800","418,300","321,000","378,700","377,800","412,100","419,500","416,800","353,500","237,000","165,700","242,300","252,300","285,780","321,127"
Bicyclee,N,N,N,N,"9,000,000","11,400,000","10,800,000","11,600,000","11,600,000","13,000,000","12,500,000","12,000,000","10,900,000","11,000,000","11,100,000","11,600,000","11,900,000","11,300,000","13,600,000","12,900,000","13,000,000","14,000,000","12,700,000","12,800,000","13,400,000","10,200,000","13,500,000","11,000,000","13,000,000","11,300,000"
Transit cars (deliveries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor busf,"2,806","3,000","1,424","5,261","4,572","5,390","5,728","5,961","4,668","6,524","9,740","9,317","9,328","10,529","9,970","11,331","11,916","15,958","10,600","11,754","9,373","10,394","10,944","15,090","16,019","13,704","10,264","10,256","9,861",U
