"Table 3-33:  Transportation Revenues by Mode and Level of Government, Fiscal Year (Chained 2009 $ millions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,
"TOTAL, all modes","146,366","147,822","150,379","164,753","182,235","173,694","165,439","169,112","164,595","161,860","167,844","167,806","171,508","163,934","158,587","157,570","163,336","167,939",,,,,,,,,,,,,,,,,,,,
Federal ,"47,088","46,970","47,086","57,386","73,913","63,684","56,702","59,017","57,441","54,851","59,789","56,234","57,178","53,126","48,190","47,290","48,867","51,708",,,,,,,,,,,,,,,,,,,,
State and Local,"99,277","100,851","103,293","107,367","108,322","110,010","108,736","110,095","107,154","107,009","108,055","111,572","114,330","110,808","110,397","110,280","114,470","116,231",,,,,,,,,,,,,,,,,,,,
"Highway, total","104,708","110,516","110,523","117,141","131,282","123,783","115,022","117,781","114,628","114,371","119,073","116,012","120,078","112,320","109,398","108,709","112,184","116,536",,,,,,,,,,,,,,,,,,,,
Federal,"34,513","39,571","37,823","42,073","55,833","47,644","41,670","43,006","42,843","41,821","45,829","42,132","42,284","38,350","35,144","34,114","34,957","37,531",,,,,,,,,,,,,,,,,,,,
State and Local,"70,195","70,945","72,700","75,068","75,449","76,139","73,351","74,776","71,785","72,550","73,244","73,880","77,794","73,970","74,254","74,594","77,227","79,005",,,,,,,,,,,,,,,,,,,,
"Air, total","22,546","18,101","20,712","27,934","31,295","30,291","30,730","31,590","30,216","27,726","29,206","29,549","30,768","30,808","27,931","27,687","28,347","28,991",,,,,,,,,,,,,,,,,,,,
Federal,"9,785","4,772","6,711","12,759","15,756","14,365","13,383","14,525","13,313","11,712","12,423","12,287","12,676","12,636","11,109","10,709","11,354","11,927",,,,,,,,,,,,,,,,,,,,
State and Local,"12,761","13,329","14,001","15,175","15,539","15,926","17,347","17,066","16,902","16,014","16,783","17,261","18,092","18,171","16,822","16,978","16,993","17,064",,,,,,,,,,,,,,,,,,,,
"Railroads, total",56,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Federal,56,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
"Transit, total","13,331","13,332","13,456","13,834","13,989","14,531","14,455","14,785","14,820","14,744","14,181","16,416","14,425","14,545","15,288","14,929","16,302","16,411",,,,,,,,,,,,,,,,,,,,
State and Local,"13,331","13,332","13,456","13,834","13,989","14,531","14,455","14,785","14,820","14,744","14,181","16,416","14,425","14,545","15,288","14,929","16,302","16,411",,,,,,,,,,,,,,,,,,,,
"Water, total","5,659","5,809","5,630","5,787","5,613","5,011","5,155","4,854","4,848","4,943","5,312","5,745","6,158","6,185","5,871","6,129","6,394","5,888",,,,,,,,,,,,,,,,,,,,
Federal,"2,669","2,563","2,494","2,498","2,268","1,597","1,572","1,386","1,201","1,242","1,465","1,729","2,139","2,063","1,839","2,351","2,447","2,137",,,,,,,,,,,,,,,,,,,,
State and Local,"2,990","3,246","3,136","3,290","3,345","3,414","3,583","3,468","3,647","3,701","3,847","4,016","4,019","4,122","4,032","3,778","3,947","3,751",,,,,,,,,,,,,,,,,,,,
"Pipeline, total",54,47,45,43,43,41,49,67,71,66,63,63,62,63,78,88,85,84,,,,,,,,,,,,,,,,,,,,
Federal,54,47,45,43,43,41,49,67,71,66,63,63,62,63,78,88,85,84,,,,,,,,,,,,,,,,,,,,
"General support, total",11,14,13,13,13,35,28,34,12,10,9,23,17,14,20,28,24,29,,,,,,,,,,,,,,,,,,,,
Federal,11,14,13,13,13,35,28,34,12,10,9,23,17,14,20,28,24,29,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local government receipts from highway are not included in 2009.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Government transportation revenues consist of money collected by governments from transportation user charges and taxes to finance transportation programs. The following types of receipts are excluded: 1) revenues collected from users of the transportation system that are directed to the general fund and used for non-transportation purposes, 2) non-transportation general fund revenues that are used to finance transportation programs and 3) proceeds from borrowing. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This edition is not comparable to the previous' edition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics, Government Transportation Financial Statistics 2014 as of September 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
