Table 3-21:  Average Freight Revenue Per Ton-mile (Current cents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Air carrier, domestica",22.80,20.46,21.91,28.22,46.31,48.77,55.84,61.18,60.64,60.19,59.86,61.39,63.68,63.92,66.88,68.62,73.85,60.07,50.60,54.14,62.23,74.88,81.54,89.71,117.96,98.01,101.53,121.35,135.45,136.95,135.67
Index (1990 = 100),41,37,39,51,83,87,100,110,109,108,107,110,114,114,120,123,132,108,91,97,111,134,146,161,211,176,182,217,243,245,243
Truckb,U,U,U,U,U,U,12.88,12.46,12.96,13.12,13.56,13.50,13.98,14.27,12.89,13.14,13.75,13.31,13.09,13.33,14.24,15.53,16.52,16.54,U,U,U,U,U,U,U
Index (1990 = 100),U,U,U,U,U,U,100,97,101,102,105,105,109,111,100,102,107,103,102,103,111,121,128,128,U,U,U,U,U,U,U
Class I rail,1.40,1.27,1.43,2.04,2.87,3.04,2.66,2.59,2.58,2.52,2.49,2.40,2.35,2.40,2.34,2.28,2.26,2.24,2.26,2.28,2.35,2.62,2.84,2.99,3.34,3.01,3.32,3.75,3.95,4.05,4.05
Index (1990 = 100),53,48,54,77,108,114,100,97,97,95,94,90,89,90,88,86,85,84,85,86,89,99,107,113,126,113,125,141,149,152,153
Barge,N,U,U,U,U,U,1.42,1.41,1.39,1.36,1.4,1.63,1.56,1.5,1.52,1.58,1.67,1.75,1.71,1.77,1.83,U,U,U,U,U,U,U,U,U,U
Index (1990 = 100),N,U,U,U,U,U,100,99,98,96,99,97,110,97,107,98,97,95,120,125,129,U,U,U,U,U,U,U,U,U,U
Oil pipeline,U,U,U,U,U,U,1.22,1.18,1.21,1.17,1.23,1.28,1.18,1.17,1.11,1.17,1.30,1.34,1.33,1.31,1.34,1.30,1.47,1.61,1.53,1.76,U,U,U,U,U
Index (1990 = 100),U,U,U,U,U,U,100,96,99,96,101,105,97,96,91,95,106,110,109,107,109,106,120,132,125,144,U,U,U,U,U
Producer Price Index (1990 = 100)c,28,29,33,49,74,88,100,102,103,105,105,107,110,111,110,112,116,118,117,120,125,131,135,140,149,145,151,160,163,165,168
KEY: R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a For 1990 and later, air carriers that did not report both financial data and all months of traffic data for a given period were excluded from the calculations. Cargo revenue includes both scheduled and charter property revenue and mail revenue.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b General freight common carriers, most of which are LTL (less-than-truckload) carriers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Total finished goods. Converted to 1990 base year index by the Bureau of Transportation Statistics and therefore not comparable to previous editions of this table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There is a break in the data from 1985 to 1990 for Truck, Barge, and Oil pipeline; therefore, data prior to 1990 cannot be indexed using 1990 as the base year because the data are incomparable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air carrier, domestic, scheduled service:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960: Civil Aeronautics Board, Handbook of Airline Statistics, 1969 (Washington, DC: 1970), part III, tables 2 and 13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965-70: Ibid., Handbook of Airline Statistics, 1973 (Washington, DC: 1974), part III, tables 2 and 13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: Ibid., Air Carrier Traffic Statistics (Washington,  DC: 1976, 1981), pp. 4 and 14 (December 1976) and pp. 2 and 3 (December 1981).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985: U.S. Department of Transportation, Bureau of Transportation Statistics, Office of Airline Information,  Air Carrier Financial Statistics (Washington, DC:  Annual December Issues) (freight operating revenues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ibid., Air Carrier Traffic Statistics (Washington, DC:  Annual December Issues) (freight revenue ton-miles).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2014: U.S. Department of Transportation, Bureau of Transportation Statistics, TranStats Database, T-1, Schedule P-11, and Schedule P-12 data, available at http://www.transtats.bts.gov/ as of June 2016, special tabulation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2003:  Eno Transportation Foundation, Inc., Transportation in America (Washington, DC: 2007), p. 46.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2004-07: U.S. Department of Commerce, U.S. Census Bureau, 2009 Transportation Annual Survey (Washington, DC: January 2011), table 2.1, available at http://www.census.gov/services/ as of Aug. 9, 2011, special tabulation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barge:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eno Transportation Foundation, Inc., Transportation in America (Washington, DC: 2007), p. 46.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil pipeline:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PennWell Corporation, Oil and Gas Journal: Transportation Special Report (Houston, TX: September 2012 Issue), p. 127; and Association of Oil Pipe Lines, Shifts in Petroleum Transportation (Washington, DC: February 2012), table 1, available at http://www.aopl.org/publications/?fa=reports as of Mar. 12, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class I rail:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), p. 34 and similar pages in previous editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producer Price Index:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-2014: U.S. Department of Labor, Bureau of Labor Statistics, Producer Price Index-Commodities, available at http://www.bls.gov/ppi/ as of Nov. 4, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
